Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,082,910;15,855;964,286;74,935;24,056;3,779;325,569
Age ;;;;;;;
    18 - 24;141,421;3,080;127,832;5,296;5,213;-;99,443
    25 - 39;633,091;7,419;564,300;52,551;7,757;1,065;72,772
    40 - 54;168,789;4,833;140,884;14,075;8,997;-;54,858
    55 - 64;83,159;-;75,344;3,013;2,088;2,714;53,576
    65 and above;56,450;524;55,926;-;-;-;44,920
Sex ;;;;;;;
    Male;683,519;9,457;625,213;37,286;8,849;2,714;174,862
    Female;399,391;6,398;339,073;37,649;15,207;1,065;150,707
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);119,027;219;108,390;3,665;6,754;-;61,483
    White alone, not Hispanic;685,327;12,420;608,924;47,849;16,135;-;158,520
    Black alone, not Hispanic;56,276;-;38,749;16,227;235;1,065;37,906
    Asian alone, not Hispanic;53,262;617;46,997;2,003;931;2,714;25,877
    Two or more races + Other races, not Hispanic;169,018;2,599;161,227;5,191;-;-;41,782
Education ;;;;;;;
    Less than high school;185,735;-;173,975;3,833;5,213;2,714;32,462
    High school or GED;142,286;-;124,303;16,930;1,053;-;137,259
    Some college/associate’s degree;343,539;12,653;274,461;42,012;13,347;1,065;80,538
    Bachelor’s degree or higher;411,350;3,202;391,547;12,159;4,442;-;75,311
Marital status ;;;;;;;
    Married;324,054;2,405;304,770;11,276;2,889;2,714;97,258
    Widowed;11,594;-;8,254;3,340;-;-;14,993
    Divorced/separated;113,562;3,646;92,557;10,319;7,040;-;43,270
    Never married;633,531;9,804;558,535;50,000;14,127;1,065;151,842
    Did not report;170;-;170;-;-;-;18,207
Presence of children under 18 years old ;;;;;;;
    Children in household;232,510;4,333;183,064;31,520;10,879;2,714;132,336
    No children;850,400;11,522;781,222;43,414;13,176;1,065;193,233
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;626,969;6,115;530,541;66,527;20,008;3,779;125,012
    No;455,941;9,740;433,745;8,408;4,048;-;183,320
    Did not report;-;-;-;-;-;-;17,238
Respondent currently employed ;;;;;;;
    Yes;706,803;9,162;643,184;51,066;3,392;-;159,975
    No;376,107;6,693;321,102;23,869;20,664;3,779;148,357
    Did not report;-;-;-;-;-;-;17,238
Household income ;;;;;;;
    Less than $25,000;232,562;7,146;195,206;21,351;6,145;2,714;-
    $25,000 - $34,999;122,964;2,533;95,210;20,724;4,497;-;-
    $35,000 - $49,999;150,281;1,261;143,623;4,109;1,288;-;-
    $50,000 - $74,999;149,064;2,909;121,291;18,991;5,873;-;230
    $75,000 - $99,999;99,791;125;86,111;7,302;6,253;-;2,813
    $100,000 - $149,999;157,330;417;156,913;-;-;-;-
    $150,000 - $199,999;113,296;-;113,296;-;-;-;-
    $200,000 and above;45,454;1,465;43,990;-;-;-;-
    Did not report;12,168;-;8,646;2,457;-;1,065;322,526
