Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,415,099;1,132,229;478,289;643,113;491,500;1,515,438;1,197,410;335,172;625,283;486,928
Age ;;;;;;;;;;
    18 - 29;218,053;242,250;84,829;152,607;172,389;285,528;189,363;69,702;153,146;172,389
    30 - 39;145,223;273,156;129,239;252,661;69,343;162,389;281,715;109,124;247,415;68,978
    40 - 49;361,706;187,739;84,386;42,946;69,230;354,263;228,031;46,048;50,449;67,217
    50 - 59;202,134;244,328;53,494;41,057;41,432;197,916;254,659;48,250;40,343;41,278
    60 - 69;302,758;93,419;89,488;63,260;93,112;293,261;154,306;29,902;73,411;91,157
    70 - 79;126,490;83,126;34,486;52,379;35,516;130,197;78,863;31,475;56,029;35,431
    80 and above;58,734;8,212;2,367;38,203;10,478;91,884;10,471;671;4,490;10,478
Sex ;;;;;;;;;;
    Male;749,273;482,759;214,575;376,522;241,752;857,967;411,133;174,276;379,482;242,023
    Female;665,826;649,471;263,713;266,591;249,749;657,472;786,276;160,896;245,800;244,905
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);661,485;694,386;227,635;424,726;257,995;705,828;694,184;196,115;414,891;255,211
    White alone, not Hispanic;503,226;320,913;123,792;149,911;120,062;568,836;320,541;83,151;125,147;120,230
    Black alone, not Hispanic;119,207;50,028;74,515;28,903;37,160;117,031;92,636;26,609;36,620;36,918
    Asian alone, not Hispanic;74,851;43,064;49,215;26,966;51,015;71,055;76,186;27,271;19,930;50,669
    Two or more races + Other races, not Hispanic;56,330;23,839;3,131;12,607;25,267;52,688;13,864;2,026;28,695;23,901
Education ;;;;;;;;;;
    Less than high school;266,379;238,220;43,964;140,585;121,204;320,056;217,379;41,359;110,354;121,204
    High school or GED;345,373;338,858;240,549;224,267;185,066;411,258;371,484;164,763;203,555;183,053
    Some college/associate’s degree;469,431;349,712;101,475;214,050;122,997;455,766;387,028;54,559;239,444;120,868
    Bachelor’s degree or higher;333,916;205,439;92,301;64,212;62,233;328,358;221,520;74,491;71,930;61,803
Marital status ;;;;;;;;;;
    Married;841,817;602,359;151,868;228,620;201,294;859,143;579,394;152,567;233,550;201,304
    Widowed;59,152;36,274;10,960;42,583;20,999;91,971;41,091;3,195;12,796;20,914
    Divorced/separated;185,663;135,197;108,661;68,307;72,947;200,321;206,896;34,681;58,413;70,463
    Never married;325,013;358,105;206,800;303,603;185,925;360,254;370,028;144,729;320,523;183,912
    Did not report;3,454;295;-;-;10,336;3,749;-;-;-;10,336
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;678,593;458,599;152,140;333,371;254,057;720,420;423,980;167,233;313,055;252,072
    No children;736,506;673,630;326,149;309,742;237,444;795,018;773,429;167,940;312,228;234,856
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;688,299;796,294;291,756;479,204;286,854;775,181;763,795;246,312;473,778;283,340
    No;726,179;335,936;186,533;163,910;195,462;739,635;433,614;88,861;151,505;194,403
    Did not report;622;-;-;-;9,185;622;-;-;-;9,185
Respondent currently employed ;;;;;;;;;;
    Yes;694,089;530,834;205,175;358,969;199,859;765,435;537,380;132,829;353,577;199,705
    No;721,010;601,396;273,114;284,144;281,381;750,003;660,030;202,343;271,705;276,963
    Did not report;-;-;-;-;10,260;-;-;-;-;10,260
Household income ;;;;;;;;;;
    Less than $25,000;156,115;220,792;92,543;278,445;-;169,875;207,793;109,967;260,259;-
    $25,000 - $34,999;183,525;171,578;128,518;124,455;1,914;205,150;233,445;44,955;126,438;-
    $35,000 - $49,999;193,637;96,478;51,542;26,599;2,014;191,821;111,652;28,608;38,189;-
    $50,000 - $74,999;246,633;138,396;58,659;117,202;823;264,339;185,717;37,330;73,971;357
    $75,000 - $99,999;150,696;263,229;43,470;37,235;-;192,315;224,418;23,891;54,006;-
    $100,000 - $149,999;202,466;92,436;22,557;32,696;449;179,053;96,682;37,640;37,228;-
    $150,000 - $199,999;137,126;55,559;46,006;8,682;346;146,344;72,630;10,274;18,471;-
    $200,000 and above;73,097;21,947;3,943;4,987;-;81,950;19,105;327;2,593;-
    Did not report;71,804;71,816;31,053;12,813;485,954;84,591;45,968;42,182;14,128;486,571
