Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,220,117;1,027,711;375,042;330,870;348,987;1,283,780;957,105;304,603;421,427;335,811
Age ;;;;;;;;;;
    18 - 29;141,340;169,653;101,551;81,378;129,370;164,021;133,197;85,621;111,083;129,370
    30 - 39;190,601;206,238;69,254;85,265;30,368;198,128;168,768;76,148;107,969;30,713
    40 - 49;160,427;217,439;61,139;70,431;18,921;149,955;230,162;59,219;72,712;16,310
    50 - 59;196,657;171,843;39,603;33,633;68,327;208,796;157,539;34,592;41,792;67,344
    60 - 69;262,988;134,079;64,090;39,078;69,828;278,877;146,674;32,027;52,540;59,945
    70 - 79;246,586;83,649;39,405;21,086;29,544;253,728;84,671;16,996;35,331;29,544
    80 and above;21,517;44,810;-;-;2,627;30,276;36,094;-;-;2,584
Sex ;;;;;;;;;;
    Male;600,916;522,894;168,558;138,180;183,597;643,448;457,087;167,446;163,315;182,849
    Female;619,201;504,817;206,484;192,690;165,390;640,332;500,018;137,157;258,112;152,962
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);179,738;120,561;24,836;26,028;27,757;192,429;90,880;34,778;35,766;25,068
    White alone, not Hispanic;933,353;807,469;314,479;250,244;258,013;971,462;765,436;253,749;325,731;247,182
    Black alone, not Hispanic;11,602;20,928;737;10,434;11,192;13,982;16,420;1,636;11,661;11,192
    Asian alone, not Hispanic;39,074;29,180;6,841;14,554;8,624;38,566;30,046;2,914;17,779;8,969
    Two or more races + Other races, not Hispanic;56,350;49,574;28,148;29,610;43,400;67,341;54,324;11,527;30,490;43,400
Education ;;;;;;;;;;
    Less than high school;66,841;53,595;25,857;12,405;26,532;70,530;36,852;35,380;15,935;26,532
    High school or GED;313,259;317,350;84,179;80,719;109,451;341,440;297,600;34,657;121,811;109,451
    Some college/associate’s degree;419,527;348,696;160,307;115,231;123,853;442,916;326,696;130,966;152,766;114,271
    Bachelor’s degree or higher;420,490;308,069;104,698;122,514;89,151;428,894;295,957;103,600;130,915;85,557
Marital status ;;;;;;;;;;
    Married;772,076;543,865;141,397;105,580;106,607;783,614;535,242;112,623;143,366;94,680
    Widowed;51,649;49,610;15,755;1,967;5,336;69,826;39,855;1,751;7,549;5,336
    Divorced/separated;213,006;160,926;70,492;75,253;49,166;215,240;142,930;62,311;100,245;48,118
    Never married;181,580;271,746;147,398;147,019;176,695;214,186;236,622;127,920;169,216;176,494
    Did not report;1,806;1,564;-;1,052;11,183;914;2,456;-;1,052;11,183
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;387,244;341,138;97,412;82,754;189,314;390,158;314,914;111,781;91,660;189,348
    No children;832,873;686,574;277,630;248,116;159,674;893,623;642,191;192,823;329,767;146,463
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;455,146;553,115;235,561;229,553;198,075;473,960;525,776;197,256;288,310;186,147
    No;763,440;474,596;139,481;101,317;141,204;808,290;431,330;107,348;133,117;139,955
    Did not report;1,531;-;-;-;9,709;1,531;-;-;-;9,709
Respondent currently employed ;;;;;;;;;;
    Yes;659,479;584,306;184,351;151,605;161,007;697,729;537,244;142,532;205,786;157,457
    No;560,638;442,215;190,691;178,269;178,271;586,051;418,671;162,071;214,645;168,645
    Did not report;-;1,191;-;995;9,709;-;1,191;-;995;9,709
Household income ;;;;;;;;;;
    Less than $25,000;99,706;170,751;53,707;68,988;359;103,362;128,103;60,646;100,741;660
    $25,000 - $34,999;108,031;90,642;80,066;49,487;-;104,782;95,147;68,480;59,816;-
    $35,000 - $49,999;171,996;113,001;80,332;57,867;-;179,878;110,545;62,888;69,885;-
    $50,000 - $74,999;183,018;192,504;48,878;46,402;2,689;224,303;150,393;47,816;50,636;345
    $75,000 - $99,999;177,705;132,492;36,753;26,173;-;171,608;137,967;27,930;35,618;-
    $100,000 - $149,999;234,772;140,183;28,440;38,236;10,084;234,051;152,280;18,766;46,540;78
    $150,000 - $199,999;77,956;83,606;16,689;5,514;782;90,359;76,270;10,435;7,483;-
    $200,000 and above;81,822;51,528;12,350;18,198;44;86,121;52,683;5,753;19,384;-
    Did not report;85,111;53,005;17,827;20,003;335,029;89,316;53,717;1,890;31,323;334,728
