Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;4,233,529;3,101,738;958,143;1,084,070;1,640,428;4,296,433;3,111,593;879,426;1,115,811;1,614,644
Age ;;;;;;;;;;
    18 - 29;694,775;505,643;272,530;371,556;570,544;680,866;577,813;275,595;306,022;574,751
    30 - 39;714,920;701,952;248,187;156,011;246,054;712,401;743,366;162,017;207,624;241,716
    40 - 49;660,182;661,443;145,398;152,941;152,052;616,622;707,022;165,046;131,272;152,052
    50 - 59;813,651;534,707;165,731;177,399;274,315;848,955;505,419;94,416;235,570;281,443
    60 - 69;737,484;340,636;99,938;121,904;210,959;715,333;343,544;142,888;124,748;184,409
    70 - 79;546,088;275,927;24,743;97,477;169,344;631,493;199,990;13,169;105,812;163,115
    80 and above;66,429;81,430;1,615;6,783;17,159;90,763;34,438;26,295;4,761;17,159
Sex ;;;;;;;;;;
    Male;2,337,482;1,547,511;467,471;529,009;914,365;2,415,764;1,492,493;409,901;564,091;913,587
    Female;1,896,047;1,554,226;490,672;555,061;726,063;1,880,668;1,619,100;469,525;551,719;701,057
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,557,019;1,422,945;381,015;245,712;740,887;1,659,577;1,282,247;390,735;295,517;719,503
    White alone, not Hispanic;1,462,597;887,072;254,321;584,546;459,519;1,490,008;916,063;200,932;582,371;458,680
    Black alone, not Hispanic;226,882;198,383;70,235;30,575;56,679;183,983;247,465;50,759;43,869;56,679
    Asian alone, not Hispanic;883,831;483,753;129,864;189,498;249,804;837,517;571,760;167,669;113,562;246,244
    Two or more races + Other races, not Hispanic;103,198;109,585;122,707;33,740;133,539;125,348;94,059;69,332;80,491;133,539
Education ;;;;;;;;;;
    Less than high school;911,497;605,675;68,235;112,957;293,710;779,821;733,337;53,378;131,827;293,710
    High school or GED;645,119;436,573;202,461;189,984;546,814;780,887;315,076;172,803;231,921;520,263
    Some college/associate’s degree;1,150,770;942,293;411,841;370,944;554,645;1,191,924;924,715;399,258;353,805;560,791
    Bachelor’s degree or higher;1,526,143;1,117,196;275,605;410,186;245,258;1,543,800;1,138,464;253,987;398,258;239,880
Marital status ;;;;;;;;;;
    Married;2,181,781;1,512,997;317,501;424,318;586,906;2,338,566;1,391,927;312,074;393,094;587,843
    Widowed;137,332;121,741;38,256;31,337;63,590;136,496;118,873;18,494;48,635;69,758
    Divorced/separated;532,491;426,120;106,420;93,838;263,110;454,824;465,840;127,051;139,707;234,559
    Never married;1,379,984;1,040,879;488,898;534,577;696,989;1,366,547;1,133,014;416,859;532,256;692,651
    Did not report;1,939;-;7,068;-;29,833;-;1,939;4,949;2,119;29,833
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,656,563;1,128,065;415,840;232,207;790,841;1,526,070;1,246,365;356,905;299,127;795,048
    No children;2,576,966;1,973,673;542,303;851,863;849,587;2,770,363;1,865,227;522,522;816,684;819,597
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,857,487;1,915,016;668,555;676,725;908,132;1,837,352;2,001,782;643,238;655,923;887,618
    No;2,376,042;1,186,048;288,383;407,345;712,879;2,457,875;1,109,810;235,514;459,888;707,609
    Did not report;-;674;1,205;-;19,417;1,205;-;674;-;19,417
Respondent currently employed ;;;;;;;;;;
    Yes;2,360,774;1,352,919;471,749;323,118;562,624;2,429,898;1,408,846;331,676;336,534;564,231
    No;1,872,754;1,748,818;486,394;760,952;1,056,372;1,866,534;1,702,747;547,750;779,276;1,028,982
    Did not report;-;-;-;-;21,432;-;-;-;-;21,432
Household income ;;;;;;;;;;
    Less than $25,000;458,345;431,546;160,497;166,606;26,551;373,815;466,129;186,029;217,572;-
    $25,000 - $34,999;370,692;412,359;109,947;107,401;777;391,971;411,823;60,452;136,931;-
    $35,000 - $49,999;322,508;375,063;118,869;117,501;3,561;355,296;362,016;94,643;125,547;-
    $50,000 - $74,999;678,460;396,455;97,150;207,207;-;663,761;444,528;75,955;195,028;-
    $75,000 - $99,999;541,948;413,712;224,949;150,385;4,229;686,103;318,079;187,669;143,373;-
    $100,000 - $149,999;426,685;497,288;111,401;174,849;2,000;499,977;430,575;179,119;102,551;-
    $150,000 - $199,999;391,903;175,556;38,754;45,351;4,067;398,391;190,823;18,878;43,473;4,067
    $200,000 and above;518,759;241,766;54,885;94,292;-;456,400;304,871;39,872;102,392;6,168
    Did not report;524,229;157,991;41,690;20,478;1,599,243;470,719;182,749;36,809;48,944;1,604,410
