Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;490,971;13,326;188,723;8,593;20,723;-;-;259,605;-
    25 - 39;1,015,269;91,913;352,430;31,644;75,311;4,031;1,662;451,502;6,775
    40 - 54;988,963;121,111;288,258;101,207;105,601;9,624;17,755;342,122;3,286
    55 - 64;927,697;54,569;367,423;23,048;29,915;1,325;1,853;449,429;137
    65 and above;689,790;41,875;34,574;3,224;29,664;765;788;577,019;1,880
Sex ;;;;;;;;;
    Male;2,127,227;149,427;704,268;105,529;127,902;4,734;16,880;1,010,411;8,075
    Female;1,985,464;173,367;527,141;62,186;133,313;11,011;5,178;1,069,266;4,003
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);1,973,099;88,151;623,225;100,733;138,656;5,298;18,620;990,174;8,242
    White alone, not Hispanic;1,357,567;143,604;445,921;38,783;93,178;2,131;2,650;630,145;1,156
    Black alone, not Hispanic;422,273;62,526;90,331;5,188;-;-;788;262,299;1,141
    Asian alone, not Hispanic;224,832;19,061;63,161;4,130;3,480;927;-;133,197;876
    Two or more races + Other races, not Hispanic;134,919;9,452;8,771;18,882;25,900;7,390;-;63,861;664
Education ;;;;;;;;;
    Less than high school;726,097;11,618;190,896;39,198;68,933;7,390;18,238;384,189;5,635
    High school or GED;1,213,849;73,474;407,510;62,638;65,635;3,494;1,853;597,479;1,766
    Some college/associate’s degree;1,371,153;82,289;421,624;38,536;58,690;2,164;1,472;764,294;2,084
    Bachelor’s degree or higher;801,591;155,413;211,379;27,343;67,956;2,698;494;333,716;2,593
Marital status ;;;;;;;;;
    Married;2,070,960;165,720;710,634;106,786;155,348;6,736;18,196;907,541;-
    Widowed;291,260;20,892;39,326;31,028;2,964;269;-;196,781;-
    Divorced/separated;643,227;83,702;111,648;14,331;40,782;971;3,022;387,931;840
    Never married;1,084,871;52,480;367,925;15,571;56,385;7,769;839;583,848;53
    Did not report;22,373;-;1,876;-;5,736;-;-;3,576;11,184
Presence of children under 18 years old ;;;;;;;;;
    Children in household;2,004,303;148,870;620,795;127,876;156,060;13,663;19,900;917,137;-
    No children;2,108,388;173,924;610,614;39,839;105,154;2,082;2,157;1,162,540;12,078
Health status ;;;;;;;;;
    Excellent;547,750;46,074;241,867;26,194;57,421;1,360;184;174,651;-
    Very good;1,129,036;99,896;373,669;28,563;61,284;12,482;994;546,512;5,635
    Good;1,288,221;124,641;357,120;23,290;72,371;1,103;17,322;692,373;-
    Fair;553,226;35,302;93,717;64,617;23,408;148;-;336,035;-
    Poor;177,059;2,405;23,676;-;9,800;99;-;141,079;-
    Did not report;417,399;14,476;141,360;25,052;36,931;552;3,557;189,027;6,443
Household income ;;;;;;;;;
    Less than $25,000;561,061;15,403;154,757;24,830;33,576;512;-;326,346;5,635
    $25,000 - $34,999;434,428;5,810;125,251;896;25,038;3,197;972;273,264;-
    $35,000 - $49,999;523,489;34,980;126,073;2,088;36,657;-;-;323,691;-
    $50,000 - $74,999;645,510;49,573;192,367;18,024;61,848;1,419;16,837;305,442;-
    $75,000 - $99,999;605,041;46,804;255,454;18,586;5,280;1,251;346;277,320;-
    $100,000 - $149,999;446,353;93,181;101,286;19,912;23,442;1,143;-;207,390;-
    $150,000 - $199,999;232,904;47,022;77,442;52,103;8,260;-;-;48,077;-
    $200,000 and above;106,836;4,707;36,647;6,223;4,455;7,538;-;47,265;-
    Did not report;557,068;25,314;162,133;25,052;62,657;685;3,903;270,881;6,443
