Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;3,895,884;275,007;1,323,569;240,387;208,279;38,351;6,072;1,765,850;38,368
Age ;;;;;;;;;
    18 - 24;445,558;21,238;147,173;-;-;6,955;1,249;267,557;1,385
    25 - 39;1,272,025;103,046;556,336;88,749;23,415;19,278;585;475,826;4,790
    40 - 54;883,074;61,411;335,090;63,258;81,936;4,794;3,350;331,408;1,829
    55 - 64;557,486;81,297;177,849;63,007;59,364;3,525;888;143,651;27,905
    65 and above;737,740;8,014;107,121;25,374;43,564;3,799;-;547,409;2,459
Sex ;;;;;;;;;
    Male;1,945,848;148,354;703,367;88,362;96,302;15,928;596;857,768;35,171
    Female;1,950,036;126,654;620,202;152,024;111,977;22,424;5,476;908,082;3,197
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);781,345;25,605;256,039;8,288;54,746;12,880;1,515;406,869;15,403
    White alone, not Hispanic;1,530,367;80,057;475,598;122,274;103,369;22,407;3,846;702,586;20,229
    Black alone, not Hispanic;268,763;5,732;129,188;27,867;8,135;-;-;96,456;1,385
    Asian alone, not Hispanic;1,056,511;137,329;405,434;62,699;40,650;1,210;711;408,126;352
    Two or more races + Other races, not Hispanic;258,899;26,285;57,311;19,259;1,378;1,854;-;151,812;999
Education ;;;;;;;;;
    Less than high school;343,392;2,301;64,469;-;58,435;5,081;-;202,515;10,590
    High school or GED;828,173;30,352;227,281;18,072;15,813;1,660;-;534,996;-
    Some college/associate’s degree;1,024,431;48,455;321,511;26,047;42,709;11,114;675;550,823;23,096
    Bachelor’s degree or higher;1,699,888;193,898;710,308;196,268;91,322;20,497;5,397;477,516;4,682
Marital status ;;;;;;;;;
    Married;2,049,898;189,716;758,433;138,051;141,693;19,977;3,869;786,880;11,279
    Widowed;61,779;2,838;4,250;529;5,586;1,649;-;46,407;521
    Divorced/separated;451,877;19,908;139,252;10,146;24,721;1,446;675;255,729;-
    Never married;1,296,033;60,854;415,176;91,042;36,029;15,279;1,528;676,123;-
    Did not report;36,297;1,691;6,458;617;250;-;-;712;26,569
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,518,452;57,450;544,407;67,209;121,878;4,155;2,618;720,735;-
    No children;2,377,432;217,557;779,163;173,178;86,401;34,196;3,454;1,045,115;38,368
Health status ;;;;;;;;;
    Excellent;792,564;100,726;309,282;88,415;51,218;7,503;2,872;232,548;-
    Very good;1,416,872;70,565;629,162;102,749;55,774;22,145;2,525;533,952;-
    Good;781,168;51,016;206,202;25,943;75,531;847;450;421,180;-
    Fair;361,838;7,901;43,766;3,579;19,290;1,874;225;285,204;-
    Poor;105,473;2,181;56,731;-;884;-;-;45,677;-
    Did not report;437,969;42,619;78,426;19,701;5,583;5,983;-;247,289;38,368
Household income ;;;;;;;;;
    Less than $25,000;367,148;6,971;54,616;3,096;4,491;1,210;-;296,764;-
    $25,000 - $34,999;322,187;2,712;52,027;33,061;27,986;13,193;-;193,209;-
    $35,000 - $49,999;282,799;3,925;104,218;26,733;21,130;6,665;368;119,760;-
    $50,000 - $74,999;383,305;24,267;126,117;18,197;3,976;-;586;210,162;-
    $75,000 - $99,999;307,888;9,636;72,173;47,531;44,544;1,136;711;132,157;-
    $100,000 - $149,999;458,224;42,584;134,938;23,635;25,091;1,046;1,249;229,679;-
    $150,000 - $199,999;265,439;21,681;119,769;21,676;17,985;1,330;313;82,684;-
    $200,000 and above;878,827;115,899;549,263;44,960;28,969;1,522;1,740;136,473;-
    Did not report;630,068;47,332;110,447;21,497;34,108;12,249;1,104;364,962;38,368
