Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;4,183,194;2,025,324;2,153,396;4,475;1,478,291;2,699,542;5,362
Age ;;;;;;;
    18 - 24;176,932;146,229;30,704;-;104,386;72,546;-
    25 - 39;1,509,496;932,636;573,673;3,187;665,628;840,681;3,187
    40 - 54;844,036;412,551;430,900;586;350,279;493,171;586
    55 - 64;743,213;378,827;363,684;702;204,142;538,369;702
    65 and above;909,517;155,081;754,436;-;153,855;754,774;887
Sex ;;;;;;;
    Male;2,117,722;1,018,936;1,095,599;3,187;658,075;1,456,460;3,187
    Female;2,065,472;1,006,388;1,057,796;1,288;820,216;1,243,082;2,175
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);856,512;635,391;221,121;-;505,055;351,457;-
    White alone, not Hispanic;1,704,122;713,364;986,985;3,773;456,228;1,243,234;4,660
    Black alone, not Hispanic;337,907;107,553;230,354;-;113,848;224,059;-
    Asian alone, not Hispanic;1,098,356;480,547;617,809;-;277,845;820,512;-
    Two or more races + Other races, not Hispanic;186,297;88,468;97,126;702;125,314;60,280;702
Education ;;;;;;;
    Less than high school;339,784;156,065;183,719;-;161,903;177,881;-
    High school or GED;967,197;531,867;435,331;-;422,643;544,554;-
    Some college/associate’s degree;954,093;566,813;387,279;-;407,955;546,138;-
    Bachelor’s degree or higher;1,922,121;770,579;1,147,067;4,475;485,790;1,430,969;5,362
Marital status ;;;;;;;
    Married;2,109,528;930,409;1,179,119;-;594,219;1,515,309;-
    Widowed;102,750;27,410;75,340;-;23,554;78,309;887
    Divorced/separated;451,540;215,917;235,623;-;140,053;311,487;-
    Never married;1,515,317;851,587;662,442;1,288;720,464;793,565;1,288
    Did not report;4,059;-;872;3,187;-;872;3,187
Presence of children under 18 years old ;;;;;;;
    Children in household;1,394,783;735,751;659,032;-;551,879;842,904;-
    No children;2,788,411;1,289,573;1,494,364;4,475;926,412;1,856,638;5,362
Health status ;;;;;;;
    Excellent;798,414;350,931;447,483;-;274,002;523,525;887
    Very good;1,520,239;792,332;727,907;-;444,507;1,075,732;-
    Good;1,072,128;552,469;519,659;-;509,131;562,997;-
    Fair;305,098;177,497;127,601;-;155,752;149,346;-
    Poor;216,217;38,009;177,505;702;27,160;188,355;702
    Did not report;271,099;114,085;153,241;3,773;67,739;199,588;3,773
Household income ;;;;;;;
    Less than $25,000;485,358;135,467;349,189;702;147,778;336,878;702
    $25,000 - $34,999;191,288;132,276;59,012;-;146,913;44,374;-
    $35,000 - $49,999;532,876;278,743;254,133;-;303,892;228,984;-
    $50,000 - $74,999;442,715;274,432;168,282;-;94,906;347,809;-
    $75,000 - $99,999;359,330;225,647;133,683;-;223,839;135,492;-
    $100,000 - $149,999;660,551;391,330;269,221;-;227,728;432,824;-
    $150,000 - $199,999;284,163;96,684;187,479;-;73,807;210,356;-
    $200,000 and above;856,931;321,692;535,238;-;157,483;699,448;-
    Did not report;369,983;169,051;197,159;3,773;101,945;263,378;4,660
