Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;423,271;590,860;619,491;347,186;564,280;287,433;922,302;616,562;154,512;564,280
    30 - 39;510,931;821,478;359,242;376,257;106,492;626,097;861,974;286,811;293,069;106,448
    40 - 49;515,679;709,960;90,951;521,201;167,734;685,386;610,486;80,771;461,746;167,136
    50 - 59;371,848;773,154;210,859;177,803;186,510;443,794;631,778;300,366;157,727;186,510
    60 - 69;455,735;867,193;259,608;129,576;95,063;928,964;500,209;153,619;111,846;112,537
    70 - 79;316,714;279,192;13,552;88,102;45,583;338,213;254,258;14,900;90,380;45,391
    80 and above;52,005;14,526;23,924;24,981;63,461;66,269;10,197;24,249;24,656;53,526
Sex ;;;;;;;;;;
    Male;1,418,297;2,041,681;948,802;758,777;512,305;1,877,565;1,682,377;1,084,493;518,586;516,841
    Female;1,227,887;2,014,682;628,825;906,329;716,819;1,498,592;2,108,827;392,787;775,350;718,988
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);931,490;1,698,918;790,790;906,017;652,000;1,216,142;1,500,349;979,403;629,641;653,680
    White alone, not Hispanic;921,008;1,283,552;443,911;489,827;350,886;1,230,184;1,151,447;358,917;392,127;356,509
    Black alone, not Hispanic;122,240;322,950;31,367;31,563;53,400;134,125;315,211;28,155;31,227;52,801
    Asian alone, not Hispanic;583,228;612,863;253,302;193,037;115,839;673,793;718,455;77,885;172,297;115,839
    Two or more races + Other races, not Hispanic;88,218;138,080;58,256;44,663;56,999;121,911;105,743;32,919;68,644;56,999
Education ;;;;;;;;;;
    Less than high school;235,945;1,006,200;130,266;439,576;232,875;704,755;471,091;269,798;366,344;232,875
    High school or GED;646,811;783,380;508,313;288,500;339,946;515,304;1,034,007;417,729;258,419;341,491
    Some college/associate’s degree;819,731;852,440;432,312;448,426;471,247;819,069;1,011,798;394,131;326,486;472,671
    Bachelor’s degree or higher;943,697;1,414,344;506,736;488,604;185,055;1,337,027;1,274,309;395,621;342,687;188,792
Marital status ;;;;;;;;;;
    Married;1,056,132;2,209,083;489,572;667,522;360,266;1,675,224;1,695,196;432,552;626,194;353,408
    Widowed;102,741;59,609;12,948;26,157;6,274;119,067;38,350;7,960;26,545;15,808
    Divorced/separated;378,628;381,344;242,786;213,605;163,946;399,840;474,565;157,345;184,612;163,946
    Never married;1,108,683;1,267,397;832,321;755,967;660,801;1,057,140;1,569,442;878,688;455,070;664,830
    Did not report;-;138,929;-;1,856;37,836;124,885;13,651;735;1,514;37,836
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,075,822;1,599,895;287,342;602,644;561,709;1,220,255;1,479,461;331,476;535,643;560,578
    No children;1,570,362;2,456,468;1,290,285;1,062,463;667,415;2,155,901;2,311,744;1,145,803;758,293;675,251
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,240,173;2,640,788;993,043;1,334,238;652,348;1,606,485;2,307,459;1,277,632;1,006,362;662,653
    No;1,405,951;1,413,877;584,584;330,868;539,747;1,769,611;1,482,048;199,647;287,574;536,148
    Did not report;60;1,698;-;-;37,028;60;1,698;-;-;37,028
Respondent currently employed ;;;;;;;;;;
    Yes;1,701,166;1,919,225;740,440;542,633;511,323;1,838,561;2,090,402;535,329;441,996;508,499
    No;945,018;2,137,139;837,187;1,122,416;647,687;1,537,595;1,700,803;941,893;851,940;657,215
    Did not report;-;-;-;57;70,115;-;-;57;-;70,115
Household income ;;;;;;;;;;
    Less than $25,000;254,269;666,130;242,807;286,966;598;428,108;546,501;324,804;140,146;11,213
    $25,000 - $34,999;396,841;349,840;394,615;500,343;267;447,978;305,238;407,079;481,611;-
    $35,000 - $49,999;241,474;199,786;180,073;207,565;1,452;208,546;306,128;127,474;187,628;573
    $50,000 - $74,999;252,637;636,153;102,890;185,783;8,790;324,571;594,276;156,368;109,016;2,022
    $75,000 - $99,999;400,036;942,183;153,466;94,820;-;770,623;639,054;75,951;104,876;-
    $100,000 - $149,999;331,115;471,367;234,620;111,099;44;433,757;418,891;187,618;103,650;4,329
    $150,000 - $199,999;233,122;199,397;45,923;90,403;786;211,543;235,760;69,269;52,806;253
    $200,000 and above;223,192;474,237;153,662;103,015;376;459,319;340,781;103,457;50,549;376
    Did not report;313,498;117,270;69,571;85,113;1,216,811;91,711;404,576;25,259;63,654;1,217,062
