Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;1,844,833;486,310;1,214,135;58,413;78,527;7,448;417,206
Age ;;;;;;;
    18 - 24;99,736;44,596;52,538;2,602;-;-;106,065
    25 - 39;499,604;69,704;401,059;4,290;21,417;3,133;116,358
    40 - 54;518,273;51,086;386,178;35,373;45,636;-;108,466
    55 - 64;346,228;98,325;230,031;8,738;8,820;314;47,103
    65 and above;380,993;222,598;144,330;7,409;2,654;4,001;39,214
Sex ;;;;;;;
    Male;915,787;259,663;624,546;14,174;13,089;4,315;163,529
    Female;929,047;226,647;589,589;44,239;65,438;3,133;253,677
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);139,399;13,239;107,242;18,327;592;-;80,074
    White alone, not Hispanic;1,293,719;372,003;832,457;28,080;60,865;314;214,685
    Black alone, not Hispanic;35,758;767;34,431;381;179;-;49,792
    Asian alone, not Hispanic;255,448;77,766;155,929;-;14,618;7,134;59,371
    Two or more races + Other races, not Hispanic;120,510;22,535;84,077;11,624;2,273;-;13,285
Education ;;;;;;;
    Less than high school;83,654;12,248;29,376;-;38,029;4,001;110,042
    High school or GED;430,082;130,059;246,960;34,171;15,758;3,133;88,925
    Some college/associate’s degree;522,328;148,890;341,422;22,631;9,386;-;138,397
    Bachelor’s degree or higher;808,769;195,113;596,377;1,611;15,354;314;79,842
Marital status ;;;;;;;
    Married;1,181,544;319,961;784,799;21,193;55,277;314;122,633
    Widowed;67,165;38,704;27,183;1,278;-;-;8,491
    Divorced/separated;216,479;36,653;157,433;21,158;1,235;-;51,426
    Never married;374,457;89,184;241,341;14,783;22,014;7,134;229,879
    Did not report;5,188;1,809;3,379;-;-;-;4,777
Presence of children under 18 years old ;;;;;;;
    Children in household;585,754;71,280;463,210;30,610;16,339;4,315;138,000
    No children;1,259,079;415,030;750,925;27,803;62,188;3,133;279,205
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;755,430;124,013;515,151;39,896;72,056;4,315;158,786
    No;1,088,402;362,297;697,984;18,517;6,471;3,133;249,748
    Did not report;1,001;-;1,001;-;-;-;8,672
Respondent currently employed ;;;;;;;
    Yes;1,082,519;199,074;801,348;32,537;46,426;3,133;168,779
    No;759,284;287,236;409,757;25,876;32,100;4,315;239,755
    Did not report;3,030;-;3,030;-;-;-;8,672
Household income ;;;;;;;
    Less than $25,000;99,100;36,978;52,649;8,338;1,136;-;1,756
    $25,000 - $34,999;104,401;49,271;34,853;17,338;2,938;-;-
    $35,000 - $49,999;90,079;35,009;53,115;1,954;-;-;-
    $50,000 - $74,999;204,672;63,013;123,782;5,838;8,039;4,001;2,869
    $75,000 - $99,999;292,661;72,779;163,820;15,248;40,813;-;-
    $100,000 - $149,999;414,623;81,071;304,513;7,632;21,406;-;-
    $150,000 - $199,999;181,632;68,762;110,805;900;1,166;-;815
    $200,000 and above;386,916;67,303;316,270;-;3,030;314;-
    Did not report;70,749;12,123;54,329;1,164;-;3,133;411,767
