Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,433,200;928,952;330,155;260,921;152,702;1,440,405;1,025,520;237,425;254,559;148,021
Age ;;;;;;;;;;
    18 - 29;174,234;156,986;54,019;55,424;39,881;147,103;230,237;44,490;18,833;39,881
    30 - 39;364,014;267,018;114,917;152,757;55,052;403,035;241,201;108,887;145,584;55,052
    40 - 49;238,270;135,332;64,871;26,189;25,999;212,186;177,086;41,025;34,365;25,999
    50 - 59;250,186;149,504;34,686;20,876;9,396;251,860;155,380;15,425;32,586;9,396
    60 - 69;186,177;131,805;47,353;5,675;18,368;212,600;125,549;22,856;14,686;13,687
    70 - 79;161,251;83,308;11,649;-;1,480;164,988;77,972;4,743;8,504;1,480
    80 and above;59,069;4,998;2,660;-;2,526;48,632;18,095;-;-;2,526
Sex ;;;;;;;;;;
    Male;718,802;416,972;124,202;187,994;90,711;749,668;428,311;99,102;175,569;86,030
    Female;714,398;511,980;205,953;72,927;61,991;690,737;597,209;138,322;78,990;61,991
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);87,532;191,706;58,706;13,881;4,592;101,189;203,231;35,094;16,905;-
    White alone, not Hispanic;955,418;605,265;129,507;187,282;103,022;982,297;573,903;123,277;198,084;102,933
    Black alone, not Hispanic;32,484;5,300;29,668;14,935;885;26,033;27,153;585;28,617;885
    Asian alone, not Hispanic;269,575;79,352;62,998;3,531;28,319;246,727;121,427;38,093;9,209;28,319
    Two or more races + Other races, not Hispanic;88,191;47,328;49,276;41,291;15,882;84,160;99,806;40,376;1,744;15,882
Education ;;;;;;;;;;
    Less than high school;39,269;63,564;45,378;-;-;49,478;74,088;20,695;3,950;-
    High school or GED;266,299;225,738;39,930;91,823;23,843;276,956;181,599;64,436;100,798;23,843
    Some college/associate’s degree;462,972;262,913;159,124;80,259;43,324;494,613;328,638;81,861;64,749;38,731
    Bachelor’s degree or higher;664,661;376,736;85,723;88,839;85,535;619,358;441,195;70,434;85,062;85,447
Marital status ;;;;;;;;;;
    Married;978,930;439,885;177,895;97,506;63,692;1,009,200;519,759;63,726;106,124;59,099
    Widowed;24,836;29,100;9,978;-;631;29,835;33,655;423;-;631
    Divorced/separated;142,620;146,363;68,673;24,617;11,138;113,363;168,458;71,853;28,686;11,050
    Never married;283,093;310,381;73,609;137,382;72,231;284,716;298,578;101,422;119,749;72,231
    Did not report;3,722;3,224;-;1,415;5,009;3,290;5,070;-;-;5,009
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;427,265;259,026;167,056;47,706;35,350;419,547;316,530;95,358;69,619;35,350
    No children;1,005,935;669,926;163,099;213,215;117,352;1,020,858;708,991;142,067;184,940;112,670
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;580,779;524,688;177,504;97,042;35,619;538,645;657,385;120,397;63,587;35,619
    No;852,422;404,263;152,651;163,879;112,073;901,760;368,136;117,028;190,972;107,392
    Did not report;-;-;-;-;5,009;-;-;-;-;5,009
Respondent currently employed ;;;;;;;;;;
    Yes;926,750;485,695;157,743;153,665;116,084;909,742;544,574;139,789;129,749;116,084
    No;506,450;443,257;172,412;107,255;31,609;530,663;480,946;97,636;124,810;26,927
    Did not report;-;-;-;-;5,009;-;-;-;-;5,009
Household income ;;;;;;;;;;
    Less than $25,000;105,558;81,337;47,355;4,502;-;104,543;96,707;30,860;6,641;-
    $25,000 - $34,999;87,694;66,633;50,488;89,972;-;91,593;71,896;38,479;92,817;-
    $35,000 - $49,999;76,204;137,719;10,449;9,323;-;72,723;135,437;16,212;9,323;-
    $50,000 - $74,999;259,308;153,346;70,888;14,302;4,592;237,881;183,628;53,789;27,139;-
    $75,000 - $99,999;141,410;81,066;36,012;57,561;-;146,399;124,725;31,755;13,170;-
    $100,000 - $149,999;356,623;99,976;27,928;43,759;-;349,942;107,213;19,233;51,899;-
    $150,000 - $199,999;129,487;157,272;43,847;3,172;889;156,873;135,750;22,909;18,246;889
    $200,000 and above;246,613;141,786;41,382;16,735;89;255,147;155,098;18,568;17,792;-
    Did not report;30,304;9,817;1,806;21,594;147,132;25,304;15,065;5,620;17,532;147,132
