Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,356,611;926,428;365,935;274,676;379,077;1,536,294;803,421;316,001;266,223;380,789
Age ;;;;;;;;;;
    18 - 29;159,226;143,827;102,984;61,228;123,060;143,422;154,297;102,466;67,081;123,060
    30 - 39;207,051;212,117;102,439;82,489;52,537;280,273;154,710;72,826;96,287;52,537
    40 - 49;237,786;177,498;42,755;36,546;48,582;292,224;130,212;36,944;32,224;51,563
    50 - 59;199,494;146,058;37,521;33,025;64,424;229,517;115,652;45,208;25,721;64,424
    60 - 69;280,724;153,319;56,917;37,705;64,705;302,439;163,090;25,360;37,324;65,156
    70 - 79;208,348;85,952;17,494;14,835;23,818;223,177;66,221;31,874;7,078;22,096
    80 and above;63,981;7,658;5,825;8,848;1,953;65,242;19,239;1,322;508;1,953
Sex ;;;;;;;;;;
    Male;672,551;387,837;207,965;115,079;230,714;838,753;328,140;116,940;101,823;228,491
    Female;684,059;538,592;157,970;159,597;148,363;697,540;475,281;199,061;164,401;152,298
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);191,369;108,492;44,782;14,924;19,353;199,921;61,344;74,782;20,596;22,279
    White alone, not Hispanic;1,031,435;739,118;277,948;224,560;290,499;1,194,109;649,605;214,644;215,916;289,284
    Black alone, not Hispanic;13,727;12,519;4,967;5,985;14,731;22,620;4,270;7,757;2,551;14,731
    Asian alone, not Hispanic;49,980;39,317;31,425;-;32,633;57,970;50,785;8,977;2,990;32,633
    Two or more races + Other races, not Hispanic;70,100;26,982;6,811;29,207;21,862;61,674;37,417;9,841;24,169;21,862
Education ;;;;;;;;;;
    Less than high school;36,385;100,820;23,979;8,560;8,346;114,561;13,183;33,605;5,469;11,271
    High school or GED;346,342;231,149;118,151;69,186;147,557;362,658;235,318;115,586;51,267;147,557
    Some college/associate’s degree;446,232;365,245;118,426;106,505;131,313;502,174;296,678;99,707;136,803;132,359
    Bachelor’s degree or higher;527,651;229,214;105,378;90,425;91,862;556,901;258,241;67,102;72,684;89,602
Marital status ;;;;;;;;;;
    Married;899,464;477,256;134,681;87,772;185,433;990,631;380,999;136,766;88,389;187,821
    Widowed;50,870;29,935;5,167;15,964;2,522;61,800;28,919;6,906;4,346;2,485
    Divorced/separated;182,420;148,467;67,316;41,108;56,045;209,569;146,985;53,607;30,383;54,812
    Never married;222,601;266,593;158,175;127,105;126,088;273,037;242,340;117,103;141,399;126,682
    Did not report;1,256;4,177;595;2,727;8,989;1,256;4,177;1,618;1,705;8,989
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;516,961;368,628;63,354;65,918;146,628;566,689;290,194;98,711;55,747;150,148
    No children;839,650;557,801;302,581;208,758;232,450;969,605;513,226;217,290;210,477;230,641
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;493,117;558,060;207,172;155,320;149,068;608,993;408,263;219,055;173,386;153,039
    No;863,493;368,368;158,762;119,356;222,261;927,300;395,157;96,946;92,837;220,001
    Did not report;-;-;-;-;7,749;-;-;-;-;7,749
Respondent currently employed ;;;;;;;;;;
    Yes;692,069;494,718;192,943;137,643;226,372;832,240;405,699;158,294;118,789;228,723
    No;663,313;431,711;172,992;135,690;146,334;702,825;397,721;157,706;146,092;145,694
    Did not report;1,228;-;-;1,343;6,372;1,228;-;-;1,343;6,372
Household income ;;;;;;;;;;
    Less than $25,000;103,650;167,521;89,591;70,473;1,685;107,897;150,750;88,698;85,123;452
    $25,000 - $34,999;183,574;103,389;44,788;53,632;1,307;211,268;92,358;29,989;51,768;1,307
    $35,000 - $49,999;132,342;98,811;51,999;37,058;37;143,336;83,915;54,607;35,463;2,926
    $50,000 - $74,999;224,089;129,575;71,778;40,947;-;255,790;109,299;61,251;39,454;594
    $75,000 - $99,999;202,477;171,913;26,740;41,577;-;286,546;103,167;26,431;26,563;-
    $100,000 - $149,999;220,776;116,147;53,935;16,144;-;236,418;122,393;35,870;12,322;-
    $150,000 - $199,999;146,184;42,034;9,399;4,028;538;131,579;58,933;7,865;3,806;-
    $200,000 and above;63,577;69,818;2,976;6,692;-;67,472;65,463;3,507;6,622;-
    Did not report;79,942;27,219;14,728;4,125;375,510;95,987;17,143;7,783;5,101;375,510
