Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;4,160,231;2,542,406;1,608,018;9,807;1,764,470;2,382,211;13,550
Age ;;;;;;;
    18 - 24;473,167;315,615;157,552;-;220,079;253,088;-
    25 - 39;1,266,584;977,518;288,867;199;794,286;471,283;1,015
    40 - 54;1,052,956;692,049;355,218;5,689;361,618;684,976;6,361
    55 - 64;553,168;313,551;238,660;956;201,436;350,775;956
    65 and above;814,355;243,672;567,721;2,962;187,050;622,087;5,217
Sex ;;;;;;;
    Male;2,064,881;1,273,036;786,332;5,514;914,228;1,145,761;4,892
    Female;2,095,349;1,269,370;821,686;4,293;850,242;1,236,450;8,658
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);2,266,228;1,634,822;630,585;820;1,153,654;1,111,703;871
    White alone, not Hispanic;1,217,904;580,558;628,360;8,986;340,438;868,480;8,986
    Black alone, not Hispanic;309,814;132,757;177,056;-;79,527;227,410;2,877
    Asian alone, not Hispanic;245,111;143,332;101,779;-;124,682;119,613;816
    Two or more races + Other races, not Hispanic;121,174;50,936;70,238;-;66,170;55,004;-
Education ;;;;;;;
    Less than high school;810,352;532,685;276,869;797;335,082;474,473;797
    High school or GED;1,334,112;926,246;402,975;4,892;638,061;691,159;4,892
    Some college/associate’s degree;1,257,664;740,987;512,759;3,919;582,791;667,211;7,662
    Bachelor’s degree or higher;758,102;342,488;415,415;199;208,536;549,368;199
Marital status ;;;;;;;
    Married;2,025,958;1,158,529;866,448;982;757,606;1,266,504;1,849
    Widowed;169,967;33,912;136,056;-;33,270;136,697;-
    Divorced/separated;570,774;367,247;203,527;-;241,704;326,194;2,877
    Never married;1,379,446;978,969;400,477;-;727,537;651,909;-
    Did not report;14,085;3,749;1,511;8,825;4,353;907;8,825
Presence of children under 18 years old ;;;;;;;
    Children in household;1,876,760;1,305,211;571,549;-;944,261;929,623;2,877
    No children;2,283,470;1,237,195;1,036,469;9,807;820,209;1,452,588;10,673
Health status ;;;;;;;
    Excellent;507,451;248,163;259,288;-;181,990;325,461;-
    Very good;938,591;489,200;449,391;-;298,124;640,467;-
    Good;1,274,374;868,753;404,999;622;547,841;725,861;672
    Fair;669,855;427,386;242,469;-;354,736;315,119;-
    Poor;284,171;225,921;58,250;-;170,671;113,500;-
    Did not report;485,789;282,983;193,620;9,185;211,108;261,804;12,878
Household income ;;;;;;;
    Less than $25,000;747,894;553,425;194,470;-;519,303;228,591;-
    $25,000 - $34,999;609,989;428,782;181,207;-;212,623;397,366;-
    $35,000 - $49,999;370,270;237,761;132,508;-;168,020;201,577;672
    $50,000 - $74,999;561,712;320,231;241,482;-;248,279;313,433;-
    $75,000 - $99,999;494,629;294,179;200,451;-;148,376;346,254;-
    $100,000 - $149,999;350,603;176,960;173,643;-;98,264;252,339;-
    $150,000 - $199,999;247,718;111,574;136,145;-;57,400;190,318;-
    $200,000 and above;103,974;29,823;74,151;-;22,186;81,788;-
    Did not report;673,440;389,671;273,962;9,807;290,019;370,544;12,878
