Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,302,727;1,707,408;1,594,518;802;1,348,855;1,949,862;4,010
Age ;;;;;;;
    18 - 24;194,004;139,970;54,034;-;116,604;77,400;-
    25 - 39;1,030,120;658,982;371,139;-;514,596;515,525;-
    40 - 54;771,953;471,068;300,884;-;362,796;405,948;3,208
    55 - 64;559,099;283,958;275,142;-;245,908;313,191;-
    65 and above;747,551;153,430;593,319;802;108,951;637,798;802
Sex ;;;;;;;
    Male;1,614,146;815,300;798,846;-;704,493;908,158;1,496
    Female;1,688,581;892,108;795,671;802;644,362;1,041,704;2,514
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);430,162;318,352;111,810;-;288,668;141,495;-
    White alone, not Hispanic;2,563,559;1,167,827;1,394,931;802;855,967;1,703,582;4,010
    Black alone, not Hispanic;27,388;21,162;6,226;-;12,797;14,591;-
    Asian alone, not Hispanic;99,460;74,602;24,858;-;74,617;24,842;-
    Two or more races + Other races, not Hispanic;182,158;125,465;56,693;-;116,806;65,352;-
Education ;;;;;;;
    Less than high school;88,834;84,968;3,866;-;60,612;28,222;-
    High school or GED;1,002,006;614,306;387,700;-;503,910;498,096;-
    Some college/associate’s degree;1,167,620;556,137;611,483;-;449,233;716,891;1,496
    Bachelor’s degree or higher;1,044,267;451,996;591,469;802;335,100;706,652;2,514
Marital status ;;;;;;;
    Married;1,825,648;883,318;942,330;-;641,553;1,180,887;3,208
    Widowed;92,070;20,768;71,302;-;23,260;68,811;-
    Divorced/separated;514,960;240,969;273,991;-;164,413;350,547;-
    Never married;859,690;558,148;301,541;-;518,868;340,821;-
    Did not report;10,358;4,203;5,353;802;761;8,795;802
Presence of children under 18 years old ;;;;;;;
    Children in household;1,049,798;729,179;320,618;-;492,982;555,103;1,713
    No children;2,252,929;978,228;1,273,899;802;855,873;1,394,759;2,297
Health status ;;;;;;;
    Excellent;613,531;291,113;322,418;-;211,285;400,533;1,713
    Very good;1,052,784;398,292;654,492;-;308,637;744,147;-
    Good;997,666;610,205;387,462;-;520,685;476,981;-
    Fair;378,956;256,065;122,892;-;226,175;152,781;-
    Poor;57,358;43,647;13,712;-;25,482;30,381;1,496
    Did not report;202,431;108,087;93,542;802;56,590;145,039;802
Household income ;;;;;;;
    Less than $25,000;441,441;308,168;133,273;-;284,022;157,419;-
    $25,000 - $34,999;301,556;192,135;109,421;-;183,307;118,249;-
    $35,000 - $49,999;408,054;211,877;196,177;-;174,445;232,113;1,496
    $50,000 - $74,999;553,697;300,616;253,081;-;227,002;326,695;-
    $75,000 - $99,999;546,927;254,988;291,939;-;202,198;344,729;-
    $100,000 - $149,999;458,858;174,413;284,445;-;110,333;347,941;584
    $150,000 - $199,999;171,158;75,679;95,479;-;50,349;120,810;-
    $200,000 and above;187,113;64,953;122,160;-;55,932;130,052;1,129
    Did not report;233,923;124,578;108,543;802;61,268;171,853;802
