Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,379,614;1,570,722;155,594;1,001,910;1,948,426;155,594
Age ;;;;;;
    18 - 29;199,940;240,723;39,881;138,665;301,998;39,881
    30 - 39;482,383;413,274;58,100;323,037;572,620;58,100
    40 - 49;171,309;293,353;25,999;161,299;303,363;25,999
    50 - 59;236,939;217,409;10,299;173,932;280,416;10,299
    60 - 69;167,872;204,198;17,309;98,745;273,325;17,309
    70 - 79;105,940;150,268;1,480;94,273;161,934;1,480
    80 and above;15,231;51,496;2,526;11,958;54,770;2,526
Sex ;;;;;;
    Male;724,997;724,920;88,763;523,587;926,331;88,763
    Female;654,617;845,801;66,831;478,323;1,022,095;66,831
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);152,333;200,148;3,937;121,778;230,703;3,937
    White alone, not Hispanic;922,256;951,669;106,569;609,262;1,264,662;106,569
    Black alone, not Hispanic;38,459;43,928;885;20,016;62,372;885
    Asian alone, not Hispanic;140,767;274,689;28,319;137,632;277,823;28,319
    Two or more races + Other races, not Hispanic;125,799;100,287;15,882;113,221;112,866;15,882
Education ;;;;;;
    Less than high school;72,271;75,939;-;42,902;105,309;-
    High school or GED;289,272;330,895;27,465;206,480;413,687;27,465
    Some college/associate’s degree;410,357;554,664;43,572;389,557;575,464;43,572
    Bachelor’s degree or higher;607,714;609,223;84,558;362,971;853,966;84,558
Marital status ;;;;;;
    Married;806,740;892,958;58,210;620,652;1,079,046;58,210
    Widowed;27,234;36,679;631;32,659;31,254;631
    Divorced/separated;168,157;205,742;19,512;148,931;224,968;19,512
    Never married;374,777;429,688;72,231;198,860;605,605;72,231
    Did not report;2,706;5,654;5,009;807;7,553;5,009
Presence of children under 18 years old ;;;;;;
    Children in household;460,375;436,741;39,288;355,877;541,239;39,288
    No children;919,239;1,133,981;116,306;646,033;1,407,187;116,306
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;707,735;663,816;44,081;573,771;797,780;44,081
    No;671,879;906,905;106,503;428,138;1,150,646;106,503
    Did not report;-;-;5,009;-;-;5,009
Respondent currently employed ;;;;;;
    Yes;771,326;948,577;120,035;599,862;1,120,040;120,035
    No;608,288;622,145;30,549;402,047;828,386;30,549
    Did not report;-;-;5,009;-;-;5,009
Household income ;;;;;;
    Less than $25,000;127,490;111,261;-;59,591;179,161;-
    $25,000 - $34,999;147,297;147,488;-;71,956;222,830;-
    $35,000 - $49,999;100,534;133,161;-;91,265;142,430;-
    $50,000 - $74,999;220,705;281,732;-;239,769;262,669;-
    $75,000 - $99,999;157,760;158,288;-;140,073;175,975;-
    $100,000 - $149,999;254,373;273,913;-;167,461;360,825;-
    $150,000 - $199,999;160,061;174,606;-;71,853;262,814;-
    $200,000 and above;178,230;268,374;-;127,581;319,024;-
    Did not report;33,162;21,897;155,594;32,361;22,698;155,594
