Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,409,374;2,180,301;570,556;1,301,437;2,301,026;557,768
Age ;;;;;;
    18 - 29;221,381;444,500;204,248;220,572;445,309;204,248
    30 - 39;298,450;487,412;83,760;282,288;504,888;82,447
    40 - 49;156,706;514,221;75,080;135,614;537,585;72,809
    50 - 59;317,718;219,588;45,139;282,028;255,278;45,139
    60 - 69;241,356;297,135;103,547;208,363;330,476;103,199
    70 - 79;121,317;162,375;48,303;122,468;170,080;39,447
    80 and above;52,446;55,069;10,478;50,105;57,410;10,478
Sex ;;;;;;
    Male;548,082;1,219,994;296,805;511,037;1,265,410;288,434
    Female;861,292;960,307;273,751;790,400;1,035,616;269,334
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);738,347;1,218,300;309,582;718,865;1,243,658;303,705
    White alone, not Hispanic;479,301;600,175;138,428;380,912;701,833;135,159
    Black alone, not Hispanic;96,414;175,533;37,867;99,149;172,798;37,867
    Asian alone, not Hispanic;63,962;120,371;60,778;66,539;121,436;57,136
    Two or more races + Other races, not Hispanic;31,352;65,921;23,901;35,971;61,302;23,901
Education ;;;;;;
    Less than high school;282,977;389,208;138,167;274,967;402,473;132,912
    High school or GED;387,354;730,353;216,406;364,895;754,240;214,977
    Some college/associate’s degree;480,191;633,155;144,318;453,751;661,407;142,506
    Bachelor’s degree or higher;258,852;427,585;71,665;207,824;482,905;67,373
Marital status ;;;;;;
    Married;856,782;950,719;218,458;795,856;1,015,050;215,052
    Widowed;77,929;71,125;20,914;67,594;81,459;20,914
    Divorced/separated;188,987;297,823;83,964;153,019;337,733;80,022
    Never married;285,382;857,180;236,884;283,991;864,011;231,444
    Did not report;295;3,454;10,336;976;2,773;10,336
Presence of children under 18 years old ;;;;;;
    Children in household;539,953;1,035,797;301,010;481,884;1,101,577;293,299
    No children;869,421;1,144,504;269,545;819,553;1,199,449;264,468
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;931,969;1,266,621;343,816;870,455;1,333,104;338,847
    No;477,405;913,680;216,933;430,982;967,300;209,736
    Did not report;-;-;9,807;-;622;9,185
Respondent currently employed ;;;;;;
    Yes;668,166;1,091,262;229,497;615,775;1,146,273;226,878
    No;741,208;1,089,039;330,798;685,662;1,154,753;320,629
    Did not report;-;-;10,260;-;-;10,260
Household income ;;;;;;
    Less than $25,000;332,079;415,815;-;303,459;444,435;-
    $25,000 - $34,999;189,311;416,551;4,127;214,970;395,019;-
    $35,000 - $49,999;138,706;227,621;3,942;120,869;248,916;485
    $50,000 - $74,999;206,273;354,113;1,327;199,129;362,584;-
    $75,000 - $99,999;236,074;258,207;348;214,389;280,241;-
    $100,000 - $149,999;185,837;164,601;165;140,340;210,263;-
    $150,000 - $199,999;50,562;195,728;1,429;41,036;206,682;-
    $200,000 and above;39,766;64,208;-;35,625;68,349;-
    Did not report;30,766;83,457;559,217;31,621;84,537;557,283
