Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,331,723;2,564,953;286,519;1,102,591;2,799,051;281,552
Age ;;;;;;
    18 - 29;169,294;583,580;64,725;214,787;538,088;64,725
    30 - 39;310,948;495,912;61,969;263,177;552,354;53,298
    40 - 49;260,666;231,281;66,864;214,683;277,264;66,864
    50 - 59;228,036;574,262;20,347;118,920;683,378;20,347
    60 - 69;197,486;335,646;12,526;169,788;359,641;16,230
    70 - 79;127,622;307,027;56,700;98,386;336,263;56,700
    80 and above;37,670;37,245;3,388;22,850;52,064;3,388
Sex ;;;;;;
    Male;550,248;1,410,398;157,077;548,146;1,421,170;148,406
    Female;781,475;1,154,555;129,442;554,445;1,377,881;133,146
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);198,930;599,060;58,522;265,383;532,607;58,522
    White alone, not Hispanic;747,748;833,205;123,170;542,651;1,034,598;126,874
    Black alone, not Hispanic;19,655;297,978;20,275;23,816;293,817;20,275
    Asian alone, not Hispanic;300,358;747,409;50,589;243,010;813,428;41,918
    Two or more races + Other races, not Hispanic;65,033;87,301;33,963;27,732;124,602;33,963
Education ;;;;;;
    Less than high school;18,426;290,844;30,513;18,426;290,844;30,513
    High school or GED;253,179;644,476;69,542;270,774;626,881;69,542
    Some college/associate’s degree;292,930;611,700;49,463;220,169;680,757;53,166
    Bachelor’s degree or higher;767,188;1,017,932;137,000;593,221;1,200,570;128,330
Marital status ;;;;;;
    Married;823,379;1,191,764;94,385;565,538;1,445,901;98,089
    Widowed;27,156;72,207;3,388;20,702;78,660;3,388
    Divorced/separated;203,481;175,684;72,375;184,134;195,031;72,375
    Never married;277,433;1,124,700;113,185;332,217;1,078,587;104,514
    Did not report;274;597;3,187;-;872;3,187
Presence of children under 18 years old ;;;;;;
    Children in household;393,044;872,044;129,694;346,355;918,734;129,694
    No children;938,679;1,692,908;156,824;756,236;1,880,318;151,857
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;751,218;1,146,768;127,337;690,233;1,212,720;122,370
    No;579,802;1,418,184;155,409;411,656;1,586,331;155,409
    Did not report;702;-;3,773;702;-;3,773
Respondent currently employed ;;;;;;
    Yes;737,810;1,365,321;164,806;615,574;1,487,557;164,806
    No;593,210;1,199,632;117,940;486,314;1,311,495;112,973
    Did not report;702;-;3,773;702;-;3,773
Household income ;;;;;;
    Less than $25,000;117,652;367,706;-;92,419;392,939;-
    $25,000 - $34,999;58,851;132,436;-;31,448;159,840;-
    $35,000 - $49,999;129,055;403,821;-;194,791;338,085;-
    $50,000 - $74,999;97,832;336,212;8,671;95,868;343,143;3,704
    $75,000 - $99,999;157,696;201,634;-;136,050;223,280;-
    $100,000 - $149,999;246,584;413,968;-;166,380;494,171;-
    $150,000 - $199,999;105,178;178,985;-;84,980;199,183;-
    $200,000 and above;376,102;480,828;-;270,805;586,126;-
    Did not report;42,773;49,361;277,848;29,849;62,285;277,848
