Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;5,925,290;485,377;1,045,400;1,269,355;1,449,817;435,536;820,814;418,992
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;409,091;164,558;34,466;51,054;108,967;11,216;20,158;18,672
    I did not work because I am/was sick with coronavirus symptoms;5,918;-;-;-;5,918;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for children not in school or daycare;109,550;-;28,572;12,075;17,758;8,205;29,921;13,020
    I did not work because I am/was caring for an elderly person;63,327;-;15,617;12,841;32,603;338;1,292;636
    I am/was sick (not coronavirus related) or disabled;351,250;33,649;127,124;14,771;100,702;33,710;38,176;3,118
    I am retired;1,307,771;33,649;168,825;277,393;270,275;153,000;225,188;179,442
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);1,148,231;-;254,584;199,503;394,839;63,195;202,254;33,857
    I am/was laid off due to coronavirus pandemic;867,168;141,610;64,575;306,609;123,428;13,797;167,456;49,693
    My employment closed temporarily due to the coronavirus pandemic;760,004;79,709;142,446;79,049;240,948;80,977;107,503;29,372
    My employment went out of business due to the coronavirus pandemic;150,873;-;83,140;29,273;10,330;19,249;3,275;5,606
    Other reason;739,309;32,203;121,194;286,788;144,047;51,849;25,273;77,957
    Did not report reason;12,796;-;4,857;-;-;-;318;7,621
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;56,248;-;-;13,959;13,190;8,656;8,383;12,061
    Yes, I received full pay but do not have to take leave;126,677;-;11,874;9,342;62,413;13,543;14,834;14,670
    Yes, I received partial pay;429,761;-;181,873;140,726;36,060;19,789;35,477;15,835
    No, I received no pay;4,745,787;257,527;829,884;986,406;1,243,108;381,572;697,971;349,319
    Did not report;566,817;227,850;21,769;118,922;95,046;11,976;64,150;27,106
