Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,278,298;120,160;37,119;411,560;254,901;143,605;183,315;127,638
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;81,503;-;4,986;49,502;7,257;6,076;9,719;3,962
    I did not work because I am/was sick with coronavirus symptoms;8,581;-;-;-;6,899;1,683;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;8,683;-;-;-;8,683;-;-;-
    I did not work because I am/was caring for children not in school or daycare;51,970;-;-;22,678;11,171;3,711;7,114;7,296
    I did not work because I am/was caring for an elderly person;16,607;-;-;4,857;7,310;4,440;-;-
    I am/was sick (not coronavirus related) or disabled;42,800;-;-;21,834;7,739;2,149;7,993;3,084
    I am retired;414,956;8,591;1,232;120,484;90,458;65,903;54,971;73,317
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);231,088;111,569;3,833;39,349;19,092;22,842;20,638;13,765
    I am/was laid off due to coronavirus pandemic;110,059;-;-;58,715;29,906;3,101;15,215;3,123
    My employment closed temporarily due to the coronavirus pandemic;123,319;-;2,463;53,825;21,244;9,066;23,954;12,766
    My employment went out of business due to the coronavirus pandemic;13,037;-;-;-;1,695;-;10,168;1,174
    Other reason;170,476;-;24,605;40,315;39,117;23,746;33,542;9,151
    Did not report reason;5,219;-;-;-;4,331;888;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;12,276;-;2,714;7,820;-;-;811;931
    Yes, I received full pay but do not have to take leave;20,686;-;-;4,178;5,197;7,668;2,955;688
    Yes, I received partial pay;56,628;-;-;23,603;12,196;8,252;8,651;3,925
    No, I received no pay;1,130,934;114,609;33,173;345,833;219,911;126,115;169,503;121,790
    Did not report;57,774;5,551;1,232;30,126;17,597;1,570;1,394;305
