Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,910,782;4,332;246,355;680,640;329,887;98,152;319,084;232,331
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;124,408;4,332;-;85,677;22,165;-;1,696;10,538
    I did not work because I am/was sick with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for children not in school or daycare;52,665;-;-;13,859;11,935;11,249;10,562;5,059
    I did not work because I am/was caring for an elderly person;2,113;-;-;-;2,113;-;-;-
    I am/was sick (not coronavirus related) or disabled;216,817;-;167,633;29,492;12,055;-;1,760;5,876
    I am retired;655,340;-;-;259,780;93,292;44,192;145,569;112,507
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);340,598;-;66,968;118,057;77,125;2,078;51,860;24,510
    I am/was laid off due to coronavirus pandemic;173,221;-;-;40,986;53,178;16,379;49,133;13,544
    My employment closed temporarily due to the coronavirus pandemic;126,869;-;-;28,921;29,435;18,351;22,007;28,154
    My employment went out of business due to the coronavirus pandemic;11,194;-;-;-;2,078;-;3,431;5,685
    Other reason;201,144;-;5,838;103,869;26,510;5,902;33,066;25,960
    Did not report reason;6,414;-;5,916;-;-;-;-;498
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;76,734;-;-;73,621;-;-;-;3,113
    Yes, I received full pay but do not have to take leave;37,722;-;-;-;2,113;-;17,473;18,135
    Yes, I received partial pay;72,424;-;-;21,373;21,950;1,019;11,455;16,627
    No, I received no pay;1,505,490;4,332;72,806;583,952;301,848;90,156;263,850;188,545
    Did not report;218,413;-;173,549;1,694;3,976;6,977;26,306;5,911
