Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;3,105,929;267,069;1,110,187;208,076;211,156;43,366;84;1,260,982;5,009
Age ;;;;;;;;;
    18 - 24;154,161;-;88,199;-;1,883;-;-;64,079;-
    25 - 39;1,280,141;142,636;569,976;113,477;82,052;12,064;84;359,852;-
    40 - 54;693,038;92,561;235,182;54,504;60,370;31,302;-;215,579;3,542
    55 - 64;492,712;21,448;176,393;30,706;35,632;-;-;228,532;-
    65 and above;485,877;10,423;40,438;9,390;31,219;-;-;392,940;1,467
Sex ;;;;;;;;;
    Male;1,538,680;123,311;669,930;50,349;105,079;30,300;84;556,085;3,542
    Female;1,567,249;143,758;440,257;157,727;106,077;13,065;-;704,897;1,467
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);356,419;56,453;50,407;45,463;49,556;3,937;-;150,603;-
    White alone, not Hispanic;1,980,494;141,482;723,370;132,726;117,559;9,531;84;855,742;-
    Black alone, not Hispanic;83,273;20,969;25,706;-;1,931;-;-;34,667;-
    Asian alone, not Hispanic;443,775;21,587;180,838;24,067;41,327;29,897;-;141,051;5,009
    Two or more races + Other races, not Hispanic;241,969;26,579;129,866;5,821;783;-;-;78,920;-
Education ;;;;;;;;;
    Less than high school;148,211;-;22,222;-;-;-;-;125,989;-
    High school or GED;647,632;35,698;118,830;65,589;89,748;6,595;-;331,172;-
    Some college/associate’s degree;1,008,592;77,095;402,948;38,076;36,211;32,987;-;419,809;1,467
    Bachelor’s degree or higher;1,301,495;154,276;566,187;104,412;85,198;3,784;84;384,013;3,542
Marital status ;;;;;;;;;
    Married;1,757,908;136,482;650,374;144,926;141,970;28,615;-;655,541;-
    Widowed;64,545;370;12,865;-;4,234;-;-;47,076;-
    Divorced/separated;393,411;55,684;91,249;16,579;31,150;10,533;-;188,217;-
    Never married;876,696;73,118;354,892;46,571;32,046;4,218;84;365,766;-
    Did not report;13,370;1,415;807;-;1,756;-;-;4,382;5,009
Presence of children under 18 years old ;;;;;;;;;
    Children in household;936,404;85,474;353,750;88,979;53,536;39,148;-;315,517;-
    No children;2,169,526;181,595;756,437;119,097;157,620;4,218;84;945,465;5,009
Health status ;;;;;;;;;
    Excellent;821,600;79,328;354,740;54,505;107,817;37,743;84;187,383;-
    Very good;1,104,665;126,653;312,560;108,141;60,114;3,937;-;493,260;-
    Good;692,626;46,222;278,790;24,058;39,209;1,685;-;302,662;-
    Fair;275,585;12,173;52,462;16,620;1,756;-;-;192,573;-
    Poor;64,322;-;1,392;4,753;-;-;-;58,177;-
    Did not report;147,132;2,692;110,243;-;2,260;-;-;26,927;5,009
Household income ;;;;;;;;;
    Less than $25,000;238,752;11,999;20,104;7,498;42,870;-;-;156,281;-
    $25,000 - $34,999;294,786;9,464;31,406;19,213;16,301;-;-;218,402;-
    $35,000 - $49,999;233,695;35,838;30,993;18,544;20,235;10,813;-;117,272;-
    $50,000 - $74,999;502,438;72,554;126,748;43,892;22,034;5,188;-;232,021;-
    $75,000 - $99,999;316,049;21,816;155,275;27,551;11,532;-;-;99,874;-
    $100,000 - $149,999;528,286;54,457;231,337;42,651;46,038;-;84;153,719;-
    $150,000 - $199,999;334,667;18,632;163,026;13,144;11,012;-;-;128,853;-
    $200,000 and above;446,605;36,961;236,847;7,967;31,458;27,364;-;106,008;-
    Did not report;210,653;5,346;114,452;27,617;9,676;-;-;48,552;5,009
