Health Table 3. Current Health Insurance Status, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;7,761,097;6,164,983;3,053,099;1,196,920;2,059,890
Age ;;;;;
    18 - 24;792,022;550,037;345,812;179,640;494,120
    25 - 34;1,365,445;1,138,868;320,987;330,088;273,961
    35 - 44;1,468,314;1,262,975;410,118;240,117;331,652
    45 - 64;2,615,376;2,225,616;681,322;368,072;441,771
    65 and over;1,519,940;987,487;1,294,859;79,003;518,386
Sex ;;;;;
    Male;3,969,776;3,235,144;1,316,907;711,772;1,114,289
    Female;3,791,321;2,929,839;1,736,192;485,147;945,601
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);2,663,598;2,106,191;918,955;733,966;950,014
    White alone, not Hispanic;2,986,500;2,401,077;1,133,020;188,731;472,823
    Black alone, not Hispanic;484,198;372,682;266,527;14,835;83,721
    Asian alone, not Hispanic;1,290,656;1,040,022;544,719;226,302;419,793
    Two or more races + Other races, not Hispanic;336,144;245,011;189,878;33,086;133,539
Education ;;;;;
    Less than high school;945,026;634,449;466,720;463,032;584,016
    High school or GED;1,147,111;909,840;526,057;279,839;594,002
    Some college/associate’s degree;2,508,532;1,951,664;1,091,996;300,885;621,076
    Bachelor’s degree or higher;3,160,428;2,669,030;968,325;153,164;260,796
Marital status ;;;;;
    Married;3,898,252;3,293,816;1,309,870;499,928;625,324
    Widowed;308,757;177,685;250,441;19,152;64,347
    Divorced/separated;948,371;688,443;484,549;184,798;288,810
    Never married;2,600,768;2,000,090;1,003,289;491,103;1,049,458
    Did not report;4,949;4,949;4,949;1,939;31,952
Presence of children under 18 years old ;;;;;
    Children in household;2,532,956;2,105,657;882,108;668,732;1,021,827
    No children;5,228,141;4,059,326;2,170,991;528,188;1,038,063
Respondent or household member experienced loss of employment income ;;;;;
    Yes;4,059,384;3,043,264;1,607,505;927,501;1,039,029
    No;3,699,834;3,120,514;1,444,919;269,419;1,001,444
    Did not report;1,879;1,205;674;-;19,417
Respondent currently employed ;;;;;
    Yes;4,107,985;3,827,863;816,875;356,416;606,783
    No;3,653,111;2,337,120;2,236,224;840,503;1,431,676
    Did not report;-;-;-;-;21,432
Household income ;;;;;
    Less than $25,000;931,053;395,151;782,626;264,215;48,277
    $25,000 - $34,999;628,401;408,265;296,156;265,167;107,610
    $35,000 - $49,999;681,828;544,621;315,069;240,557;15,116
    $50,000 - $74,999;1,262,518;906,819;574,578;115,240;1,514
    $75,000 - $99,999;1,170,882;1,076,731;345,735;138,543;25,798
    $100,000 - $149,999;1,121,363;1,014,016;297,255;90,552;309
    $150,000 - $199,999;635,512;619,057;93,640;20,119;-
    $200,000 and above;896,872;823,685;165,752;12,732;99
    Did not report;432,667;376,636;182,288;49,795;1,861,168
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
