Health Table 3. Current Health Insurance Status, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;8,650,285;7,136,700;3,039,026;1,475,479;964,268
Age ;;;;;
    18 - 24;298,838;268,852;29,985;248,148;42,570
    25 - 34;1,806,658;1,677,873;299,192;689,504;288,968
    35 - 44;2,055,264;1,626,116;508,777;129,800;254,854
    45 - 64;2,799,766;2,407,727;635,546;407,722;296,909
    65 and over;1,689,760;1,156,132;1,565,526;305;80,967
Sex ;;;;;
    Male;4,268,552;3,530,346;1,647,514;723,729;412,042
    Female;4,381,733;3,606,354;1,391,512;751,750;552,226
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);3,374,258;2,910,938;1,006,680;900,484;463,028
    White alone, not Hispanic;2,894,396;2,186,810;1,248,197;273,363;248,734
    Black alone, not Hispanic;336,481;294,283;147,496;279,548;18,543
    Asian alone, not Hispanic;1,809,056;1,547,431;555,289;19,811;199,421
    Two or more races + Other races, not Hispanic;236,093;197,238;81,364;2,273;34,542
Education ;;;;;
    Less than high school;1,087,260;1,003,887;487,561;357,547;173,123
    High school or GED;2,573,503;1,947,332;919,235;273,253;171,896
    Some college/associate’s degree;2,182,216;1,681,051;1,022,445;630,707;317,719
    Bachelor’s degree or higher;2,807,306;2,504,431;609,784;213,972;301,530
Marital status ;;;;;
    Married;4,432,282;3,755,069;1,393,978;330,217;278,911
    Widowed;277,564;117,566;255,459;57,798;17,716
    Divorced/separated;1,240,468;930,223;660,569;33,691;194,130
    Never married;2,685,601;2,319,472;729,019;1,053,772;448,246
    Did not report;14,369;14,369;-;-;25,264
Presence of children under 18 years old ;;;;;
    Children in household;3,069,873;2,613,332;854,577;432,948;424,574
    No children;5,580,412;4,523,369;2,184,448;1,042,531;539,694
Respondent or household member experienced loss of employment income ;;;;;
    Yes;4,935,943;3,954,767;1,617,847;957,658;456,617
    No;3,697,615;3,181,933;1,404,453;517,821;482,387
    Did not report;16,726;-;16,726;-;25,264
Respondent currently employed ;;;;;
    Yes;4,460,509;4,101,736;800,496;826,940;444,364
    No;4,159,960;3,005,149;2,208,713;648,539;494,640
    Did not report;29,816;29,816;29,816;-;25,264
Household income ;;;;;
    Less than $25,000;1,068,038;463,736;690,152;407,729;18,176
    $25,000 - $34,999;967,095;830,877;535,021;110,225;3,456
    $35,000 - $49,999;1,156,578;934,325;447,715;346,086;18,064
    $50,000 - $74,999;1,279,765;1,010,832;427,566;331,529;-
    $75,000 - $99,999;1,450,476;1,363,632;333,447;253,379;3,364
    $100,000 - $149,999;1,017,774;950,351;256,260;5,973;-
    $150,000 - $199,999;524,231;469,269;78,256;3,963;-
    $200,000 and above;823,873;780,243;216,545;10,319;-
    Did not report;362,456;333,435;54,064;6,275;921,208
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
