Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;166,316;-;-;64,550;48,704;-;41,126;11,937
    I did not work because I am/was sick with coronavirus symptoms;31,029;-;-;6,723;3,862;-;-;20,444
    I did not work because I am/was caring for someone with coronavirus symptoms;14,808;-;-;-;-;-;-;14,808
    I did not work because I am/was caring for children not in school or daycare;266,702;-;75,308;79,056;61,091;22,748;23,634;4,865
    I did not work because I am/was caring for an elderly person;111,007;-;73,397;-;11,548;3,445;1,004;21,613
    I am/was sick (not coronavirus related) or disabled;246,910;-;-;134,326;82,631;25,883;4,028;43
    I am retired;897,360;-;3,119;207,666;169,902;204,284;202,085;110,304
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);1,128,016;23,804;56,380;462,201;232,258;141,894;152,798;58,682
    I am/was laid off due to coronavirus pandemic;520,366;88,588;-;137,283;156,823;58,314;41,263;38,095
    My employment closed temporarily due to the coronavirus pandemic;909,191;140,851;78,532;209,031;230,044;64,556;123,854;62,323
    My employment went out of business due to the coronavirus pandemic;26,686;-;-;-;12,716;-;12,299;1,671
    Other reason;629,908;47,609;112,782;223,053;86,105;29,156;84,364;46,839
    Did not report reason;36,617;-;-;4,699;13,176;-;18,741;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;79,426;-;-;-;32,273;9,654;24,996;12,502
    Yes, I received full pay but do not have to take leave;108,966;-;-;25,958;47,047;9,190;15,103;11,668
    Yes, I received partial pay;291,048;-;14,692;89,793;76,563;52,348;24,607;33,046
    No, I received no pay;4,286,933;300,853;384,827;1,359,675;926,770;373,390;622,311;319,108
    Did not report;218,543;-;-;53,162;26,206;105,697;18,179;15,299
