Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;162,472;356,680;63,740;127,208;396,811;58,871
    30 - 39;303,479;431,802;41,920;213,253;522,027;41,920
    40 - 49;178,167;282,975;41,641;157,154;303,988;41,641
    50 - 59;233,255;220,557;48,187;164,436;287,819;49,744
    60 - 69;161,433;246,529;33,549;126,822;281,140;33,549
    70 - 79;156,517;155,067;20,561;125,559;186,024;20,561
    80 and above;20,568;33,848;2,210;15,529;38,887;2,210
Sex ;;;;;;
    Male;585,063;979,649;126,530;441,735;1,127,845;121,661
    Female;630,827;747,808;125,279;488,226;888,853;126,835
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);92,993;199,481;18,299;57,740;234,735;18,299
    White alone, not Hispanic;882,037;1,030,724;153,751;656,058;1,260,014;150,440
    Black alone, not Hispanic;41,100;60,727;21,131;42,966;58,862;21,131
    Asian alone, not Hispanic;105,247;263,246;40,271;95,892;272,600;40,271
    Two or more races + Other races, not Hispanic;94,513;173,279;18,357;77,306;190,486;18,357
Education ;;;;;;
    Less than high school;34,551;99,532;5,131;10,515;123,568;5,131
    High school or GED;321,124;423,481;88,454;271,695;472,909;88,454
    Some college/associate’s degree;358,979;542,434;82,715;333,229;566,626;84,271
    Bachelor’s degree or higher;501,237;662,011;75,509;314,522;853,593;70,641
Marital status ;;;;;;
    Married;708,594;930,665;117,077;526,748;1,110,954;118,634
    Widowed;27,941;44,411;1,528;20,557;51,795;1,528
    Divorced/separated;193,114;257,099;24,227;156,296;293,918;24,227
    Never married;283,619;483,905;97,696;218,307;554,086;92,828
    Did not report;2,622;11,377;11,280;8,054;5,945;11,280
Presence of children under 18 years old ;;;;;;
    Children in household;398,053;571,393;64,077;324,345;645,101;64,077
    No children;817,837;1,156,064;187,731;605,616;1,371,596;184,420
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;604,176;752,084;144,102;435,310;920,950;144,102
    No;611,714;962,503;100,900;482,635;1,094,893;97,589
    Did not report;-;12,870;6,806;12,016;854;6,806
Respondent currently employed ;;;;;;
    Yes;680,636;1,012,916;137,937;536,010;1,160,854;134,626
    No;535,254;714,541;106,460;393,952;855,843;106,460
    Did not report;-;-;7,411;-;-;7,411
Household income ;;;;;;
    Less than $25,000;97,082;145,042;-;68,998;173,127;-
    $25,000 - $34,999;83,889;103,458;-;69,533;117,813;-
    $35,000 - $49,999;136,035;181,198;-;120,449;196,784;-
    $50,000 - $74,999;239,878;292,907;-;210,963;321,821;-
    $75,000 - $99,999;140,543;211,865;4,554;102,677;249,731;4,554
    $100,000 - $149,999;220,214;346,415;4,868;164,259;405,682;1,557
    $150,000 - $199,999;85,702;191,894;-;63,347;214,249;-
    $200,000 and above;187,434;221,810;-;108,808;300,435;-
    Did not report;25,113;32,868;242,386;20,926;37,055;242,386
