Health Table 3. Current Health Insurance Status, by Select Characteristics: Oregon;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;2,672,563;2,099,395;1,214,356;233,371;396,792
Age ;;;;;
    18 - 24;163,746;148,545;37,108;11,000;99,704
    25 - 34;462,035;357,042;161,607;97,662;70,882
    35 - 44;496,033;393,911;148,469;55,050;29,029
    45 - 64;860,350;729,630;259,473;67,385;108,401
    65 and over;690,399;470,267;607,699;2,275;88,776
Sex ;;;;;
    Male;1,275,266;1,011,336;608,873;134,476;204,404
    Female;1,397,297;1,088,059;605,484;98,895;192,389
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);310,436;210,862;163,682;43,776;24,708
    White alone, not Hispanic;2,080,343;1,664,202;931,442;174,923;308,293
    Black alone, not Hispanic;43,700;41,204;17,239;-;11,192
    Asian alone, not Hispanic;85,219;68,938;36,735;3,855;9,199
    Two or more races + Other races, not Hispanic;152,866;114,190;65,259;10,816;43,400
Education ;;;;;
    Less than high school;125,366;89,321;101,614;33,332;26,532
    High school or GED;681,780;492,385;365,519;69,648;153,532
    Some college/associate’s degree;939,588;712,115;441,942;100,148;127,879
    Bachelor’s degree or higher;925,829;805,574;305,282;30,244;88,849
Marital status ;;;;;
    Married;1,465,787;1,224,425;648,266;84,685;119,051
    Widowed;117,609;84,865;110,225;1,372;5,336
    Divorced/separated;481,621;317,105;252,913;26,990;60,232
    Never married;602,765;468,218;201,048;120,324;201,349
    Did not report;4,781;4,781;1,904;-;10,824
Presence of children under 18 years old ;;;;;
    Children in household;791,986;594,108;321,201;99,513;206,362
    No children;1,880,578;1,505,287;893,155;133,858;190,430
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,267,649;967,975;493,530;187,987;215,813
    No;1,403,024;1,129,530;720,467;45,385;171,630
    Did not report;1,890;1,890;359;-;9,350
Respondent currently employed ;;;;;
    Yes;1,465,770;1,287,523;401,424;98,517;176,461
    No;1,204,248;809,327;811,382;134,854;210,982
    Did not report;2,545;2,545;1,550;-;9,350
Household income ;;;;;
    Less than $25,000;342,180;144,158;282,925;51,332;-
    $25,000 - $34,999;275,619;184,736;152,138;41,925;10,681
    $35,000 - $49,999;361,770;240,704;217,727;57,475;3,952
    $50,000 - $74,999;429,644;370,762;167,448;43,849;-
    $75,000 - $99,999;349,027;313,363;133,003;24,096;-
    $100,000 - $149,999;444,828;403,507;132,231;4,439;2,447
    $150,000 - $199,999;184,547;180,283;44,634;-;-
    $200,000 and above;159,877;151,797;25,828;4,064;-
    Did not report;125,071;110,086;58,422;6,191;379,713
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
