Health Table 3. Current Health Insurance Status, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;2,808,883;2,415,295;926,750;144,940;152,107
Age ;;;;;
    18 - 24;133,593;133,593;-;-;20,568
    25 - 34;753,602;651,245;244,321;79,521;44,892
    35 - 44;584,894;537,563;90,553;25,482;37,900
    45 - 64;871,009;805,541;184,665;31,768;36,823
    65 and over;465,785;287,354;407,211;8,169;11,924
Sex ;;;;;
    Male;1,359,141;1,219,030;405,728;92,986;86,553
    Female;1,449,741;1,196,265;521,022;51,954;65,554
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);306,862;247,994;127,648;49,556;-
    White alone, not Hispanic;1,807,442;1,588,483;596,281;66,032;107,020
    Black alone, not Hispanic;82,387;75,344;12,928;-;885
    Asian alone, not Hispanic;389,803;325,891;132,880;25,653;28,319
    Two or more races + Other races, not Hispanic;222,388;177,583;57,013;3,698;15,882
Education ;;;;;
    Less than high school;148,211;56,879;91,332;-;-
    High school or GED;547,207;465,907;290,093;76,582;23,843
    Some college/associate’s degree;915,275;780,000;294,071;49,611;43,707
    Bachelor’s degree or higher;1,198,190;1,112,510;251,254;18,747;84,558
Marital status ;;;;;
    Married;1,621,313;1,456,190;386,932;78,385;58,210
    Widowed;62,501;51,669;43,760;-;2,044
    Divorced/separated;354,523;252,012;220,242;24,275;14,613
    Never married;762,184;648,530;271,866;42,280;72,231
    Did not report;8,361;6,893;3,950;-;5,009
Presence of children under 18 years old ;;;;;
    Children in household;881,874;685,210;288,181;19,180;35,350
    No children;1,927,009;1,730,084;638,570;125,760;116,757
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,261,098;1,042,292;424,748;118,012;36,522
    No;1,547,784;1,373,003;502,002;26,927;110,576
    Did not report;-;-;-;-;5,009
Respondent currently employed ;;;;;
    Yes;1,634,718;1,598,640;252,833;89,122;116,098
    No;1,174,165;816,655;673,917;55,817;31,000
    Did not report;-;-;-;-;5,009
Household income ;;;;;
    Less than $25,000;182,327;92,055;114,126;56,425;-
    $25,000 - $34,999;279,993;210,346;219,454;12,132;2,660
    $35,000 - $49,999;216,270;166,380;102,167;16,012;1,412
    $50,000 - $74,999;468,127;361,441;239,727;34,310;-
    $75,000 - $99,999;304,826;287,661;52,861;11,222;-
    $100,000 - $149,999;519,962;504,147;89,235;8,324;-
    $150,000 - $199,999;334,667;298,386;53,301;-;-
    $200,000 and above;446,605;442,836;36,553;-;-
    Did not report;56,105;52,043;19,327;6,513;148,035
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
