Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;11,090,032;6,350,219;4,697,823;41,990;5,310,225;5,754,543;25,264
Age ;;;;;;;
    18 - 24;589,556;270,192;319,363;-;203,427;386,129;-
    25 - 39;3,980,255;2,550,641;1,429,613;-;2,356,157;1,624,098;-
    40 - 54;2,940,455;2,069,164;871,290;-;1,580,231;1,360,224;-
    55 - 64;1,808,734;950,794;845,607;12,334;776,257;1,020,143;12,334
    65 and above;1,771,032;509,427;1,231,949;29,656;394,153;1,363,949;12,930
Sex ;;;;;;;
    Male;5,404,322;3,223,758;2,162,180;18,384;2,878,588;2,524,077;1,658
    Female;5,685,709;3,126,461;2,535,643;23,606;2,431,637;3,230,467;23,606
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);4,737,770;3,159,582;1,578,188;-;2,840,810;1,896,960;-
    White alone, not Hispanic;3,416,493;1,603,038;1,788,192;25,264;1,115,028;2,276,202;25,264
    Black alone, not Hispanic;634,572;446,415;188,157;-;402,237;232,336;-
    Asian alone, not Hispanic;2,028,289;1,082,714;945,574;-;921,770;1,106,518;-
    Two or more races + Other races, not Hispanic;272,907;58,470;197,712;16,726;30,380;242,527;-
Education ;;;;;;;
    Less than high school;1,617,931;1,181,171;436,760;-;1,062,538;555,393;-
    High school or GED;3,018,652;1,665,997;1,341,382;11,272;1,321,450;1,685,930;11,272
    Some college/associate’s degree;3,130,642;1,818,309;1,299,999;12,334;1,718,258;1,400,050;12,334
    Bachelor’s degree or higher;3,322,807;1,684,742;1,619,681;18,384;1,207,979;2,113,170;1,658
Marital status ;;;;;;;
    Married;5,041,411;2,882,440;2,142,245;16,726;2,327,970;2,713,441;-
    Widowed;353,079;153,280;199,799;-;87,615;265,464;-
    Divorced/separated;1,468,289;745,183;723,105;-;558,910;909,379;-
    Never married;4,187,620;2,560,612;1,627,008;-;2,321,360;1,866,259;-
    Did not report;39,633;8,704;5,666;25,264;14,369;-;25,264
Presence of children under 18 years old ;;;;;;;
    Children in household;3,927,395;2,286,921;1,640,474;-;1,706,669;2,220,727;-
    No children;7,162,636;4,063,297;3,057,349;41,990;3,603,556;3,533,816;25,264
Health status ;;;;;;;
    Excellent;1,734,566;899,813;834,753;-;759,472;975,094;-
    Very good;2,519,299;1,419,299;1,099,999;-;1,260,986;1,258,313;-
    Good;3,583,252;2,017,247;1,549,279;16,726;1,749,075;1,834,176;-
    Fair;2,118,665;1,425,481;693,184;-;1,191,639;927,026;-
    Poor;213,268;160,139;53,129;-;136,248;77,020;-
    Did not report;920,982;428,240;467,479;25,264;212,805;682,914;25,264
Household income ;;;;;;;
    Less than $25,000;1,493,942;1,109,354;384,588;-;972,941;521,001;-
    $25,000 - $34,999;1,080,775;659,890;420,886;-;671,757;409,018;-
    $35,000 - $49,999;1,520,728;944,299;576,429;-;898,573;622,155;-
    $50,000 - $74,999;1,611,295;764,169;847,126;-;463,021;1,148,274;-
    $75,000 - $99,999;1,707,220;1,274,740;415,753;16,726;1,188,392;518,828;-
    $100,000 - $149,999;1,023,747;476,596;547,151;-;397,296;626,451;-
    $150,000 - $199,999;528,194;202,952;325,242;-;124,423;403,771;-
    $200,000 and above;834,192;222,212;611,980;-;152,305;681,887;-
    Did not report;1,289,939;696,006;568,669;25,264;441,517;823,158;25,264
