Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;4,423,647;2,772,384;1,650,276;987;1,948,432;2,473,470;1,745
Age ;;;;;;;
    18 - 24;172,756;170,332;2,425;-;98,462;74,294;-
    25 - 39;1,517,032;1,139,340;377,692;-;629,411;887,621;-
    40 - 54;1,468,392;830,865;637,187;340;723,254;744,040;1,098
    55 - 64;713,733;404,299;308,788;647;285,060;428,026;647
    65 and above;551,733;227,549;324,184;-;212,245;339,488;-
Sex ;;;;;;;
    Male;2,434,944;1,402,305;1,032,298;340;1,021,805;1,412,799;340
    Female;1,988,703;1,370,079;617,978;647;926,628;1,060,671;1,405
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);2,041,852;1,503,712;538,139;-;1,093,520;947,573;758
    White alone, not Hispanic;1,640,218;856,967;782,604;647;509,794;1,129,778;647
    Black alone, not Hispanic;405,316;205,981;199,335;-;168,068;237,248;-
    Asian alone, not Hispanic;185,391;81,470;103,921;-;78,624;106,767;-
    Two or more races + Other races, not Hispanic;150,870;124,254;26,276;340;98,426;52,104;340
Education ;;;;;;;
    Less than high school;507,680;306,362;201,318;-;306,362;201,318;-
    High school or GED;1,703,996;1,129,943;574,053;-;752,171;951,825;-
    Some college/associate’s degree;1,456,198;907,377;547,833;987;570,820;884,391;987
    Bachelor’s degree or higher;755,774;428,702;327,072;-;319,079;435,936;758
Marital status ;;;;;;;
    Married;2,315,316;1,524,695;790,622;-;947,873;1,366,685;758
    Widowed;194,900;83,003;111,897;-;78,568;116,332;-
    Divorced/separated;654,508;335,939;318,569;-;316,034;338,474;-
    Never married;1,148,713;723,489;425,224;-;500,698;648,014;-
    Did not report;110,210;105,259;3,964;987;105,259;3,964;987
Presence of children under 18 years old ;;;;;;;
    Children in household;2,452,514;1,700,881;751,633;-;1,209,647;1,242,109;758
    No children;1,971,133;1,071,503;898,643;987;738,785;1,231,361;987
Health status ;;;;;;;
    Excellent;520,551;396,605;123,946;-;294,960;224,833;758
    Very good;1,049,648;622,254;427,393;-;492,361;557,286;-
    Good;1,271,327;880,869;390,458;-;464,166;807,161;-
    Fair;618,472;226,405;392,067;-;107,301;511,171;-
    Poor;495,307;479,849;15,457;-;475,974;19,333;-
    Did not report;468,343;166,401;300,955;987;113,669;353,686;987
Household income ;;;;;;;
    Less than $25,000;669,598;517,973;151,625;-;393,928;275,669;-
    $25,000 - $34,999;496,722;307,533;189,190;-;244,193;252,529;-
    $35,000 - $49,999;546,420;327,777;218,644;-;106,277;440,144;-
    $50,000 - $74,999;760,510;581,153;179,357;-;460,278;300,232;-
    $75,000 - $99,999;602,848;359,663;243,185;-;201,850;400,998;-
    $100,000 - $149,999;445,573;264,725;180,848;-;206,865;237,950;758
    $150,000 - $199,999;148,943;51,192;97,751;-;36,561;112,381;-
    $200,000 and above;71,648;33,022;38,625;-;29,418;42,230;-
    Did not report;681,385;329,347;351,051;987;269,062;411,336;987
