Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;315,090;278,846;122,434;143,525;47,734;463,303;135,071;133,977;127,544;47,734
    30 - 39;277,462;228,793;130,624;75,897;59,608;317,212;270,546;50,856;74,162;59,608
    40 - 49;339,584;270,489;57,353;76,088;46,656;441,377;194,608;39,549;67,981;46,656
    50 - 59;250,490;115,993;60,788;102,306;79,987;272,568;93,423;49,484;112,181;81,909
    60 - 69;376,508;336,988;110,996;17,782;45,627;450,083;274,705;93,209;23,696;46,208
    70 - 79;298,211;95,632;44,688;1,341;49,375;328,334;53,029;20,521;10,974;76,390
    80 and above;98,219;8,499;5,540;5,824;2,151;88,993;12,460;10,378;3,025;5,377
Sex ;;;;;;;;;;
    Male;953,536;680,837;321,939;272,088;124,457;1,242,463;484,681;207,676;266,566;151,471
    Female;1,002,028;654,404;210,484;150,676;206,682;1,119,407;549,161;190,298;152,997;212,411
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);774,007;595,801;251,758;253,911;163,327;1,053,151;385,532;142,121;260,723;197,277
    White alone, not Hispanic;835,492;495,605;184,144;117,464;135,100;915,681;463,580;136,220;112,077;140,248
    Black alone, not Hispanic;140,340;115,667;83,505;16,168;14,445;179,314;60,910;92,213;22,762;14,927
    Asian alone, not Hispanic;151,997;101,072;7,183;12,520;8,915;144,753;98,662;24,930;4,426;8,915
    Two or more races + Other races, not Hispanic;53,728;27,096;5,833;22,700;9,351;68,971;25,157;2,490;19,573;2,516
Education ;;;;;;;;;;
    Less than high school;461,631;553,237;42,648;82,094;75,652;703,344;301,364;34,832;66,703;109,020
    High school or GED;512,617;215,641;195,313;155,808;103,093;549,926;211,943;203,791;113,720;103,093
    Some college/associate’s degree;552,047;358,976;230,075;133,475;106,521;660,681;311,524;97,641;206,414;104,834
    Bachelor’s degree or higher;429,268;207,387;64,386;51,386;45,873;447,919;209,011;61,711;32,725;46,935
Marital status ;;;;;;;;;;
    Married;1,124,712;661,061;271,230;170,766;140,348;1,358,040;526,456;166,990;180,716;135,916
    Widowed;80,717;186,461;19,146;12,901;25,133;74,658;155,116;19,485;12,790;62,309
    Divorced/separated;335,867;106,190;71,835;51,986;71,564;350,249;124,925;57,215;33,488;71,564
    Never married;412,716;379,976;167,951;175,554;80,305;577,371;225,793;154,283;178,751;80,305
    Did not report;1,552;1,552;2,261;11,556;13,788;1,552;1,552;-;13,818;13,788
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;952,805;598,114;361,660;267,793;142,874;1,234,241;458,901;222,407;262,321;145,376
    No children;1,002,758;737,126;170,763;154,970;188,265;1,127,629;574,940;175,567;157,241;218,505
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;887,986;648,834;345,460;341,172;148,156;1,063,254;542,493;303,972;311,812;150,077
    No;1,067,578;685,143;184,702;81,592;158,281;1,298,616;490,085;94,002;105,490;189,103
    Did not report;-;1,264;2,261;-;24,702;-;1,264;-;2,261;24,702
Respondent currently employed ;;;;;;;;;;
    Yes;944,375;427,621;245,994;169,186;132,582;1,067,704;380,318;211,262;127,311;133,163
    No;1,011,188;907,620;284,168;253,578;170,705;1,294,165;653,524;186,712;289,991;202,868
    Did not report;-;-;2,261;-;27,851;-;-;-;2,261;27,851
Household income ;;;;;;;;;;
    Less than $25,000;293,273;161,221;84,808;48,411;-;324,501;129,151;38,422;61,789;33,849
    $25,000 - $34,999;252,213;130,188;128,996;80,434;-;290,904;122,716;103,370;72,920;1,921
    $35,000 - $49,999;399,676;258,970;58,802;108,576;-;472,894;234,453;55,406;60,046;3,226
    $50,000 - $74,999;250,022;213,306;101,267;40,765;-;244,684;185,630;104,103;70,361;581
    $75,000 - $99,999;253,010;295,671;58,490;36,615;6,835;409,806;137,622;46,089;57,104;-
    $100,000 - $149,999;270,801;151,401;45,071;84,344;-;315,771;124,638;26,589;84,620;-
    $150,000 - $199,999;65,751;46,583;19,926;9,169;-;91,145;36,202;3,835;10,246;-
    $200,000 and above;80,752;56,885;10,955;2,477;-;101,806;31,326;15,459;2,477;-
    Did not report;90,066;21,015;24,110;11,972;324,304;110,360;32,103;4,701;-;324,304
