Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;138,176;312,554;78,866;55,816;301,217;245,973;222,573;70,956;45,909;301,217
    30 - 39;325,793;196,883;159,529;40,131;46,240;330,231;184,127;157,687;58,783;37,746
    40 - 49;258,701;194,924;94,330;48,568;28,419;190,690;220,882;139,403;45,794;28,172
    50 - 59;330,575;151,846;15,853;69,138;170,987;295,025;188,219;22,546;61,780;170,829
    60 - 69;319,122;150,570;41,173;15,241;29,161;243,026;228,411;42,695;12,277;28,858
    70 - 79;339,204;162,079;42,906;11,663;31,367;323,712;175,893;51,460;7,686;28,468
    80 and above;76,023;24,155;2,106;7,072;4,219;77,021;25,044;219;7,072;4,219
Sex ;;;;;;;;;;
    Male;891,714;436,408;237,234;111,234;262,079;885,154;470,714;220,231;112,219;250,350
    Female;895,878;756,604;197,527;136,395;349,532;820,524;774,435;264,737;127,081;349,160
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);268,369;332,777;143,527;59,722;205,554;318,911;287,027;168,101;39,051;196,859
    White alone, not Hispanic;817,538;448,988;211,621;69,428;82,341;650,651;572,751;253,515;73,603;79,398
    Black alone, not Hispanic;120,369;22,760;13,398;14,870;119,607;121,548;31,008;7,677;11,164;119,607
    Asian alone, not Hispanic;539,269;328,492;58,920;90,530;118,888;570,679;295,107;50,043;101,843;118,427
    Two or more races + Other races, not Hispanic;42,047;59,994;7,294;13,080;85,220;43,889;59,256;5,631;13,639;85,220
Education ;;;;;;;;;;
    Less than high school;110,191;48,241;94,891;21,198;257,694;48,810;125,494;89,491;19,219;249,200
    High school or GED;278,416;355,590;57,057;58,523;118,872;323,925;250,551;116,324;58,787;118,872
    Some college/associate’s degree;411,189;282,016;130,845;100,632;98,712;408,508;292,683;127,799;96,053;98,352
    Bachelor’s degree or higher;987,797;507,165;151,968;67,275;136,332;924,436;576,421;151,354;65,240;133,086
Marital status ;;;;;;;;;;
    Married;1,093,931;521,828;129,876;154,762;175,838;1,042,106;592,942;134,677;142,412;164,097
    Widowed;61,875;16,536;36,479;6,639;11,295;62,385;18,539;34,464;6,343;11,093
    Divorced/separated;331,719;134,428;25,584;28,450;124,671;186,788;288,062;23,116;22,216;124,671
    Never married;297,835;518,914;242,822;57,737;289,819;412,861;343,606;292,710;68,288;289,661
    Did not report;2,233;1,305;-;42;9,988;1,538;2,000;-;42;9,988
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;587,805;372,642;95,307;88,616;311,272;522,229;439,791;99,883;91,206;302,532
    No children;1,199,788;820,370;339,454;159,012;300,338;1,183,449;805,358;385,085;148,094;296,979
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;599,974;601,223;227,832;204,964;305,666;688,859;473,739;307,398;175,187;294,475
    No;1,187,233;591,789;206,929;42,665;290,352;1,016,434;771,410;177,569;64,113;289,442
    Did not report;385;-;-;-;15,592;385;-;-;-;15,592
Respondent currently employed ;;;;;;;;;;
    Yes;863,537;448,679;205,199;104,777;289,074;832,695;511,630;165,911;120,944;280,087
    No;923,845;742,255;229,562;142,851;306,445;872,773;731,442;319,056;118,356;303,332
    Did not report;211;2,077;-;-;16,091;211;2,077;-;-;16,091
Household income ;;;;;;;;;;
    Less than $25,000;165,888;166,704;44,460;53,877;202;74,690;251,089;64,927;40,424;-
    $25,000 - $34,999;80,193;164,486;12,987;29,118;8,494;197,102;43,995;29,415;24,767;-
    $35,000 - $49,999;144,816;126,365;53,180;17,027;-;82,828;150,466;86,880;21,214;-
    $50,000 - $74,999;199,167;151,525;34,726;50,728;-;207,792;136,759;36,793;54,802;-
    $75,000 - $99,999;191,743;86,491;54,327;8,851;-;177,385;106,066;33,554;24,407;-
    $100,000 - $149,999;267,594;197,872;129,235;46,694;-;250,026;231,258;124,592;35,519;-
    $150,000 - $199,999;130,706;92,903;33,497;9,749;2,855;139,901;97,411;23,902;8,495;-
    $200,000 and above;544,340;185,712;61,884;20,343;247;525,238;192,451;75,091;19,746;-
    Did not report;63,145;20,955;10,465;11,242;599,813;50,716;35,655;9,814;9,927;599,510
