Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,636,571;1,070,750;483,674;241,297;463,593;1,593,693;1,260,691;335,573;241,037;464,891
Age ;;;;;;;;;;
    18 - 29;302,733;281,445;173,648;62,809;98,935;308,195;295,313;140,099;77,028;98,935
    30 - 39;296,650;285,164;47,383;109,527;59,290;307,230;308,545;48,893;74,056;59,290
    40 - 49;292,247;170,944;64,799;32,094;54,213;179,033;292,236;44,916;43,897;54,213
    50 - 59;260,733;123,824;67,632;18,741;94,334;243,210;146,802;58,868;23,188;93,195
    60 - 69;260,560;112,913;85,370;9,183;105,102;264,002;151,422;39,369;13,232;105,102
    70 - 79;189,638;87,303;6,861;6,114;43,134;232,161;45,322;3,189;6,807;45,570
    80 and above;34,012;9,157;37,981;2,829;8,586;59,862;21,052;237;2,829;8,586
Sex ;;;;;;;;;;
    Male;1,036,158;437,089;104,907;156,201;211,493;939,251;612,554;75,550;107,000;211,493
    Female;600,413;633,661;378,767;85,096;252,100;654,441;648,138;260,023;134,037;253,398
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);210,191;279,023;97,680;89,154;105,298;185,685;358,543;59,239;70,144;107,734
    White alone, not Hispanic;691,845;386,108;210,838;80,001;161,574;675,629;439,979;177,094;77,229;160,435
    Black alone, not Hispanic;44,447;88,966;69,883;10,139;55,329;67,243;78,347;56,329;11,514;55,329
    Asian alone, not Hispanic;538,226;290,345;93,214;54,242;80,482;623,129;246,329;29,226;77,343;80,482
    Two or more races + Other races, not Hispanic;151,862;26,308;12,058;7,760;60,910;42,006;137,493;13,684;4,806;60,910
Education ;;;;;;;;;;
    Less than high school;86,083;26,042;72,313;78,739;80,214;74,729;116,366;46,612;25,471;80,214
    High school or GED;420,872;142,011;118,339;24,891;122,061;321,620;313,934;40,402;30,157;122,061
    Some college/associate’s degree;322,062;302,025;167,011;76,066;157,267;355,240;278,732;161,559;71,633;157,267
    Bachelor’s degree or higher;807,554;600,672;126,010;61,600;104,051;842,104;551,659;87,000;113,775;105,349
Marital status ;;;;;;;;;;
    Married;1,121,476;462,548;153,365;95,891;216,618;1,061,095;595,368;81,151;94,368;217,916
    Widowed;31,085;9,161;10,315;653;10,565;32,748;12,110;3,120;3,236;10,565
    Divorced/separated;132,585;145,158;61,021;45,546;67,567;150,601;137,552;31,671;64,485;67,567
    Never married;346,378;453,645;258,972;98,894;138,142;346,152;513,398;219,393;78,947;138,142
    Did not report;5,047;237;-;313;30,700;3,097;2,263;237;-;30,700
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;696,436;349,081;152,618;125,700;194,618;552,663;613,596;84,579;72,996;194,618
    No children;940,135;721,669;331,056;115,597;268,975;1,041,030;647,095;250,994;168,040;270,273
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;506,774;566,233;295,813;191,333;238,736;516,256;654,475;233,383;153,603;241,172
    No;1,127,972;504,517;187,860;49,759;198,686;1,075,612;606,011;102,190;87,434;197,548
    Did not report;1,825;-;-;205;26,171;1,825;205;-;-;26,171
Respondent currently employed ;;;;;;;;;;
    Yes;1,013,741;659,213;176,113;64,416;178,183;1,025,443;650,460;132,258;106,460;177,044
    No;622,830;411,537;307,560;176,881;247,042;568,249;610,231;203,315;134,577;249,478
    Did not report;-;-;-;-;38,368;-;-;-;-;38,368
Household income ;;;;;;;;;;
    Less than $25,000;85,337;74,006;178,286;29,519;-;92,811;80,717;158,354;35,266;-
    $25,000 - $34,999;139,086;51,524;59,231;72,346;-;103,544;157,919;26,431;34,294;-
    $35,000 - $49,999;67,454;144,220;62,548;8,576;-;74,156;170,282;24,315;14,046;-
    $50,000 - $74,999;193,326;130,801;34,924;24,253;-;116,938;177,076;37,625;49,230;2,436
    $75,000 - $99,999;153,880;119,923;15,041;19,043;-;155,910;126,002;11,781;14,195;-
    $100,000 - $149,999;198,951;211,822;26,681;20,770;-;227,700;190,382;24,991;15,150;-
    $150,000 - $199,999;144,516;76,739;22,826;21,359;-;151,422;71,603;17,249;25,166;-
    $200,000 and above;601,911;196,697;62,739;16,341;1,139;599,998;223,549;29,466;25,815;-
    Did not report;52,110;65,016;21,397;29,090;462,454;71,215;63,162;5,361;27,875;462,454
