Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,471,910;999,992;473,962;239,384;528,588;1,471,683;1,128,718;262,092;331,672;519,670
Age ;;;;;;;;;;
    18 - 29;302,683;167,707;97,426;55,579;164,036;298,724;193,498;79,017;52,156;164,036
    30 - 39;293,067;213,805;112,350;47,807;59,263;257,015;269,238;79,999;61,026;59,014
    40 - 49;196,728;298,043;136,307;49,738;66,184;213,333;301,651;42,152;125,493;64,371
    50 - 59;261,069;115,459;54,706;64,406;71,951;241,342;151,601;38,842;63,505;72,302
    60 - 69;246,517;101,933;59,191;17,401;122,753;262,617;130,457;13,300;18,668;122,753
    70 - 79;140,518;80,713;13,583;3,631;23,359;147,114;76,186;5,675;9,470;23,359
    80 and above;31,327;22,332;399;821;21,042;51,538;6,088;3,106;1,354;13,835
Sex ;;;;;;;;;;
    Male;722,993;521,427;311,669;90,370;175,447;800,609;552,159;138,316;162,753;168,069
    Female;748,916;478,565;162,292;149,014;353,141;671,073;576,559;123,776;168,920;351,601
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);301,070;111,761;188,224;95,367;139,829;269,795;190,397;57,503;178,975;139,581
    White alone, not Hispanic;671,749;437,266;113,520;92,656;145,278;709,927;414,698;103,376;95,687;136,780
    Black alone, not Hispanic;124,635;48,877;38,401;25,181;43,478;130,864;87,047;4,390;14,792;43,478
    Asian alone, not Hispanic;275,624;222,224;114,246;17,188;162,025;256,066;263,373;82,606;27,409;161,854
    Two or more races + Other races, not Hispanic;98,831;179,864;19,570;8,993;37,978;105,031;173,203;14,216;14,808;37,978
Education ;;;;;;;;;;
    Less than high school;118,153;62,617;143,194;47,723;198,881;94,048;138,681;16,248;129,916;191,675
    High school or GED;308,430;243,511;61,773;48,266;72,826;324,691;262,964;22,129;52,196;72,826
    Some college/associate’s degree;381,735;206,812;106,765;72,796;144,212;379,043;248,492;86,692;53,881;144,212
    Bachelor’s degree or higher;663,591;487,052;162,230;70,599;112,669;673,901;478,581;137,022;95,679;110,958
Marital status ;;;;;;;;;;
    Married;859,776;536,773;184,221;48,910;143,710;852,197;580,237;76,872;129,472;134,613
    Widowed;36,923;20,422;5,248;2,085;10,181;35,129;19,742;2,810;6,997;10,181
    Divorced/separated;123,113;77,457;88,856;32,913;71,140;111,156;134,103;42,483;34,247;71,490
    Never married;447,871;360,083;195,282;155,476;297,320;466,667;391,927;139,331;160,956;297,149
    Did not report;4,227;5,258;354;-;6,238;6,534;2,710;595;-;6,238
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;543,760;407,970;117,085;61,770;236,020;520,551;460,690;88,857;61,722;234,785
    No children;928,150;592,023;356,877;177,614;292,568;951,132;668,029;173,235;269,950;284,885
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;659,756;381,622;349,588;130,425;261,266;646,756;504,889;153,538;216,685;260,790
    No;812,154;618,370;124,373;108,959;256,819;824,927;623,830;108,554;114,987;248,377
    Did not report;-;-;-;-;10,503;-;-;-;-;10,503
Respondent currently employed ;;;;;;;;;;
    Yes;887,016;467,987;311,387;75,207;217,867;863,902;548,283;156,276;174,620;216,384
    No;584,894;532,005;162,220;164,177;300,505;607,781;580,081;105,816;157,053;293,070
    Did not report;-;-;354;-;10,216;-;354;-;-;10,216
Household income ;;;;;;;;;;
    Less than $25,000;86,387;58,849;65,830;107,684;7,207;94,611;95,290;38,001;98,056;-
    $25,000 - $34,999;154,289;55,979;127,376;9,434;-;155,705;73,758;20,590;97,025;-
    $35,000 - $49,999;61,316;48,311;25,906;6,898;-;63,053;43,821;21,808;13,749;-
    $50,000 - $74,999;81,365;194,834;31,201;21,667;407;82,956;219,256;12,594;14,669;-
    $75,000 - $99,999;209,903;72,078;53,515;7,817;-;215,438;92,506;19,016;16,354;-
    $100,000 - $149,999;181,187;153,692;62,042;27,658;171;171,293;176,392;39,161;37,904;-
    $150,000 - $199,999;192,517;98,663;54,469;21,983;-;177,485;109,808;55,271;25,067;-
    $200,000 and above;406,285;259,459;28,973;19,704;1,235;410,247;248,082;40,221;17,106;-
    Did not report;98,661;58,127;24,649;16,538;519,568;100,894;69,806;15,429;11,743;519,670
