Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,743,801;66,296;303,685;490,694;322,427;97,207;253,562;209,930
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;252,359;-;134,970;48,130;39,588;422;16,694;12,555
    I did not work because I am/was sick with coronavirus symptoms;14,626;3,105;8,046;-;-;-;3,097;379
    I did not work because I am/was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for children not in school or daycare;95,850;-;-;52,571;5,165;893;29,093;8,127
    I did not work because I am/was caring for an elderly person;34,723;-;-;-;17,445;4,429;9,697;3,152
    I am/was sick (not coronavirus related) or disabled;164,870;7,067;5,306;122,067;4,425;15,816;6,080;4,110
    I am retired;368,606;-;7,207;81,066;77,953;38,254;77,482;86,644
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);227,850;2,941;24,126;59,881;65,320;18,236;31,320;26,027
    I am/was laid off due to coronavirus pandemic;169,612;27,062;19,622;61,399;32,204;6,786;16,769;5,768
    My employment closed temporarily due to the coronavirus pandemic;165,992;-;30,944;14,710;54,316;8,510;10,667;46,844
    My employment went out of business due to the coronavirus pandemic;15,303;-;-;-;1,354;2,377;10,075;1,498
    Other reason;214,280;26,121;68,158;49,883;12,512;193;42,588;14,825
    Did not report reason;19,729;-;5,306;988;12,145;1,290;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;18,258;-;5,328;-;5,360;-;4,113;3,458
    Yes, I received full pay but do not have to take leave;71,968;14,218;8,046;4,545;10,421;3,484;7,067;24,187
    Yes, I received partial pay;77,397;-;4,346;52,570;4,791;6,677;1,987;7,026
    No, I received no pay;1,519,923;52,078;280,659;418,490;285,724;80,735;234,651;167,586
    Did not report;56,255;-;5,306;15,089;16,131;6,311;5,745;7,674
