Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,672,875;-;84,968;560,764;467,145;157,471;253,565;148,962
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;87,703;-;13,208;22,845;31,985;4,240;8,555;6,870
    I did not work because I am/was sick with coronavirus symptoms;16,501;-;-;6,856;9,645;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;906;-;-;-;-;-;-;906
    I did not work because I am/was caring for children not in school or daycare;82,949;-;-;10,279;35,130;12,686;22,018;2,836
    I did not work because I am/was caring for an elderly person;15,944;-;-;3,032;12,912;-;-;-
    I am/was sick (not coronavirus related) or disabled;73,159;-;-;-;38,592;30,426;3,557;584
    I am retired;614,505;-;-;247,135;139,623;44,957;93,047;89,744
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);204,034;-;39,861;20,693;55,791;28,556;38,831;20,303
    I am/was laid off due to coronavirus pandemic;196,930;-;-;106,911;53,842;9,558;18,490;8,129
    My employment closed temporarily due to the coronavirus pandemic;212,093;-;31,899;71,791;42,515;18,520;32,149;15,219
    My employment went out of business due to the coronavirus pandemic;1,389;-;-;-;1,389;-;-;-
    Other reason;166,761;-;-;71,223;45,720;8,528;36,919;4,371
    Did not report reason;-;-;-;-;-;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;28,520;-;13,691;13,691;1,139;-;-;-
    Yes, I received full pay but do not have to take leave;85,772;-;-;38,334;21,089;2,005;15,899;8,445
    Yes, I received partial pay;15,161;-;-;3,032;1,663;913;8,426;1,126
    No, I received no pay;1,471,753;-;71,278;476,451;425,360;149,888;220,772;128,005
    Did not report;71,667;-;-;29,256;17,892;4,665;8,468;11,386
