Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;4,434,369;1,002,671;2,894,348;296,833;240,517;-;1,434,781
Age ;;;;;;;
    18 - 24;245,011;31,407;172,537;41,066;-;-;290,494
    25 - 39;798,677;191,008;485,122;96,660;25,887;-;486,604
    40 - 54;1,114,180;153,630;848,127;69,123;43,300;-;193,191
    55 - 64;903,819;258,612;577,214;45,882;22,111;-;141,080
    65 and above;1,372,682;368,015;811,348;44,101;149,218;-;323,412
Sex ;;;;;;;
    Male;2,270,911;557,341;1,550,515;103,188;59,868;-;643,870
    Female;2,163,457;445,330;1,343,833;193,645;180,649;-;790,911
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);1,525,962;227,233;1,075,754;166,474;56,501;-;425,142
    White alone, not Hispanic;1,539,983;361,780;955,770;77,486;144,947;-;531,085
    Black alone, not Hispanic;187,697;59,841;118,769;7,287;1,800;-;88,682
    Asian alone, not Hispanic;876,743;290,551;521,492;40,358;24,343;-;347,598
    Two or more races + Other races, not Hispanic;303,984;63,267;222,564;5,227;12,926;-;42,273
Education ;;;;;;;
    Less than high school;468,351;145,184;290,894;32,272;-;-;276,525
    High school or GED;820,440;114,651;434,106;142,895;128,789;-;315,003
    Some college/associate’s degree;1,295,906;267,737;870,241;83,201;74,727;-;514,195
    Bachelor’s degree or higher;1,849,671;475,098;1,299,108;38,465;37,001;-;329,058
Marital status ;;;;;;;
    Married;2,722,374;521,230;1,920,658;101,630;178,857;-;526,747
    Widowed;214,184;102,763;87,411;20,602;3,408;-;55,722
    Divorced/separated;366,861;135,481;190,870;9,584;30,926;-;110,266
    Never married;1,124,380;239,563;694,273;165,017;25,527;-;698,633
    Did not report;6,570;3,634;1,136;-;1,800;-;43,412
Presence of children under 18 years old ;;;;;;;
    Children in household;1,512,892;171,836;1,005,338;179,838;155,882;-;645,633
    No children;2,921,477;830,836;1,889,011;116,995;84,635;-;789,148
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;2,489,363;438,508;1,566,561;253,355;230,939;-;906,748
    No;1,945,005;564,163;1,327,788;43,478;9,577;-;502,676
    Did not report;-;-;-;-;-;-;25,357
Respondent currently employed ;;;;;;;
    Yes;2,114,387;451,046;1,528,588;98,662;36,091;-;674,515
    No;2,319,982;551,625;1,365,760;198,171;204,425;-;729,322
    Did not report;-;-;-;-;-;-;30,944
Household income ;;;;;;;
    Less than $25,000;282,470;64,398;198,087;17,878;2,108;-;234
    $25,000 - $34,999;371,147;116,815;219,797;32,926;1,609;-;-
    $35,000 - $49,999;492,482;168,957;173,924;118,925;30,676;-;-
    $50,000 - $74,999;568,426;73,439;413,317;64,675;16,994;-;-
    $75,000 - $99,999;625,426;118,516;451,723;39,774;15,412;-;1,529
    $100,000 - $149,999;801,328;156,812;499,279;19,098;126,138;-;-
    $150,000 - $199,999;403,622;87,872;304,954;2,697;8,098;-;-
    $200,000 and above;721,132;119,594;566,192;-;35,346;-;-
    Did not report;168,336;96,267;67,074;860;4,135;-;1,433,017
