Health Table 3. Current Health Insurance Status, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;2,819,069;2,087,091;1,207,983;313,472;1,128,150
Age ;;;;;
    18 - 24;187,784;166,493;31,641;22,163;153,119
    25 - 34;624,045;508,580;208,731;60,165;167,839
    35 - 44;564,917;468,188;199,247;92,269;104,545
    45 - 64;905,182;711,855;304,462;138,752;292,582
    65 and over;537,142;231,975;463,903;123;410,065
Sex ;;;;;
    Male;1,423,572;1,084,284;558,434;222,840;744,813
    Female;1,395,497;1,002,807;649,550;90,632;383,336
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);1,109,853;835,422;489,116;158,232;631,385
    White alone, not Hispanic;1,056,893;728,843;487,902;51,634;216,520
    Black alone, not Hispanic;308,190;257,219;86,882;34,505;82,669
    Asian alone, not Hispanic;167,968;144,004;78,602;31,286;154,568
    Two or more races + Other races, not Hispanic;176,164;121,604;65,481;37,815;43,007
Education ;;;;;
    Less than high school;475,670;276,497;298,053;80,465;506,539
    High school or GED;606,959;473,623;207,009;124,064;205,475
    Some college/associate’s degree;1,028,941;751,413;473,729;80,045;230,356
    Bachelor’s degree or higher;707,499;585,557;229,192;28,898;185,779
Marital status ;;;;;
    Married;1,485,612;1,181,880;581,218;121,606;656,432
    Widowed;129,252;80,540;91,834;686;35,221
    Divorced/separated;424,296;276,466;228,889;82,941;127,701
    Never married;771,954;547,290;298,743;108,239;302,501
    Did not report;7,955;915;7,300;-;6,295
Presence of children under 18 years old ;;;;;
    Children in household;1,156,814;918,500;491,189;211,183;345,340
    No children;1,662,255;1,168,591;716,794;102,290;782,810
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,474,578;1,061,959;621,621;243,358;861,598
    No;1,344,231;1,025,132;586,102;70,114;260,709
    Did not report;260;-;260;-;5,842
Respondent currently employed ;;;;;
    Yes;1,526,291;1,373,450;405,474;121,055;584,058
    No;1,292,778;713,640;802,510;192,417;529,197
    Did not report;-;-;-;-;14,895
Household income ;;;;;
    Less than $25,000;477,572;124,166;399,745;66,200;-
    $25,000 - $34,999;289,471;186,374;183,948;123,556;37,257
    $35,000 - $49,999;274,641;223,721;95,485;33,506;260
    $50,000 - $74,999;386,323;279,979;171,311;24,864;32,514
    $75,000 - $99,999;482,893;438,894;162,212;20,520;13,024
    $100,000 - $149,999;400,101;364,449;85,806;20,713;518
    $150,000 - $199,999;285,485;276,620;30,139;-;-
    $200,000 and above;106,020;98,743;29,680;2,920;2,713
    Did not report;116,563;94,145;49,658;21,193;1,041,863
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
