Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;10,512,305;6,641,445;3,840,697;30,163;5,549,016;4,930,670;32,619
Age ;;;;;;;
    18 - 24;1,067,209;844,972;222,237;-;617,212;449,996;-
    25 - 39;2,782,671;1,839,790;927,634;15,247;1,453,356;1,312,501;16,813
    40 - 54;2,778,700;2,084,313;689,779;4,608;1,842,856;933,955;1,889
    55 - 64;1,466,257;659,928;798,201;8,128;544,831;915,151;6,275
    65 and above;2,417,469;1,212,443;1,202,846;2,179;1,090,759;1,319,067;7,642
Sex ;;;;;;;
    Male;5,094,802;3,203,453;1,879,981;11,369;2,592,359;2,492,228;10,215
    Female;5,417,503;3,437,992;1,960,717;18,794;2,956,657;2,438,442;22,404
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);4,369,674;3,265,973;1,087,580;16,120;3,027,668;1,320,423;21,583
    White alone, not Hispanic;3,288,622;1,801,433;1,485,040;2,150;1,245,472;2,039,201;3,949
    Black alone, not Hispanic;621,640;403,609;215,944;2,086;388,070;233,570;-
    Asian alone, not Hispanic;1,691,136;893,025;791,024;7,087;714,517;969,532;7,087
    Two or more races + Other races, not Hispanic;541,232;277,404;261,108;2,720;173,288;367,944;-
Education ;;;;;;;
    Less than high school;1,936,170;1,583,224;352,945;-;1,448,049;488,121;-
    High school or GED;1,991,283;1,177,649;811,548;2,086;1,132,203;859,080;-
    Some college/associate’s degree;3,180,269;2,207,163;962,984;10,122;1,704,982;1,462,422;12,865
    Bachelor’s degree or higher;3,404,584;1,673,409;1,713,220;17,955;1,263,782;2,121,048;19,754
Marital status ;;;;;;;
    Married;5,028,426;3,132,496;1,890,669;5,261;2,516,374;2,504,970;7,082
    Widowed;766,106;399,148;366,958;-;409,454;356,652;-
    Divorced/separated;1,130,976;648,969;482,007;-;600,982;529,993;-
    Never married;3,527,548;2,447,667;1,079,881;-;2,010,008;1,517,139;401
    Did not report;59,249;13,164;21,183;24,902;12,198;21,916;25,136
Presence of children under 18 years old ;;;;;;;
    Children in household;3,905,955;2,941,005;960,143;4,806;2,476,861;1,429,094;-
    No children;6,606,350;3,700,439;2,880,554;25,357;3,072,155;3,501,576;32,619
Health status ;;;;;;;
    Excellent;1,917,800;1,034,955;882,845;-;719,890;1,197,910;-
    Very good;2,915,789;1,751,882;1,163,907;-;1,388,949;1,526,606;233
    Good;2,407,139;1,633,093;774,046;-;1,514,288;892,850;-
    Fair;1,479,081;1,081,548;394,814;2,720;979,034;494,986;5,062
    Poor;500,745;317,738;183,007;-;333,097;167,247;401
    Did not report;1,291,751;822,229;442,078;27,443;613,757;651,071;26,923
Household income ;;;;;;;
    Less than $25,000;1,723,178;1,261,995;461,182;-;1,214,219;508,959;-
    $25,000 - $34,999;1,119,362;890,672;228,691;-;793,359;325,603;401
    $35,000 - $49,999;964,736;687,488;274,528;2,720;632,413;332,322;-
    $50,000 - $74,999;1,163,949;769,317;394,633;-;615,808;542,847;5,295
    $75,000 - $99,999;1,110,637;678,337;432,300;-;585,868;524,769;-
    $100,000 - $149,999;1,270,325;699,062;571,264;-;505,538;764,788;-
    $150,000 - $199,999;611,871;273,490;338,381;-;195,097;416,774;-
    $200,000 and above;875,210;350,713;524,497;-;192,225;682,985;-
    Did not report;1,673,037;1,030,371;615,222;27,443;814,490;831,624;26,923
