Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;311,374;166,027;143,444;1,903;143,810;165,661;1,903
    25 - 39;1,343,828;750,132;592,799;898;678,904;663,890;1,035
    40 - 54;1,068,271;561,283;506,425;564;470,467;597,074;730
    55 - 64;484,757;215,998;261,080;7,679;133,224;342,589;8,945
    65 and above;1,066,375;246,219;815,222;4,934;215,179;845,123;6,072
Sex ;;;;;;;
    Male;1,938,669;808,253;1,123,495;6,921;757,763;1,172,552;8,353
    Female;2,335,936;1,131,406;1,195,473;9,057;883,820;1,441,785;10,332
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);1,009,949;687,144;314,042;8,763;611,036;390,325;8,588
    White alone, not Hispanic;1,629,916;651,007;974,334;4,576;499,674;1,122,879;7,364
    Black alone, not Hispanic;291,005;93,171;196,605;1,229;113,454;176,321;1,229
    Asian alone, not Hispanic;1,136,099;402,355;732,335;1,410;353,872;780,724;1,504
    Two or more races + Other races, not Hispanic;207,635;105,983;101,652;-;63,547;144,088;-
Education ;;;;;;;
    Less than high school;532,214;354,537;175,013;2,664;235,810;293,741;2,664
    High school or GED;868,459;495,503;368,597;4,359;466,228;398,414;3,817
    Some college/associate’s degree;1,023,394;498,208;521,904;3,282;401,595;616,660;5,139
    Bachelor’s degree or higher;1,850,537;591,410;1,253,454;5,673;537,950;1,305,522;7,065
Marital status ;;;;;;;
    Married;2,076,234;729,158;1,345,899;1,178;760,314;1,312,586;3,334
    Widowed;132,824;27,349;105,475;-;26,671;106,084;68
    Divorced/separated;644,851;293,595;346,100;5,157;152,357;486,855;5,639
    Never married;1,407,127;888,462;518,666;-;701,083;706,044;-
    Did not report;13,568;1,096;2,829;9,643;1,158;2,766;9,643
Presence of children under 18 years old ;;;;;;;
    Children in household;1,455,641;755,595;699,670;377;590,465;864,800;377
    No children;2,818,964;1,184,064;1,619,299;15,601;1,051,119;1,749,537;18,308
Health status ;;;;;;;
    Excellent;700,175;243,926;456,248;-;267,218;432,888;68
    Very good;1,494,200;721,083;772,732;385;570,846;922,141;1,214
    Good;1,022,615;419,623;602,992;-;335,313;686,951;351
    Fair;386,988;217,129;169,859;-;181,162;205,689;137
    Poor;55,161;29,738;25,423;-;24,226;30,847;89
    Did not report;615,466;308,159;291,715;15,592;262,818;335,822;16,826
Household income ;;;;;;;
    Less than $25,000;431,131;265,712;165,419;-;139,992;291,139;-
    $25,000 - $34,999;295,278;235,528;59,750;-;228,949;66,329;-
    $35,000 - $49,999;341,388;186,025;155,152;211;130,539;210,638;211
    $50,000 - $74,999;436,146;193,829;242,316;-;186,347;248,727;1,071
    $75,000 - $99,999;341,412;137,203;204,209;-;120,781;220,268;362
    $100,000 - $149,999;641,395;298,209;343,012;175;270,041;371,218;137
    $150,000 - $199,999;269,709;95,589;174,121;-;92,566;177,143;-
    $200,000 and above;812,526;175,218;637,308;-;179,912;632,614;-
    Did not report;705,621;352,346;337,682;15,592;292,456;396,261;16,904
