Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,105,929;1,415,633;1,685,288;5,009;1,123,452;1,977,469;5,009
Age ;;;;;;;
    18 - 24;154,161;60,118;94,043;-;45,414;108,747;-
    25 - 39;1,280,141;579,512;700,630;-;481,869;798,272;-
    40 - 54;693,038;374,371;315,126;3,542;291,969;397,527;3,542
    55 - 64;492,712;280,343;212,369;-;217,843;274,869;-
    65 and above;485,877;121,290;363,120;1,467;86,357;398,054;1,467
Sex ;;;;;;;
    Male;1,538,680;667,486;867,652;3,542;559,111;976,027;3,542
    Female;1,567,249;748,146;817,635;1,467;564,341;1,001,441;1,467
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);356,419;287,142;69,277;-;242,650;113,769;-
    White alone, not Hispanic;1,980,494;786,382;1,194,112;-;579,863;1,400,631;-
    Black alone, not Hispanic;83,273;21,878;61,395;-;28,250;55,023;-
    Asian alone, not Hispanic;443,775;200,128;238,638;5,009;152,578;286,188;5,009
    Two or more races + Other races, not Hispanic;241,969;120,104;121,865;-;120,111;121,858;-
Education ;;;;;;;
    Less than high school;148,211;113,040;35,171;-;98,880;49,330;-
    High school or GED;647,632;331,152;316,480;-;315,297;332,335;-
    Some college/associate’s degree;1,008,592;515,834;491,291;1,467;422,041;585,084;1,467
    Bachelor’s degree or higher;1,301,495;455,607;842,346;3,542;287,233;1,010,720;3,542
Marital status ;;;;;;;
    Married;1,757,908;792,124;965,784;-;577,257;1,180,651;-
    Widowed;64,545;11,182;53,362;-;6,838;57,707;-
    Divorced/separated;393,411;212,805;180,606;-;185,356;208,055;-
    Never married;876,696;394,451;482,245;-;350,778;525,918;-
    Did not report;13,370;5,070;3,290;5,009;3,224;5,137;5,009
Presence of children under 18 years old ;;;;;;;
    Children in household;936,404;416,928;519,476;-;330,409;605,995;-
    No children;2,169,526;998,705;1,165,812;5,009;793,043;1,371,474;5,009
Health status ;;;;;;;
    Excellent;821,600;325,552;496,048;-;212,824;608,776;-
    Very good;1,104,665;484,194;620,471;-;321,686;782,979;-
    Good;692,626;411,123;281,502;-;359,468;333,157;-
    Fair;275,585;115,116;160,469;-;158,977;116,608;-
    Poor;64,322;44,027;20,295;-;36,283;28,040;-
    Did not report;147,132;35,619;106,503;5,009;34,213;107,909;5,009
Household income ;;;;;;;
    Less than $25,000;238,752;185,382;53,370;-;173,505;65,247;-
    $25,000 - $34,999;294,786;67,755;227,031;-;115,266;179,519;-
    $35,000 - $49,999;233,695;137,203;96,492;-;61,763;171,932;-
    $50,000 - $74,999;502,438;255,429;247,009;-;208,995;293,442;-
    $75,000 - $99,999;316,049;212,117;103,932;-;169,040;147,008;-
    $100,000 - $149,999;528,286;211,972;316,314;-;155,404;372,882;-
    $150,000 - $199,999;334,667;123,817;210,850;-;97,969;236,699;-
    $200,000 and above;446,605;168,728;277,877;-;99,799;346,806;-
    Did not report;210,653;53,231;152,412;5,009;41,710;163,934;5,009
