Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,895,884;1,798,889;2,068,794;28,201;1,419,661;2,437,398;38,824
Age ;;;;;;;
    18 - 24;445,558;246,674;197,500;1,385;204,086;240,087;1,385
    25 - 39;1,272,025;738,551;530,333;3,142;531,663;736,929;3,434
    40 - 54;883,074;438,715;442,325;2,035;369,073;510,835;3,166
    55 - 64;557,486;183,496;355,465;18,525;162,683;366,710;28,093
    65 and above;737,740;191,454;543,172;3,114;152,156;582,837;2,747
Sex ;;;;;;;
    Male;1,945,848;816,893;1,105,816;23,139;682,397;1,229,927;33,523
    Female;1,950,036;981,996;962,978;5,062;737,264;1,207,471;5,301
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);781,345;557,354;221,545;2,446;394,882;373,239;13,224
    White alone, not Hispanic;1,530,367;640,293;867,054;23,019;447,201;1,060,301;22,865
    Black alone, not Hispanic;268,763;129,741;137,637;1,385;130,166;137,212;1,385
    Asian alone, not Hispanic;1,056,511;362,427;693,732;352;358,902;697,257;352
    Two or more races + Other races, not Hispanic;258,899;109,073;148,827;999;88,510;169,389;999
Education ;;;;;;;
    Less than high school;343,392;227,060;116,332;-;218,672;114,130;10,590
    High school or GED;828,173;439,467;388,066;641;329,841;498,333;-
    Some college/associate’s degree;1,024,431;590,710;412,455;21,266;431,385;572,316;20,729
    Bachelor’s degree or higher;1,699,888;541,652;1,151,941;6,295;439,763;1,252,619;7,505
Marital status ;;;;;;;
    Married;2,049,898;715,736;1,332,162;2,001;625,460;1,412,871;11,567
    Widowed;61,779;17,557;43,583;639;16,723;44,536;521
    Divorced/separated;451,877;234,245;216,273;1,359;174,195;276,484;1,198
    Never married;1,296,033;822,937;473,096;-;595,120;699,576;1,337
    Did not report;36,297;8,414;3,681;24,202;8,164;3,931;24,202
Presence of children under 18 years old ;;;;;;;
    Children in household;1,518,452;870,704;647,543;205;683,845;834,607;-
    No children;2,377,432;928,185;1,421,251;27,996;735,816;1,602,792;38,824
Health status ;;;;;;;
    Excellent;792,564;288,099;504,465;-;263,120;529,155;288
    Very good;1,416,872;675,137;740,446;1,288;455,528;960,625;719
    Good;781,168;406,767;373,864;537;367,833;412,857;479
    Fair;361,838;165,806;195,827;205;112,208;248,293;1,337
    Poor;105,473;24,729;80,744;-;18,619;86,854;-
    Did not report;437,969;238,350;173,448;26,171;202,353;199,614;36,002
Household income ;;;;;;;
    Less than $25,000;367,148;243,168;123,980;-;219,466;147,682;-
    $25,000 - $34,999;322,187;236,160;86,027;-;201,372;120,816;-
    $35,000 - $49,999;282,799;204,265;78,533;-;101,397;181,214;188
    $50,000 - $74,999;383,305;133,286;249,300;719;108,388;274,198;719
    $75,000 - $99,999;307,888;189,792;118,096;-;129,047;177,215;1,625
    $100,000 - $149,999;458,224;178,824;278,830;569;111,880;346,344;-
    $150,000 - $199,999;265,439;106,780;157,917;742;73,399;192,040;-
    $200,000 and above;878,827;169,492;709,335;-;170,738;708,089;-
    Did not report;630,068;337,120;266,777;26,171;303,974;289,801;36,293
