Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Oregon;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;185,807;260,773;101,761;150,567;299,150;98,624
    30 - 39;328,749;298,263;49,635;225,862;401,510;49,276
    40 - 49;293,943;216,331;33,499;192,365;317,909;33,499
    50 - 59;213,841;205,937;43,354;172,800;248,220;42,111
    60 - 69;258,650;285,642;13,198;208,142;337,059;12,290
    70 - 79;166,059;232,110;21,529;103,701;294,468;21,529
    80 and above;25,026;53,777;14,843;13,093;65,710;14,843
Sex ;;;;;;
    Male;757,901;726,567;129,678;510,274;978,618;125,254
    Female;714,174;826,266;148,141;556,255;985,408;146,918
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);139,975;186,121;52,825;95,593;230,503;52,825
    White alone, not Hispanic;1,212,456;1,168,010;183,093;858,137;1,524,839;180,583
    Black alone, not Hispanic;5,202;41,047;7,233;4,797;44,589;4,096
    Asian alone, not Hispanic;45,398;55,824;6,293;44,428;56,794;6,293
    Two or more races + Other races, not Hispanic;69,045;101,831;28,375;63,575;107,301;28,375
Education ;;;;;;
    Less than high school;121,416;151,567;50,951;81,308;194,812;47,814
    High school or GED;293,562;385,766;86,159;225,315;456,119;84,052
    Some college/associate’s degree;556,954;517,617;93,685;448,785;626,047;93,423
    Bachelor’s degree or higher;500,143;497,883;47,024;311,121;687,047;46,882
Marital status ;;;;;;
    Married;846,121;781,191;112,774;559,196;1,070,485;110,405
    Widowed;40,372;36,634;4,859;27,012;49,994;4,859
    Divorced/separated;247,983;264,799;27,717;201,938;310,889;27,672
    Never married;329,394;463,846;126,869;271,357;525,117;123,635
    Did not report;8,205;6,363;5,600;7,028;7,540;5,600
Presence of children under 18 years old ;;;;;;
    Children in household;551,705;544,612;84,578;388,200;712,758;79,937
    No children;920,370;1,008,221;193,241;678,329;1,251,267;192,235
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;825,191;799,091;115,325;585,891;1,042,996;110,721
    No;645,193;752,878;157,974;480,499;918,614;156,932
    Did not report;1,691;864;4,520;140;2,415;4,520
Respondent currently employed ;;;;;;
    Yes;809,599;687,235;160,241;538,658;958,452;159,965
    No;661,388;864,148;113,059;527,779;1,003,128;107,687
    Did not report;1,088;1,450;4,520;93;2,445;4,520
Household income ;;;;;;
    Less than $25,000;229,672;194,284;3,361;214,294;212,798;224
    $25,000 - $34,999;133,967;158,176;-;93,412;198,731;-
    $35,000 - $49,999;130,774;275,505;1,371;131,322;276,327;-
    $50,000 - $74,999;271,612;237,931;864;181,449;328,958;-
    $75,000 - $99,999;306,942;193,050;144;186,660;313,333;144
    $100,000 - $149,999;198,939;305,959;97;128,782;376,213;-
    $150,000 - $199,999;77,289;75,558;-;57,800;95,047;-
    $200,000 and above;90,157;64,493;179;45,417;109,412;-
    Did not report;32,724;47,878;271,804;27,394;53,207;271,804
