Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;892,388;944,959;707,741;605,874;1,232,851;706,363
    30 - 39;726,588;1,320,766;127,047;636,248;1,410,764;127,387
    40 - 49;714,811;1,118,166;172,548;631,753;1,201,224;172,548
    50 - 59;701,938;802,651;215,586;415,586;1,091,596;212,992
    60 - 69;828,776;880,556;97,843;729,429;978,223;99,524
    70 - 79;210,533;487,276;45,334;211,535;486,997;44,610
    80 and above;69,466;53,194;56,238;40,374;81,446;57,077
Sex ;;;;;;
    Male;2,172,541;2,953,648;553,672;1,572,240;3,558,205;549,416
    Female;1,971,959;2,653,919;868,665;1,698,559;2,924,898;871,086
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);1,691,208;2,498,527;789,480;1,245,403;2,944,029;789,783
    White alone, not Hispanic;1,478,969;1,628,970;381,245;1,242,747;1,865,309;381,128
    Black alone, not Hispanic;311,826;194,670;55,024;306,768;199,728;55,024
    Asian alone, not Hispanic;492,981;1,126,309;138,980;334,328;1,286,982;136,959
    Two or more races + Other races, not Hispanic;169,516;159,092;57,608;141,554;187,054;57,608
Education ;;;;;;
    Less than high school;1,080,783;708,553;255,527;831,164;958,172;255,527
    High school or GED;467,927;1,747,013;352,010;458,870;1,756,069;352,010
    Some college/associate’s degree;1,043,970;1,361,113;619,072;791,343;1,612,385;620,428
    Bachelor’s degree or higher;1,551,821;1,790,887;195,727;1,189,423;2,156,476;192,537
Marital status ;;;;;;
    Married;1,972,356;2,409,257;400,963;1,643,424;2,739,119;400,033
    Widowed;84,562;115,988;7,180;64,729;135,686;7,314
    Divorced/separated;497,327;713,426;169,556;433,760;776,992;169,556
    Never married;1,589,453;2,228,916;806,800;1,128,424;2,690,982;805,763
    Did not report;803;139,981;37,836;461;140,323;37,836
Presence of children under 18 years old ;;;;;;
    Children in household;1,314,442;2,082,538;730,433;860,573;2,536,407;730,433
    No children;2,830,058;3,525,029;691,904;2,410,227;3,946,695;690,070
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;2,831,911;3,204,939;823,741;2,213,270;3,825,282;822,038
    No;1,312,529;2,400,931;561,568;1,057,469;2,656,122;561,437
    Did not report;60;1,698;37,028;60;1,698;37,028
Respondent currently employed ;;;;;;
    Yes;2,318,400;2,438,033;658,354;1,798,054;2,959,291;657,442
    No;1,826,043;3,169,535;693,868;1,472,688;3,523,811;692,946
    Did not report;57;-;70,115;57;-;70,115
Household income ;;;;;;
    Less than $25,000;521,932;927,462;1,378;342,512;1,107,918;341
    $25,000 - $34,999;452,047;1,189,859;-;390,526;1,251,246;133
    $35,000 - $49,999;284,742;526,137;19,470;252,906;557,707;19,737
    $50,000 - $74,999;451,906;731,088;3,259;380,754;803,818;1,681
    $75,000 - $99,999;1,039,967;549,222;1,315;879,326;709,863;1,315
    $100,000 - $149,999;480,048;668,006;192;361,358;786,887;-
    $150,000 - $199,999;250,525;319,105;-;145,213;424,417;-
    $200,000 and above;450,953;503,530;-;311,335;643,147;-
    Did not report;212,381;193,159;1,396,723;206,869;198,098;1,397,296
