Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;4,219,430;5,901,695;968,906;3,613,786;6,517,150;959,096
Age ;;;;;;
    18 - 29;696,752;1,376,421;193,501;667,782;1,405,391;193,501
    30 - 39;883,688;1,202,725;216,723;720,286;1,366,127;216,723
    40 - 49;705,575;877,727;199,443;574,262;990,975;217,507
    50 - 59;1,040,340;734,205;108,952;842,273;932,272;108,952
    60 - 69;494,086;1,326,219;193,816;488,090;1,361,747;164,283
    70 - 79;303,270;312,472;51,861;252,952;361,132;53,519
    80 and above;95,719;71,927;4,611;68,140;99,506;4,611
Sex ;;;;;;
    Male;2,236,841;2,755,440;412,042;1,831,950;3,158,673;413,699
    Female;1,982,590;3,146,255;556,865;1,781,836;3,358,476;545,397
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);1,512,464;2,801,269;424,038;1,346,576;2,949,092;442,102
    White alone, not Hispanic;1,602,891;1,568,323;245,279;1,408,014;1,761,543;246,936
    Black alone, not Hispanic;387,753;228,276;18,543;400,564;215,465;18,543
    Asian alone, not Hispanic;593,258;1,188,526;246,505;392,403;1,418,913;216,973
    Two or more races + Other races, not Hispanic;123,064;115,302;34,542;66,229;172,137;34,542
Education ;;;;;;
    Less than high school;625,103;837,769;155,059;565,883;878,924;173,123
    High school or GED;856,404;1,990,352;171,896;854,037;1,992,719;171,896
    Some college/associate’s degree;1,348,180;1,435,220;347,241;1,165,759;1,647,174;317,709
    Bachelor’s degree or higher;1,389,743;1,638,354;294,710;1,028,107;1,998,333;296,367
Marital status ;;;;;;
    Married;1,793,731;2,965,859;281,822;1,816,484;2,941,448;283,479
    Widowed;148,082;187,281;17,716;93,152;242,211;17,716
    Divorced/separated;491,280;781,151;195,858;342,027;941,872;184,390
    Never married;1,780,672;1,958,701;448,246;1,362,123;2,377,250;448,246
    Did not report;5,666;8,704;25,264;-;14,369;25,264
Presence of children under 18 years old ;;;;;;
    Children in household;1,552,788;1,968,107;406,500;1,349,539;2,153,292;424,564
    No children;2,666,642;3,933,588;562,406;2,264,247;4,363,858;534,531
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;2,538,506;3,359,175;452,538;2,200,089;3,695,934;454,195
    No;1,664,197;2,542,521;491,105;1,396,971;2,821,216;479,637
    Did not report;16,726;-;25,264;16,726;-;25,264
Respondent currently employed ;;;;;;
    Yes;2,651,021;2,645,965;434,826;2,032,564;3,246,358;452,891
    No;1,538,593;3,255,731;508,816;1,551,406;3,270,792;480,942
    Did not report;29,816;-;25,264;29,816;-;25,264
Household income ;;;;;;
    Less than $25,000;524,806;969,137;-;573,850;920,093;-
    $25,000 - $34,999;373,991;706,785;-;107,543;973,232;-
    $35,000 - $49,999;698,300;822,428;-;544,605;958,059;18,064
    $50,000 - $74,999;597,278;1,014,017;-;577,888;1,033,407;-
    $75,000 - $99,999;889,610;788,078;29,532;822,079;885,141;-
    $100,000 - $149,999;549,086;474,661;-;520,554;503,192;-
    $150,000 - $199,999;252,256;275,938;-;151,102;375,434;1,658
    $200,000 and above;282,821;551,371;-;242,570;591,622;-
    Did not report;51,284;299,281;939,374;73,595;276,970;939,374
