Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;4,144,908;4,950,724;1,416,673;3,462,080;5,653,968;1,396,256
Age ;;;;;;
    18 - 29;825,680;676,638;468,606;667,966;834,480;468,478
    30 - 39;573,845;1,035,089;270,021;544,726;1,064,208;270,021
    40 - 49;553,318;1,149,445;130,663;588,147;1,114,616;130,663
    50 - 59;725,545;790,759;125,145;494,206;1,041,504;105,740
    60 - 69;693,953;739,540;150,399;491,749;941,743;150,399
    70 - 79;383,149;480,161;255,912;300,733;563,061;255,428
    80 and above;389,419;79,091;15,927;374,554;94,355;15,528
Sex ;;;;;;
    Male;1,991,252;2,437,686;665,864;1,759,396;2,694,352;641,055
    Female;2,153,656;2,513,038;750,809;1,702,685;2,959,616;755,202
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);1,810,243;2,129,068;430,363;1,680,905;2,280,936;407,832
    White alone, not Hispanic;1,275,194;1,483,726;529,702;907,162;1,853,424;528,036
    Black alone, not Hispanic;282,255;251,972;87,413;218,685;315,542;87,413
    Asian alone, not Hispanic;575,791;788,424;326,921;460,977;899,457;330,702
    Two or more races + Other races, not Hispanic;201,425;297,534;42,273;194,350;304,609;42,273
Education ;;;;;;
    Less than high school;931,848;743,864;260,457;808,479;889,765;237,926
    High school or GED;430,995;1,245,284;315,003;308,337;1,367,943;315,003
    Some college/associate’s degree;1,401,284;1,267,822;511,163;1,315,237;1,353,869;511,163
    Bachelor’s degree or higher;1,380,781;1,693,753;330,050;1,030,027;2,042,392;332,164
Marital status ;;;;;;
    Married;1,806,787;2,696,673;524,966;1,527,419;2,972,916;528,091
    Widowed;493,479;216,905;55,722;443,946;266,438;55,722
    Divorced/separated;464,940;532,355;133,681;333,482;687,227;110,266
    Never married;1,374,199;1,494,456;658,893;1,146,596;1,722,187;658,766
    Did not report;5,504;10,334;43,412;10,637;5,201;43,412
Presence of children under 18 years old ;;;;;;
    Children in household;1,355,982;1,921,695;628,277;1,184,510;2,116,966;604,479
    No children;2,788,926;3,029,028;788,396;2,277,570;3,537,002;791,778
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;2,929,120;2,802,922;909,402;2,479,161;3,272,771;889,512
    No;1,213,069;2,145,715;481,914;980,199;2,379,111;481,387
    Did not report;2,720;2,086;25,357;2,720;2,086;25,357
Respondent currently employed ;;;;;;
    Yes;2,083,590;2,218,512;673,858;1,676,070;2,626,644;673,246
    No;2,059,861;2,730,962;711,871;1,784,553;3,026,074;692,066
    Did not report;1,457;1,250;30,944;1,457;1,250;30,944
Household income ;;;;;;
    Less than $25,000;1,094,204;628,489;484;1,058,516;664,662;-
    $25,000 - $34,999;498,846;620,516;-;399,102;720,260;-
    $35,000 - $49,999;256,762;685,443;22,531;218,921;741,421;4,393
    $50,000 - $74,999;542,700;620,850;399;429,703;734,246;-
    $75,000 - $99,999;440,015;670,494;128;369,894;740,742;-
    $100,000 - $149,999;547,032;723,293;-;505,440;764,885;-
    $150,000 - $199,999;325,957;285,914;-;191,820;420,051;-
    $200,000 and above;379,065;494,877;1,268;252,499;622,710;-
    Did not report;60,326;220,848;1,391,863;36,184;244,990;1,391,863
