Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;164,016;-;-;70,041;14,538;79,437;-;-;722,534;142,606
    25 - 39;1,116,427;265,437;67,180;167,227;204,014;389,492;23,077;-;2,551,319;286,568
    40 - 54;1,171,634;123,074;36,474;166,749;179,369;616,934;40,505;8,530;1,280,791;327,344
    55 - 64;907,400;244,966;19,100;150,085;92,670;312,038;88,542;-;387,524;124,750
    65 and above;1,450,721;537,094;3,040;242,586;220,440;412,849;8,609;26,102;354,809;76,733
Sex ;;;;;;;;;;
    Male;2,319,121;660,259;51,021;365,135;369,234;815,326;58,144;-;2,711,773;367,385
    Female;2,491,077;510,311;74,773;431,554;341,796;995,423;102,588;34,631;2,585,203;590,616
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,685,942;174,323;63,676;655,689;313,715;446,922;31,618;-;2,427,407;500,536
    White alone, not Hispanic;1,607,098;492,098;24,401;49,662;150,125;843,062;47,750;-;1,363,351;196,935
    Black alone, not Hispanic;195,759;52,682;11,596;6,376;57,572;39,854;19,150;8,530;434,714;96,348
    Asian alone, not Hispanic;1,143,524;381,346;26,121;78,267;176,022;405,169;50,498;26,102;870,297;155,725
    Two or more races + Other races, not Hispanic;177,873;70,120;-;6,696;13,597;75,742;11,717;-;201,208;8,458
Education ;;;;;;;;;;
    Less than high school;709,542;143,765;-;416,819;65,959;82,999;-;-;899,932;127,610
    High school or GED;823,615;144,519;47,310;189,792;130,721;253,538;57,735;-;1,424,809;298,355
    Some college/associate’s degree;1,229,814;297,198;39,715;120,477;232,638;458,552;46,604;34,631;1,708,266;320,388
    Bachelor’s degree or higher;2,047,226;585,089;38,769;69,602;281,712;1,015,660;56,394;-;1,263,969;211,649
Marital status ;;;;;;;;;;
    Married;3,260,740;651,341;66,183;643,531;529,407;1,243,978;126,300;-;1,706,773;430,181
    Widowed;183,414;70,149;-;1,389;12,144;91,202;-;8,530;29,562;28,503
    Divorced/separated;463,478;174,214;43,881;2,532;64,483;125,853;26,415;26,102;936,572;162,180
    Never married;853,942;270,036;15,731;143,924;104,996;311,237;8,018;-;2,570,158;302,045
    Did not report;48,623;4,830;-;5,314;-;38,478;-;-;53,911;35,092
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,990,851;275,994;93,016;458,848;420,251;663,705;79,037;-;2,422,038;447,244
    No children;2,819,347;894,576;32,778;337,841;290,780;1,147,044;81,695;34,631;2,874,938;510,758
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;2,358,537;474,552;109,706;379,490;407,880;808,672;143,605;34,631;3,476,297;593,911
    No;2,450,360;696,018;16,088;417,200;303,150;1,000,776;17,128;-;1,811,574;308,422
    Did not report;1,300;-;-;-;-;1,300;-;-;9,105;55,668
Respondent currently employed ;;;;;;;;;;
    Yes;2,870,334;595,010;37,312;535,600;348,069;1,289,789;56,025;8,530;2,772,151;368,983
    No;1,933,177;568,873;88,482;261,089;362,962;520,960;104,708;26,102;2,518,389;533,350
    Did not report;6,687;6,687;-;-;-;-;-;-;6,436;55,668
Household income ;;;;;;;;;;
    Less than $25,000;373,969;70,496;27,327;211,064;45,358;8,407;11,317;-;1,312,192;-
    $25,000 - $34,999;366,474;124,608;28,623;28,633;120,796;32,252;31,561;-;765,538;-
    $35,000 - $49,999;462,875;103,371;12,488;240,228;29,386;76,136;1,266;-;683,112;-
    $50,000 - $74,999;811,275;149,772;13,353;141,008;184,833;294,135;28,173;-;931,204;2,908
    $75,000 - $99,999;576,578;74,534;-;108,375;123,394;238,855;5,318;26,102;639,823;-
    $100,000 - $149,999;745,996;188,764;39,678;32,164;96,683;360,450;28,258;-;463,894;-
    $150,000 - $199,999;594,741;163,011;-;31,359;38,014;327,513;34,843;-;202,849;-
    $200,000 and above;791,963;265,027;4,324;2,572;66,637;433,405;19,997;-;81,728;-
    Did not report;86,327;30,986;-;1,286;5,931;39,595;-;8,530;216,636;955,093
