Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;987,653;1,072,694;389,839;498,555;157,188;1,391,980;883,620;320,923;356,793;152,613
Age ;;;;;;;;;;
    18 - 29;56,699;172,604;98,491;112,870;39,881;164,629;114,733;78,049;83,252;39,881
    30 - 39;262,170;322,409;110,596;203,530;55,052;358,115;310,386;84,156;146,049;55,052
    40 - 49;186,628;162,405;60,675;54,954;25,999;244,209;125,425;71,639;23,388;25,999
    50 - 59;174,755;160,886;53,863;65,748;9,396;235,942;139,804;34,854;44,651;9,396
    60 - 69;152,878;123,968;39,393;50,284;22,855;214,362;86,654;21,796;48,288;18,279
    70 - 79;134,337;87,282;23,421;11,168;1,480;149,669;68,345;27,029;11,165;1,480
    80 and above;20,187;43,140;3,400;-;2,526;25,054;38,273;3,400;-;2,526
Sex ;;;;;;;;;;
    Male;579,115;506,692;106,816;260,028;86,030;792,045;350,617;119,884;185,512;90,622
    Female;408,539;566,002;283,024;238,527;71,158;599,935;533,003;201,039;171,281;61,991
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);65,332;134,204;74,579;82,304;-;107,567;136,538;68,632;39,090;4,592
    White alone, not Hispanic;624,523;727,510;236,199;280,161;112,101;961,673;518,602;173,231;224,054;102,933
    Black alone, not Hispanic;21,463;12,741;18,982;29,202;885;24,206;14,338;28,908;14,935;885
    Asian alone, not Hispanic;198,141;158,583;45,015;13,717;28,319;205,271;150,280;42,704;17,202;28,319
    Two or more races + Other races, not Hispanic;78,195;39,654;15,066;93,171;15,882;93,263;63,862;7,448;61,513;15,882
Education ;;;;;;;;;;
    Less than high school;31,221;44,718;4,098;68,173;-;53,676;42,958;4,098;47,479;-
    High school or GED;194,753;186,318;125,547;108,004;33,011;227,191;213,965;87,517;95,116;23,843
    Some college/associate’s degree;308,467;308,036;144,217;209,141;38,731;468,853;186,171;159,217;151,028;43,324
    Bachelor’s degree or higher;453,213;533,621;115,977;113,236;85,447;642,260;440,526;70,092;63,170;85,447
Marital status ;;;;;;;;;;
    Married;666,954;645,439;156,303;220,946;68,267;934,810;469,971;135,758;153,678;63,692
    Widowed;28,632;14,443;16,180;4,658;631;35,602;7,640;20,671;-;631
    Divorced/separated;105,233;109,819;75,346;91,963;11,050;111,306;137,744;78,760;54,551;11,050
    Never married;184,352;299,303;140,254;180,556;72,231;305,557;266,366;83,977;148,565;72,231
    Did not report;2,483;3,690;1,756;431;5,009;4,706;1,899;1,756;-;5,009
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;295,351;275,295;140,747;189,660;35,350;359,547;268,735;144,230;128,542;35,350
    No children;692,303;797,399;249,092;308,894;121,838;1,032,433;614,885;176,693;228,251;117,263
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;362,671;491,246;245,530;271,399;44,787;538,963;474,688;190,308;176,055;35,619
    No;624,983;581,448;144,309;227,156;107,392;853,017;408,932;130,615;180,738;111,985
    Did not report;-;-;-;-;5,009;-;-;-;-;5,009
Respondent currently employed ;;;;;;;;;;
    Yes;650,964;619,354;178,085;275,451;116,084;889,380;489,095;168,842;176,536;116,084
    No;336,690;453,340;211,754;223,104;36,095;502,600;394,525;152,081;180,256;31,520
    Did not report;-;-;-;-;5,009;-;-;-;-;5,009
Household income ;;;;;;;;;;
    Less than $25,000;78,212;55,183;49,224;56,131;-;90,812;99,667;16,947;31,325;-
    $25,000 - $34,999;50,520;89,545;66,528;88,193;-;46,198;100,499;66,653;81,435;-
    $35,000 - $49,999;38,039;87,676;50,735;48,077;9,168;58,101;88,186;72,664;14,745;-
    $50,000 - $74,999;184,748;178,228;64,672;74,790;-;223,061;167,758;46,599;60,428;4,592
    $75,000 - $99,999;105,107;96,452;50,886;63,604;-;127,734;99,932;42,668;45,714;-
    $100,000 - $149,999;190,897;213,619;53,117;70,654;-;338,548;109,703;25,977;54,058;-
    $150,000 - $199,999;112,081;172,493;8,822;40,383;889;199,658;89,726;19,185;25,209;889
    $200,000 and above;213,844;160,520;36,989;35,252;-;286,846;105,952;27,461;26,346;-
    Did not report;14,206;18,979;8,867;21,470;147,132;21,022;22,197;2,770;17,532;147,132
