Health Table 3. Current Health Insurance Status, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;212,510;166,629;65,107;141,161;137,300
    25 - 34;426,084;300,255;158,940;102,584;84,743
    35 - 44;526,862;307,153;301,983;86,866;112,738
    45 - 64;1,283,557;1,073,321;476,516;157,372;151,125
    65 and over;649,267;322,952;512,842;113;40,409
Sex ;;;;;
    Male;1,484,759;1,041,538;748,562;334,573;307,894
    Female;1,613,521;1,128,773;766,827;153,523;218,421
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);1,382,905;935,175;735,016;271,564;318,630
    White alone, not Hispanic;1,191,313;843,364;544,575;80,181;86,073
    Black alone, not Hispanic;286,244;188,581;121,993;97,388;38,642
    Asian alone, not Hispanic;155,758;147,538;59,278;20,373;48,701
    Two or more races + Other races, not Hispanic;82,061;55,653;54,526;18,589;34,269
Education ;;;;;
    Less than high school;463,349;228,889;320,790;82,926;179,822
    High school or GED;862,129;623,687;378,624;247,323;104,397
    Some college/associate’s degree;1,030,493;713,784;522,250;135,273;205,387
    Bachelor’s degree or higher;742,309;603,951;293,723;22,574;36,709
Marital status ;;;;;
    Married;1,669,451;1,417,805;667,077;167,191;234,318
    Widowed;260,348;68,584;205,032;-;30,912
    Divorced/separated;471,221;298,829;252,058;99,269;72,738
    Never married;682,175;384,077;377,151;221,636;181,059
    Did not report;15,085;1,015;14,070;-;7,287
Presence of children under 18 years old ;;;;;
    Children in household;1,389,365;1,013,884;718,058;303,927;311,010
    No children;1,708,915;1,156,427;797,330;184,168;215,304
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,684,014;1,209,635;772,482;457,320;345,239
    No;1,408,631;960,676;737,271;30,776;175,527
    Did not report;5,635;-;5,635;-;5,550
Respondent currently employed ;;;;;
    Yes;1,624,709;1,424,964;486,134;125,179;271,047
    No;1,467,936;745,347;1,023,620;362,916;248,824
    Did not report;5,635;-;5,635;-;6,443
Household income ;;;;;
    Less than $25,000;395,223;193,675;250,499;145,659;20,178
    $25,000 - $34,999;351,248;170,733;240,623;57,125;26,056
    $35,000 - $49,999;472,525;254,315;310,177;48,404;2,559
    $50,000 - $74,999;559,206;384,747;275,077;76,517;9,787
    $75,000 - $99,999;470,894;429,718;129,208;128,413;5,734
    $100,000 - $149,999;435,158;367,481;151,219;10,574;622
    $150,000 - $199,999;225,278;209,734;86,794;7,627;-
    $200,000 and above;106,007;97,472;38,184;829;-
    Did not report;82,741;62,436;33,606;12,949;461,378
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
