Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;183,387;18,609;53,347;3,058;3,265;5,806;-;99,303;-
    25 - 39;1,002,045;86,725;399,331;67,266;71,543;9,282;11,560;356,339;-
    40 - 54;820,960;83,480;349,563;63,591;55,919;12,703;10,361;238,768;6,575
    55 - 64;526,962;43,962;149,452;43,334;70,517;7,151;7,118;203,730;1,698
    65 and above;769,373;15,613;64,360;11,107;34,717;1,799;-;637,300;4,476
Sex ;;;;;;;;;
    Male;1,614,146;121,071;615,309;73,260;113,820;11,369;1,718;676,609;989
    Female;1,688,581;127,316;400,745;115,095;122,140;25,372;27,322;858,831;11,761
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);378,921;24,615;136,547;38,851;15,324;5,806;11,560;144,745;1,473
    White alone, not Hispanic;2,563,559;161,165;746,916;132,165;200,072;22,463;9,432;1,280,730;10,617
    Black alone, not Hispanic;52,216;23,517;14,075;3,279;3,886;-;1,677;5,781;-
    Asian alone, not Hispanic;117,091;8,106;58,171;7,909;12,957;-;-;29,287;660
    Two or more races + Other races, not Hispanic;190,940;30,985;60,345;6,151;3,721;8,472;6,370;74,896;-
Education ;;;;;;;;;
    Less than high school;103,003;6,175;18,211;10,096;-;-;6,370;62,150;-
    High school or GED;986,982;32,854;372,696;10,021;59,465;6,025;6,948;490,548;8,426
    Some college/associate’s degree;1,167,882;88,793;321,414;59,510;90,925;15,083;10,004;581,164;989
    Bachelor’s degree or higher;1,044,860;120,565;303,733;108,728;85,571;15,633;5,718;401,578;3,335
Marital status ;;;;;;;;;
    Married;1,774,829;131,151;555,836;111,424;143,065;22,412;15,445;795,496;-
    Widowed;165,870;4,252;3,142;1,007;14,907;-;-;141,818;744
    Divorced/separated;499,692;41,381;140,285;32,716;30,502;6,930;4,902;241,503;1,473
    Never married;844,233;71,603;314,326;43,208;47,486;7,398;8,692;351,061;457
    Did not report;18,102;-;2,465;-;-;-;-;5,562;10,076
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,097,410;116,929;388,923;88,189;84,920;22,905;16,374;379,170;-
    No children;2,205,317;131,458;627,131;100,166;151,041;13,836;12,665;1,156,270;12,750
Health status ;;;;;;;;;
    Excellent;506,583;66,351;168,672;33,198;38,877;15,664;2,322;181,499;-
    Very good;1,044,285;80,901;305,599;75,935;81,857;2,463;6,167;490,619;744
    Good;1,070,047;74,364;411,923;41,835;77,038;12,516;6,370;446,001;-
    Fair;371,232;21,007;58,985;22,451;16,491;1,003;4,943;244,879;1,473
    Poor;88,679;1,510;11,044;-;3,096;-;6,159;66,870;-
    Did not report;221,902;4,255;59,831;14,936;18,601;5,095;3,079;105,571;10,533
Household income ;;;;;;;;;
    Less than $25,000;428,046;20,359;82,491;19,660;24,970;7,398;-;273,168;-
    $25,000 - $34,999;296,348;6,004;111,832;14,978;24,075;1,003;3,225;135,231;-
    $35,000 - $49,999;315,932;18,892;58,225;13,654;39,100;3,381;-;181,207;1,473
    $50,000 - $74,999;690,276;69,572;212,884;39,535;30,469;6,010;10,093;321,713;-
    $75,000 - $99,999;497,632;37,700;167,909;14,922;17,929;2,957;9,554;245,918;744
    $100,000 - $149,999;424,396;41,058;158,365;37,961;39,024;3,586;766;143,636;-
    $150,000 - $199,999;153,845;38,993;54,813;15,303;4,568;1,505;2,322;36,341;-
    $200,000 and above;172,320;6,197;82,628;13,702;27,501;5,806;-;36,486;-
    Did not report;323,932;9,612;86,907;18,641;28,325;5,095;3,079;161,739;10,533
