Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;311,374;39,504;38,075;9,548;7,809;1,130;1,470;211,936;1,903
    25 - 39;1,343,828;141,879;492,424;94,398;34,664;43,670;15,623;520,272;898
    40 - 54;1,068,271;91,741;376,149;56,994;51,998;6,099;4,540;478,108;2,641
    55 - 64;484,757;70,555;130,936;34,155;33,228;7,918;498;198,749;8,719
    65 and above;1,066,375;35,666;43,699;18,142;20,385;8,311;59;935,895;4,218
Sex ;;;;;;;;;
    Male;1,938,669;186,021;743,797;58,072;82,427;48,463;3,809;808,235;7,844
    Female;2,335,936;193,325;337,485;155,165;65,658;18,664;18,381;1,536,724;10,535
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);1,009,949;89,291;294,115;33,297;17,213;1,910;4,787;560,749;8,588
    White alone, not Hispanic;1,629,916;147,075;389,240;125,090;65,688;15,711;11,055;871,021;5,038
    Black alone, not Hispanic;291,005;3,964;52,529;4,292;1,968;65;-;226,958;1,229
    Asian alone, not Hispanic;1,136,099;117,793;298,423;45,521;40,546;796;6,160;623,338;3,523
    Two or more races + Other races, not Hispanic;207,635;21,224;46,976;5,037;22,670;48,647;188;62,893;-
Education ;;;;;;;;;
    Less than high school;532,214;34,766;23,520;-;12,661;40,934;-;417,668;2,664
    High school or GED;868,459;42,209;163,991;9,552;25,438;-;4,300;619,153;3,817
    Some college/associate’s degree;1,023,394;73,900;188,382;9,112;37,720;7,006;1,819;701,227;4,228
    Bachelor’s degree or higher;1,850,537;228,470;705,389;194,573;72,265;19,188;16,070;606,911;7,669
Marital status ;;;;;;;;;
    Married;2,076,234;228,579;631,660;117,091;94,069;19,020;6,341;978,318;1,155
    Widowed;132,824;20,504;1,859;1,284;1,378;183;-;107,616;-
    Divorced/separated;644,851;17,961;49,038;21,107;35,953;78;326;514,828;5,562
    Never married;1,407,127;112,302;398,108;73,755;16,685;47,847;15,198;741,213;2,019
    Did not report;13,568;-;617;-;-;-;324;2,984;9,643
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,455,641;169,875;456,826;61,798;74,714;45,344;7,059;639,592;435
    No children;2,818,964;209,471;624,457;151,439;73,371;21,784;15,131;1,705,367;17,944
Health status ;;;;;;;;;
    Excellent;700,175;99,810;252,045;53,822;41,004;7,152;10,196;234,069;2,077
    Very good;1,494,200;112,536;406,089;86,119;65,860;16,313;1,003;806,070;211
    Good;1,022,615;113,087;197,912;40,142;27,068;876;2,547;640,982;-
    Fair;386,988;15,510;25,284;12,918;4,974;465;4,300;323,536;-
    Poor;55,161;535;9,725;3,650;2,578;-;4,006;34,667;-
    Did not report;615,466;37,867;190,228;16,587;6,600;42,322;137;305,635;16,091
Household income ;;;;;;;;;
    Less than $25,000;431,131;15,612;13,680;1,301;5,045;-;138;395,356;-
    $25,000 - $34,999;295,278;13,376;40,639;14,185;14,049;-;6,101;206,927;-
    $35,000 - $49,999;341,388;12,646;34,687;8,684;3,282;144;-;281,734;211
    $50,000 - $74,999;436,146;57,108;68,432;24,107;19,326;497;-;266,676;-
    $75,000 - $99,999;341,412;28,596;67,974;16,315;8,859;-;47;219,620;-
    $100,000 - $149,999;641,395;61,197;110,243;43,291;41,959;2,892;14,299;367,513;-
    $150,000 - $199,999;269,709;59,512;96,226;22,210;14,448;4,605;324;70,365;2,019
    $200,000 and above;812,526;91,775;451,879;58,432;28,982;16,301;1,026;164,130;-
    Did not report;705,621;39,524;197,522;24,712;12,135;42,688;254;372,638;16,149
