Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;243,891;1,196,844;236,324;303,749;564,280;430,108;742,519;497,709;298,654;576,098
    30 - 39;775,953;736,210;398,386;156,775;107,076;686,388;883,373;302,690;195,057;106,892
    40 - 49;746,792;544,914;81,867;469,488;162,464;703,426;454,414;271,476;413,746;162,464
    50 - 59;556,166;628,893;259,034;76,364;199,718;587,570;552,652;251,275;142,168;186,510
    60 - 69;1,078,946;298,442;204,050;129,247;96,491;715,086;679,994;184,203;126,821;101,071
    70 - 79;410,385;210,766;51,593;25,008;45,391;378,171;256,740;25,312;37,870;45,049
    80 and above;57,736;15,769;26,769;24,219;54,405;42,180;30,049;28,523;24,618;53,526
Sex ;;;;;;;;;;
    Male;1,945,065;1,936,354;579,757;692,588;526,096;1,688,615;1,733,542;1,089,628;650,791;517,285
    Female;1,924,804;1,695,482;678,266;492,262;703,729;1,854,314;1,866,199;471,561;588,143;714,326
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,504,958;1,615,906;486,667;718,004;653,680;1,193,488;1,721,713;773,694;624,822;665,498
    White alone, not Hispanic;1,337,601;1,045,779;534,108;229,945;341,751;1,312,623;963,221;591,569;276,625;345,145
    Black alone, not Hispanic;176,298;265,064;53,995;18,034;48,129;226,430;248,329;9,928;28,704;48,129
    Asian alone, not Hispanic;689,163;627,909;129,940;182,619;128,638;687,751;544,853;153,258;256,568;115,839
    Two or more races + Other races, not Hispanic;161,849;77,178;53,315;36,247;57,627;122,637;121,625;32,740;52,215;56,999
Education ;;;;;;;;;;
    Less than high school;726,114;530,212;167,341;392,992;228,203;370,430;868,577;205,573;372,080;228,203
    High school or GED;772,439;1,126,796;168,050;157,269;342,396;882,376;562,688;570,461;209,330;342,095
    Some college/associate’s degree;823,163;912,965;413,275;400,523;474,230;832,550;911,838;397,741;409,697;472,329
    Bachelor’s degree or higher;1,548,153;1,061,863;509,358;234,066;184,996;1,457,573;1,256,638;387,414;247,827;188,983
Marital status ;;;;;;;;;;
    Married;2,018,046;1,417,140;473,819;508,245;365,327;1,656,189;1,677,328;591,883;504,021;353,156
    Widowed;104,855;74,658;1,751;20,991;5,474;128,303;39,562;17,117;18,153;4,595
    Divorced/separated;504,099;409,421;210,406;97,110;159,274;431,087;547,437;120,838;121,673;159,274
    Never married;1,117,797;1,717,159;572,048;556,251;661,914;1,202,562;1,331,354;819,827;594,677;676,750
    Did not report;125,072;13,458;-;2,254;37,836;124,789;4,061;11,524;410;37,836
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,344,083;1,417,756;370,114;433,322;562,137;1,285,363;1,347,256;457,271;465,128;572,395
    No children;2,525,786;2,214,080;887,909;751,528;667,688;2,257,567;2,252,486;1,103,918;773,806;659,215
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,931,189;2,516,010;841,160;912,273;659,959;1,731,194;2,344,015;1,272,015;854,337;659,029
    No;1,938,680;1,114,068;416,864;272,578;532,839;1,811,735;1,253,968;289,174;384,597;535,554
    Did not report;-;1,758;-;-;37,028;-;1,758;-;-;37,028
Respondent currently employed ;;;;;;;;;;
    Yes;2,112,117;1,741,327;770,147;289,748;501,448;2,249,045;1,594,171;691,352;376,645;503,574
    No;1,757,695;1,890,509;487,877;895,103;658,262;1,293,884;2,005,570;869,838;862,232;657,922
    Did not report;57;-;-;-;70,115;-;-;-;57;70,115
Household income ;;;;;;;;;;
    Less than $25,000;423,607;590,812;167,812;268,541;-;382,565;597,896;195,892;274,418;-
    $25,000 - $34,999;564,393;541,393;122,994;413,127;-;539,685;282,101;398,906;421,213;-
    $35,000 - $49,999;218,909;246,052;251,068;112,868;1,452;234,208;234,243;240,335;120,990;573
    $50,000 - $74,999;395,987;498,854;220,094;58,056;13,262;484,125;274,120;324,444;101,883;1,681
    $75,000 - $99,999;789,052;613,206;112,704;75,543;-;385,653;1,108,361;37,305;59,185;-
    $100,000 - $149,999;514,254;353,044;196,717;82,279;1,952;453,766;451,143;153,233;85,774;4,329
    $150,000 - $199,999;301,699;163,898;38,906;64,734;393;247,157;200,447;100,599;21,428;-
    $200,000 and above;543,682;259,929;74,569;75,675;628;573,329;239,824;58,653;82,301;376
    Did not report;118,287;364,649;73,160;34,028;1,212,139;242,442;211,607;51,822;71,741;1,224,651
