Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,171,505;1,315,058;474,562;995,933;466,589;1,386,290;1,293,502;425,133;840,300;478,422
Age ;;;;;;;;;;
    18 - 29;219,418;183,737;14,707;109,232;104,803;185,633;223,973;60,238;57,251;104,803
    30 - 39;252,962;349,407;70,926;270,954;113,642;366,641;276,085;87,453;214,070;113,642
    40 - 49;217,716;400,335;192,834;272,187;64,172;303,525;322,815;195,510;261,221;64,172
    50 - 59;160,742;121,856;138,545;212,905;151,285;220,645;196,961;27,443;188,997;151,285
    60 - 69;127,816;155,477;49,446;42,536;24,766;131,812;163,446;45,656;34,362;24,766
    70 - 79;147,874;81,728;5,862;87,003;6,987;139,026;93,567;8,833;81,040;6,987
    80 and above;44,977;22,518;2,242;1,117;934;39,007;16,655;-;3,359;12,767
Sex ;;;;;;;;;;
    Male;641,165;579,405;352,911;548,350;313,112;712,100;691,928;233,902;478,911;318,102
    Female;530,340;735,653;121,650;447,584;153,476;674,189;601,575;191,231;361,389;160,319
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);465,257;623,420;252,983;491,801;208,391;548,338;554,944;281,444;448,735;208,391
    White alone, not Hispanic;460,103;535,022;169,882;303,832;171,379;606,901;563,120;36,009;250,976;183,212
    Black alone, not Hispanic;137,255;65,761;14,007;143,734;44,559;137,255;65,167;41,834;116,501;44,559
    Asian alone, not Hispanic;61,615;82,400;28,123;13,252;-;49,151;93,840;23,011;19,389;-
    Two or more races + Other races, not Hispanic;47,275;8,455;9,567;43,314;42,259;44,644;16,431;42,835;4,700;42,259
Education ;;;;;;;;;;
    Less than high school;100,945;178,108;24,341;155,534;48,751;243,862;11,422;48,111;155,534;48,751
    High school or GED;470,677;288,355;240,309;499,644;205,011;316,429;568,079;203,507;410,969;205,011
    Some college/associate’s degree;375,617;552,027;167,854;205,450;155,250;535,041;456,589;131,603;165,881;167,083
    Bachelor’s degree or higher;224,267;296,569;42,057;135,304;57,577;290,957;257,412;41,912;107,916;57,577
Marital status ;;;;;;;;;;
    Married;697,341;778,530;215,717;335,363;288,366;846,956;783,470;119,228;265,463;300,199
    Widowed;57,986;64,019;11,040;59,486;2,369;63,574;69,531;-;59,426;2,369
    Divorced/separated;159,038;153,200;127,356;192,791;22,123;167,105;144,903;125,841;194,535;22,123
    Never married;257,140;315,345;120,449;303,034;152,744;308,654;291,634;180,064;215,617;152,744
    Did not report;-;3,964;-;105,259;987;-;3,964;-;105,259;987
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;536,616;766,959;257,861;672,928;218,150;753,273;622,752;274,057;584,283;218,150
    No children;634,889;548,099;216,701;323,005;248,439;633,016;670,751;151,077;256,018;260,272
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;680,671;869,362;324,266;733,438;164,647;794,012;939,626;257,494;616,605;164,647
    No;490,834;445,696;150,296;262,495;300,955;592,277;353,876;167,639;223,695;312,788
    Did not report;-;-;-;-;987;-;-;-;-;987
Respondent currently employed ;;;;;;;;;;
    Yes;600,122;583,462;288,445;253,006;248,263;774,223;605,158;176,395;169,259;248,263
    No;571,383;731,596;186,117;741,173;217,339;612,067;688,344;248,738;669,287;229,172
    Did not report;-;-;-;1,754;987;-;-;-;1,754;987
Household income ;;;;;;;;;;
    Less than $25,000;133,547;122,214;37,210;376,627;-;99,606;152,898;104,131;312,963;-
    $25,000 - $34,999;54,716;207,963;18,243;215,801;-;135,263;149,802;4,283;207,373;-
    $35,000 - $49,999;356,128;117,769;35,298;37,225;-;391,873;93,603;42,540;18,404;-
    $50,000 - $74,999;200,144;358,563;92,823;108,979;-;301,071;292,024;93,935;73,479;-
    $75,000 - $99,999;185,938;119,032;222,838;75,040;-;154,776;281,450;112,887;48,746;4,990
    $100,000 - $149,999;161,037;168,460;37,257;78,818;-;186,680;160,275;31,164;67,454;-
    $150,000 - $199,999;39,912;67,776;29,977;11,277;-;63,249;66,427;8,671;3,752;6,843
    $200,000 and above;19,285;19,052;610;32,700;-;22,591;16,356;2,741;29,960;-
    Did not report;20,797;134,229;305;59,466;466,589;31,179;80,666;24,781;78,170;466,589
