Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;66,683;197,641;52,016;139,670;92,330;119,652;200,226;53,205;82,928;92,330
    30 - 39;177,558;273,406;68,678;113,545;43,461;222,891;290,764;54,633;64,685;43,676
    40 - 49;140,967;230,433;53,633;86,425;32,315;224,720;164,012;46,615;71,358;37,067
    50 - 59;144,927;182,066;70,322;24,405;41,411;182,882;173,687;39,138;26,012;41,411
    60 - 69;270,388;187,142;51,429;37,497;11,035;318,462;160,637;19,872;47,484;11,035
    70 - 79;269,684;97,965;11,820;21,942;18,287;313,939;56,165;8,865;22,443;18,287
    80 and above;46,003;29,241;150;3,409;14,843;54,289;21,127;1,867;1,519;14,843
Sex ;;;;;;;;;;
    Male;609,936;563,633;154,839;165,668;120,070;716,200;575,570;69,853;127,700;124,823
    Female;506,275;634,261;153,209;261,224;133,611;720,636;491,048;154,342;188,729;133,826
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);87,541;179,195;35,474;25,071;51,640;116,332;157,987;29,826;23,136;51,640
    White alone, not Hispanic;922,901;915,629;224,762;336,378;163,889;1,205,562;801,930;156,644;230,782;168,641
    Black alone, not Hispanic;21,341;10,888;3,898;13,259;4,096;21,615;14,208;304;13,259;4,096
    Asian alone, not Hispanic;29,844;35,988;22,611;12,778;6,293;34,874;31,723;16,677;17,733;6,507
    Two or more races + Other races, not Hispanic;54,584;56,194;21,303;39,406;27,764;58,452;60,772;20,744;31,519;27,764
Education ;;;;;;;;;;
    Less than high school;65,276;143,080;36,879;35,012;43,688;120,433;105,496;8,884;45,434;43,688
    High school or GED;240,198;320,288;65,416;59,471;80,114;270,238;305,065;47,556;61,593;81,035
    Some college/associate’s degree;429,020;338,131;107,146;205,347;88,613;527,818;314,842;104,544;128,606;92,445
    Bachelor’s degree or higher;381,717;396,395;98,606;127,064;41,267;518,347;341,216;63,211;80,795;41,482
Marital status ;;;;;;;;;;
    Married;711,923;616,646;145,254;163,951;102,312;869,477;559,758;74,165;134,160;102,527
    Widowed;36,216;23,270;6,826;11,974;3,579;44,032;17,035;8,738;8,481;3,579
    Divorced/separated;204,126;171,455;70,424;67,113;27,380;261,608;138,694;58,525;54,291;27,380
    Never married;158,994;380,847;85,189;180,183;114,897;256,862;345,005;79,189;119,404;119,649
    Did not report;4,952;5,677;354;3,672;5,513;4,856;6,127;3,578;93;5,513
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;375,078;502,385;105,433;124,418;73,583;513,667;421,858;99,864;71,709;73,797
    No children;741,133;695,509;202,615;302,474;180,099;923,168;644,761;124,331;244,720;184,852
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;397,630;754,144;176,458;304,750;106,625;586,255;684,889;153,786;206,917;107,760
    No;716,936;442,840;131,590;122,142;142,537;848,072;381,730;70,409;109,465;146,369
    Did not report;1,645;910;-;-;4,520;2,508;-;-;47;4,520
Respondent currently employed ;;;;;;;;;;
    Yes;540,502;611,287;167,083;188,295;149,907;699,405;573,708;110,994;119,014;153,954
    No;573,171;586,607;140,965;238,597;99,255;734,985;492,817;113,201;197,415;100,176
    Did not report;2,539;-;-;-;4,520;2,445;93;-;-;4,520
Household income ;;;;;;;;;;
    Less than $25,000;97,416;162,854;53,183;113,864;-;99,766;172,476;46,027;109,048;-
    $25,000 - $34,999;78,789;113,384;49,631;50,339;-;120,098;86,282;36,892;47,950;920
    $35,000 - $49,999;140,754;203,407;33,822;29,665;-;224,568;129,874;44,749;8,458;-
    $50,000 - $74,999;217,904;170,127;49,650;72,725;-;267,668;171,906;29,565;41,267;-
    $75,000 - $99,999;190,050;203,685;49,490;56,822;89;245,288;166,472;28,215;60,071;89
    $100,000 - $149,999;194,709;204,396;40,885;65,005;-;231,021;224,029;19,955;29,775;215
    $150,000 - $199,999;92,343;46,617;5,157;8,730;-;113,636;30,544;3,830;4,838;-
    $200,000 and above;53,818;63,480;20,171;17,206;153;69,718;68,499;2,899;9,727;3,985
    Did not report;50,428;29,944;6,058;12,536;253,440;65,073;16,535;12,063;5,295;253,440
