Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,174,322;1,239,980;481,922;771,857;492,149;1,418,667;1,198,942;400,948;655,528;486,146
Age ;;;;;;;;;;
    18 - 29;238,651;163,689;101,138;194,262;172,389;297,072;145,577;103,899;151,191;172,389
    30 - 39;93,084;259,885;150,252;297,423;68,978;155,367;318,067;75,482;251,728;68,978
    40 - 49;283,771;254,670;64,329;74,007;69,230;305,417;244,521;64,550;64,302;67,217
    50 - 59;123,814;287,754;80,617;45,740;44,519;163,292;246,781;87,887;43,989;40,496
    60 - 69;223,382;201,513;46,068;80,275;90,801;268,954;169,406;32,379;80,142;91,157
    70 - 79;117,939;61,211;37,275;79,818;35,753;136,319;65,802;30,778;63,666;35,431
    80 and above;93,681;11,258;2,243;333;10,478;92,246;8,787;5,973;510;10,478
Sex ;;;;;;;;;;
    Male;751,680;389,493;238,893;439,741;245,074;825,518;465,207;166,098;366,652;241,406
    Female;422,642;850,487;243,029;332,116;247,075;593,149;733,734;234,850;288,876;244,739
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);552,825;681,957;253,612;520,610;257,224;664,780;684,130;209,877;452,231;255,211
    White alone, not Hispanic;426,745;350,849;153,544;163,651;123,115;528,007;302,233;127,477;140,740;119,447
    Black alone, not Hispanic;116,224;98,853;26,318;31,501;36,918;110,238;110,872;22,031;29,755;36,918
    Asian alone, not Hispanic;44,778;92,931;19,593;36,818;50,991;65,641;76,886;33,075;18,839;50,669
    Two or more races + Other races, not Hispanic;33,751;15,389;28,856;19,277;23,901;50,001;24,820;8,489;13,963;23,901
Education ;;;;;;;;;;
    Less than high school;242,334;255,219;53,657;137,937;121,204;310,632;198,343;45,363;134,810;121,204
    High school or GED;295,791;361,808;197,999;293,448;185,066;316,676;443,368;143,823;247,193;183,053
    Some college/associate’s degree;403,903;348,832;146,072;238,962;119,895;478,015;341,810;113,409;204,178;120,251
    Bachelor’s degree or higher;232,294;274,121;84,193;101,510;65,983;313,345;215,420;98,354;69,346;61,637
Marital status ;;;;;;;;;;
    Married;623,780;669,089;182,392;346,509;204,189;734,900;600,239;212,430;277,868;200,521
    Widowed;97,331;32,133;2,924;16,666;20,914;90,300;37,082;5,661;16,011;20,914
    Divorced/separated;115,350;204,796;98,268;81,575;70,785;180,869;171,689;71,490;76,263;70,463
    Never married;334,407;333,962;198,043;327,108;185,925;409,144;389,932;111,071;285,387;183,912
    Did not report;3,454;-;295;-;10,336;3,454;-;295;-;10,336
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;534,336;463,085;226,128;399,907;253,303;622,419;496,011;163,902;343,139;251,289
    No children;639,986;776,894;255,794;371,950;238,846;796,248;702,931;237,047;312,389;234,856
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;487,181;827,465;330,698;612,064;284,997;596,047;836,909;298,917;527,193;283,340
    No;686,519;412,515;151,224;159,793;197,967;821,998;362,033;102,032;128,334;193,620
    Did not report;622;-;-;-;9,185;622;-;-;-;9,185
Respondent currently employed ;;;;;;;;;;
    Yes;595,237;572,903;185,207;432,309;203,268;703,799;512,254;214,585;359,366;198,922
    No;579,085;667,077;296,715;339,548;278,620;714,868;686,687;186,363;296,162;276,963
    Did not report;-;-;-;-;10,260;-;-;-;-;10,260
Household income ;;;;;;;;;;
    Less than $25,000;135,332;186,093;105,961;320,509;-;170,179;228,301;44,222;305,192;-
    $25,000 - $34,999;160,428;206,234;103,428;139,899;-;174,369;242,267;91,562;101,791;-
    $35,000 - $49,999;125,888;157,768;30,912;53,366;2,336;185,903;107,977;25,673;50,716;-
    $50,000 - $74,999;287,898;114,640;74,897;84,277;-;300,272;130,054;68,718;62,311;357
    $75,000 - $99,999;101,531;250,519;88,351;54,229;-;139,327;249,807;47,792;57,703;-
    $100,000 - $149,999;103,600;152,809;40,091;50,079;4,024;155,849;81,969;71,613;41,173;-
    $150,000 - $199,999;125,628;87,097;7,258;27,735;-;141,310;82,484;7,496;16,429;-
    $200,000 and above;71,276;21,956;6,161;4,581;-;76,336;19,594;5,663;2,381;-
    Did not report;62,741;62,864;24,864;37,183;485,789;75,120;56,489;38,210;17,832;485,789
