Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;66,605;149,632;135,949;103,544;59,580;162,171;111,261;129,756;52,543;59,580
    30 - 39;164,484;219,415;74,557;179,952;31,714;243,104;244,486;63,269;86,683;32,581
    40 - 49;171,891;198,654;75,870;108,156;26,925;259,979;164,020;54,088;76,483;26,925
    50 - 59;138,365;198,266;51,940;71,738;50,318;219,892;168,066;29,960;42,391;50,318
    60 - 69;210,749;170,422;52,699;49,107;32,233;269,428;159,135;28,817;25,599;32,233
    70 - 79;143,847;99,633;32,587;30,652;18,179;195,331;68,911;15,053;28,835;16,768
    80 and above;107,396;63,364;-;2,033;12,269;116,229;19,841;37,767;1,527;9,698
Sex ;;;;;;;;;;
    Male;591,666;541,627;161,707;243,143;76,002;836,489;399,144;163,334;141,293;73,886
    Female;411,671;557,758;261,895;302,041;155,216;629,645;536,575;195,376;172,768;154,216
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);106,314;100,660;78,113;62,358;31,476;138,940;90,767;88,220;29,518;31,476
    White alone, not Hispanic;809,774;863,646;297,387;406,910;185,842;1,212,655;698,768;239,324;230,085;182,727
    Black alone, not Hispanic;9,250;10,320;17,566;13,281;1,799;11,990;15,341;14,974;8,112;1,799
    Asian alone, not Hispanic;24,747;41,376;16,567;27,889;6,513;29,733;55,887;4,544;20,414;6,513
    Two or more races + Other races, not Hispanic;53,251;83,383;13,970;34,746;5,589;72,816;74,955;11,648;25,932;5,589
Education ;;;;;;;;;;
    Less than high school;40,957;10,010;3,088;38,850;10,098;43,439;23,368;1,075;25,023;10,098
    High school or GED;369,612;316,708;96,840;98,020;105,801;483,674;256,813;84,825;57,734;103,935
    Some college/associate’s degree;310,360;351,359;193,663;249,622;62,877;450,441;353,787;159,272;143,621;60,761
    Bachelor’s degree or higher;282,408;421,308;130,012;158,692;52,441;488,580;301,752;113,538;87,683;53,308
Marital status ;;;;;;;;;;
    Married;583,931;649,872;186,731;248,460;105,834;900,455;516,864;110,359;142,566;104,585
    Widowed;53,588;73,344;19,573;9,587;9,779;62,591;38,741;47,547;9,079;7,912
    Divorced/separated;165,043;143,301;67,744;85,059;38,546;210,258;153,260;55,286;42,342;38,546
    Never married;194,957;232,869;149,554;200,248;66,604;290,745;223,122;145,518;118,244;66,604
    Did not report;5,817;-;-;1,830;10,455;2,085;3,732;-;1,830;10,455
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;273,993;360,596;184,612;191,180;87,028;443,578;329,180;144,041;93,420;87,190
    No children;729,344;738,789;238,990;354,005;144,190;1,022,555;606,540;214,669;220,641;140,913
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;343,562;524,578;222,133;338,542;94,914;570,306;504,182;148,054;206,272;94,914
    No;659,775;574,808;199,967;206,642;125,771;895,827;430,034;210,657;107,789;122,656
    Did not report;-;-;1,503;-;10,533;-;1,503;-;-;10,533
Respondent currently employed ;;;;;;;;;;
    Yes;477,619;604,653;245,328;320,163;106,774;730,576;557,439;213,900;144,982;107,641
    No;523,501;494,732;178,275;225,021;113,910;734,814;376,808;144,810;169,079;109,928
    Did not report;2,217;-;-;-;10,533;744;1,473;-;-;10,533
Household income ;;;;;;;;;;
    Less than $25,000;126,401;124,706;62,717;114,222;-;164,517;122,672;45,801;95,056;-
    $25,000 - $34,999;84,903;120,313;31,665;56,192;3,277;135,261;102,142;19,102;39,843;-
    $35,000 - $49,999;111,729;100,405;37,780;66,018;-;131,176;116,660;17,281;50,816;-
    $50,000 - $74,999;241,059;224,642;131,994;91,875;705;349,299;191,900;108,986;40,092;-
    $75,000 - $99,999;134,109;209,090;73,430;81,002;-;201,861;163,080;101,430;31,261;-
    $100,000 - $149,999;146,153;171,226;39,296;67,720;-;246,800;116,179;33,741;26,809;867
    $150,000 - $199,999;61,365;58,180;13,405;20,894;-;97,843;37,453;14,744;3,804;-
    $200,000 and above;60,240;63,471;16,620;31,989;-;82,866;54,690;10,650;24,114;-
    Did not report;37,378;27,351;16,695;15,272;227,236;56,511;30,943;6,976;2,267;227,236
