Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,111,522;1,186,709;403,825;404,792;195,879;1,438,123;1,065,533;332,893;256,731;209,447
Age ;;;;;;;;;;
    18 - 29;20,163;175,029;96,115;81,014;75,612;66,842;159,523;117,909;28,047;75,612
    30 - 39;220,473;330,714;82,316;123,524;19,164;310,361;320,565;49,255;75,832;20,179
    40 - 49;135,031;247,809;81,806;85,075;11,692;191,350;246,108;44,528;67,735;11,692
    50 - 59;145,308;179,319;58,028;65,504;53,703;208,540;147,084;47,847;44,688;53,703
    60 - 69;227,435;135,583;60,583;31,959;24,214;256,471;107,236;52,002;24,142;39,923
    70 - 79;238,343;104,621;24,976;17,314;11,495;278,256;72,915;20,951;16,287;8,339
    80 and above;124,769;13,635;-;401;-;126,303;12,102;401;-;-
Sex ;;;;;;;;;;
    Male;541,518;625,233;163,888;189,997;93,509;683,066;598,735;124,232;102,050;106,062
    Female;570,004;561,476;239,936;214,794;102,370;755,056;466,798;208,661;154,681;103,385
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);96,189;244,504;53,711;31,893;3,866;144,287;219,943;40,481;21,586;3,866
    White alone, not Hispanic;934,101;843,636;315,628;320,465;149,729;1,202,039;756,218;232,262;209,744;163,297
    Black alone, not Hispanic;15,695;8,365;-;-;3,327;15,695;8,365;-;-;3,327
    Asian alone, not Hispanic;29,930;34,166;17,025;15,552;2,787;37,843;24,183;19,095;15,552;2,787
    Two or more races + Other races, not Hispanic;35,606;56,039;17,461;36,881;36,171;38,258;56,824;41,056;9,849;36,171
Education ;;;;;;;;;;
    Less than high school;32,368;18,209;7,709;13,474;17,074;32,368;18,209;7,709;13,474;17,074
    High school or GED;376,752;366,694;124,052;53,911;80,595;376,464;393,787;103,447;32,003;96,304
    Some college/associate’s degree;348,849;406,738;134,329;202,062;75,642;473,002;357,953;146,763;116,402;73,501
    Bachelor’s degree or higher;353,553;395,068;137,734;135,344;22,568;556,289;295,584;74,974;94,852;22,568
Marital status ;;;;;;;;;;
    Married;657,940;652,504;219,830;193,892;101,482;874,279;560,862;146,542;125,760;118,206
    Widowed;56,002;21,333;3,232;6,630;4,874;66,482;11,688;7,536;1,490;4,874
    Divorced/separated;224,071;150,342;39,143;75,155;26,249;263,998;135,299;43,542;45,872;26,249
    Never married;171,311;362,531;141,620;124,912;59,316;228,010;357,684;135,274;79,406;59,316
    Did not report;2,197;-;-;4,203;3,958;5,353;-;-;4,203;802
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;257,584;387,681;173,161;142,535;88,837;392,355;359,605;134,139;73,846;89,852
    No children;853,938;799,028;230,664;262,256;107,043;1,045,767;705,927;198,754;182,885;119,596
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;351,730;703,077;289,486;256,587;106,528;503,463;692,226;215,066;173,401;123,252
    No;759,792;483,633;114,338;148,204;88,550;934,660;373,307;117,827;83,330;85,394
    Did not report;-;-;-;-;802;-;-;-;-;802
Respondent currently employed ;;;;;;;;;;
    Yes;452,689;696,971;221,376;187,976;70,039;689,038;611,186;157,864;99,909;71,054
    No;658,834;489,739;182,448;216,815;125,039;749,085;454,347;175,029;156,822;137,592
    Did not report;-;-;-;-;802;-;-;-;-;802
Household income ;;;;;;;;;;
    Less than $25,000;70,482;253,014;33,727;84,218;-;80,168;249,097;58,389;53,788;-
    $25,000 - $34,999;153,844;48,493;66,233;29,831;3,156;178,802;39,869;63,176;19,710;-
    $35,000 - $49,999;193,620;114,362;59,928;40,143;-;225,649;96,787;55,590;30,027;-
    $50,000 - $74,999;173,146;242,473;51,833;86,244;-;204,871;202,182;69,069;61,866;15,709
    $75,000 - $99,999;209,242;218,404;71,383;47,897;-;258,373;215,232;43,788;29,534;-
    $100,000 - $149,999;178,285;119,845;79,897;80,830;-;252,681;130,997;28,092;46,073;1,015
    $150,000 - $199,999;72,512;83,861;4,769;10,018;-;119,543;37,695;3,903;10,018;-
    $200,000 and above;41,081;92,165;33,580;20,288;-;94,184;76,972;10,242;5,715;-
    Did not report;19,310;14,091;2,475;5,323;192,723;23,852;16,702;645;-;192,723
