Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,084,073;1,102,445;385,411;386,216;366,631;1,383,450;952,686;298,647;317,012;372,980
Age ;;;;;;;;;;
    18 - 29;181,375;141,383;114,462;138,149;119,502;190,420;184,190;87,810;112,948;119,502
    30 - 39;201,980;328,832;98,356;125,642;63,046;328,266;255,624;86,691;83,919;63,356
    40 - 49;102,393;229,188;50,047;51,351;73,801;137,029;201,141;33,649;56,169;78,791
    50 - 59;238,017;154,645;43,156;48,404;58,704;303,490;111,570;29,954;39,208;58,704
    60 - 69;175,597;187,541;51,523;16,818;26,323;228,577;130,796;53,270;18,542;26,618
    70 - 79;143,924;52,281;27,866;4,269;23,221;151,458;64,212;7,273;4,644;23,974
    80 and above;40,787;8,575;-;1,583;2,034;44,210;5,152;-;1,583;2,034
Sex ;;;;;;;;;;
    Male;693,857;413,907;209,050;237,329;126,751;768,337;410,740;165,319;208,615;127,883
    Female;390,216;688,538;176,361;148,887;239,880;615,113;541,946;133,328;108,397;245,096
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);98,812;118,545;45,926;37,714;54,835;124,324;82,199;49,356;40,578;59,375
    White alone, not Hispanic;758,375;708,984;255,691;236,429;190,637;979,983;613,226;201,254;163,961;191,693
    Black alone, not Hispanic;67,862;34,453;18,432;4,798;48,503;69,996;30,047;14,192;11,309;48,503
    Asian alone, not Hispanic;123,991;140,107;46,966;18,943;59,371;139,037;155,066;19,316;15,834;60,124
    Two or more races + Other races, not Hispanic;35,033;100,355;18,396;88,332;13,285;70,110;72,148;14,529;85,329;13,285
Education ;;;;;;;;;;
    Less than high school;59,453;73,179;29,788;92,856;83,059;55,413;88,216;5,767;101,342;87,599
    High school or GED;295,812;243,844;88,473;73,934;90,502;323,910;246,721;62,399;69,034;90,502
    Some college/associate’s degree;276,683;260,571;143,871;125,699;119,549;354,419;222,493;132,935;96,294;120,231
    Bachelor’s degree or higher;452,124;524,850;123,278;93,726;73,521;649,708;395,256;97,547;50,342;74,648
Marital status ;;;;;;;;;;
    Married;627,226;579,678;184,405;133,945;118,072;831,918;456,897;148,119;88,708;117,685
    Widowed;64,115;25,824;1,956;2,833;8,121;73,886;14,851;1,956;4,035;8,121
    Divorced/separated;122,231;165,066;35,585;39,611;43,206;163,975;106,581;38,589;53,348;43,206
    Never married;267,353;330,751;152,536;208,919;191,806;311,252;362,565;109,984;170,014;197,549
    Did not report;3,148;1,126;10,929;907;5,427;2,419;11,792;-;907;6,419
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;263,659;442,382;128,849;91,256;137,103;388,255;351,664;96,953;84,285;142,093
    No children;820,414;660,062;256,561;294,960;229,528;995,195;601,022;201,694;232,727;230,886
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;432,320;465,898;230,081;245,278;149,924;522,091;461,175;181,994;202,644;155,596
    No;650,752;636,546;155,330;140,938;208,036;860,358;491,511;116,653;114,368;208,712
    Did not report;1,001;-;-;-;8,672;1,001;-;-;-;8,672
Respondent currently employed ;;;;;;;;;;
    Yes;601,933;686,666;223,127;171,161;145,851;841,415;541,143;193,656;105,608;146,915
    No;480,974;415,779;162,283;215,055;208,667;540,868;411,543;104,991;211,404;213,952
    Did not report;1,166;-;-;-;12,113;1,166;-;-;-;12,113
Household income ;;;;;;;;;;
    Less than $25,000;78,439;85,138;32,470;117,031;1,578;110,192;66,502;26,076;109,555;2,331
    $25,000 - $34,999;106,543;93,867;12,837;36,553;1,683;83,977;110,478;12,406;42,939;1,683
    $35,000 - $49,999;49,121;64,682;42,598;24,694;-;72,913;53,732;27,106;22,122;5,222
    $50,000 - $74,999;152,142;113,815;52,748;39,247;1,215;199,040;76,684;44,577;37,652;1,215
    $75,000 - $99,999;140,606;217,498;35,220;37,085;-;166,734;207,229;26,300;30,146;-
    $100,000 - $149,999;208,689;200,050;110,244;56,928;-;283,446;169,538;89,709;33,217;-
    $150,000 - $199,999;98,344;84,775;33,885;23,847;-;137,571;54,454;40,604;8,222;-
    $200,000 and above;204,996;197,053;49,699;20,874;-;278,758;161,568;26,872;5,424;-
    Did not report;45,193;45,566;15,709;29,957;362,156;50,819;52,500;4,998;27,735;362,530
