Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,231,561;1,367,010;423,025;425,649;448,638;1,552,673;1,246,313;342,980;291,824;462,094
Age ;;;;;;;;;;
    18 - 29;234,408;326,298;118,377;141,551;98,935;320,603;333,753;143,157;23,121;98,935
    30 - 39;231,030;274,108;117,741;116,328;58,806;285,614;261,200;82,971;109,422;58,806
    40 - 49;105,032;302,169;70,348;82,535;54,213;154,911;278,843;61,255;65,074;54,213
    50 - 59;150,459;230,347;82,521;32,604;69,332;234,100;149,282;25,495;63,192;93,195
    60 - 69;238,024;158,219;25,908;35,218;115,758;267,934;158,898;22,215;18,979;105,102
    70 - 79;210,258;61,990;6,870;10,923;43,009;226,787;50,860;3,662;8,483;43,257
    80 and above;62,350;13,879;1,261;6,489;8,586;62,723;13,477;4,226;3,553;8,586
Sex ;;;;;;;;;;
    Male;794,015;620,388;167,008;153,552;210,884;937,841;561,689;109,690;125,744;210,884
    Female;437,546;746,622;256,017;272,097;237,754;614,832;684,625;233,290;166,080;251,210
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);120,118;385,992;89,539;80,398;105,298;174,824;396,272;44,707;60,245;105,298
    White alone, not Hispanic;501,076;497,959;120,812;239,554;170,966;715,530;397,667;175,826;80,784;160,558
    Black alone, not Hispanic;43,433;89,119;64,827;16,055;55,329;46,809;72,504;41,556;52,564;55,329
    Asian alone, not Hispanic;541,512;254,956;124,625;79,282;56,135;581,194;245,582;73,272;76,464;79,998
    Two or more races + Other races, not Hispanic;25,423;138,984;23,221;10,360;60,910;34,316;134,288;7,619;21,766;60,910
Education ;;;;;;;;;;
    Less than high school;46,003;149,939;44,308;46,791;56,350;58,825;95,507;13,924;94,922;80,214
    High school or GED;324,837;296,035;60,135;25,106;122,061;352,665;285,641;39,388;28,419;122,061
    Some college/associate’s degree;278,133;289,876;109,137;190,018;157,267;327,891;305,270;182,407;51,595;157,267
    Bachelor’s degree or higher;582,588;631,160;209,445;163,735;112,960;813,292;559,895;107,262;116,888;102,552
Marital status ;;;;;;;;;;
    Married;857,403;703,945;117,439;169,323;201,788;1,036,346;565,412;84,809;148,335;214,996
    Widowed;30,276;13,843;3,285;3,936;10,440;29,705;10,934;7,713;2,988;10,440
    Divorced/separated;104,464;152,383;101,581;25,881;67,567;118,013;190,739;44,914;30,395;67,816
    Never married;236,968;494,243;200,720;225,959;138,142;365,595;476,645;205,544;110,106;138,142
    Did not report;2,451;2,596;-;551;30,700;3,014;2,583;-;-;30,700
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;441,164;667,885;116,321;122,812;170,270;533,112;585,282;85,806;120,119;194,134
    No children;790,398;699,125;306,704;302,838;278,367;1,019,562;661,031;257,174;171,705;267,960
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;364,867;693,826;177,906;323,554;238,736;478,738;652,871;230,765;197,532;238,984
    No;864,870;673,184;245,119;101,890;183,731;1,072,647;592,906;112,215;94,087;196,939
    Did not report;1,825;-;-;205;26,171;1,288;537;-;205;26,171
Respondent currently employed ;;;;;;;;;;
    Yes;716,828;767,624;262,398;181,462;163,353;950,782;673,544;145,566;144,965;176,809
    No;514,733;599,386;160,628;244,187;246,917;601,892;572,769;197,414;146,858;246,917
    Did not report;-;-;-;-;38,368;-;-;-;-;38,368
Household income ;;;;;;;;;;
    Less than $25,000;67,675;90,702;71,379;137,391;-;77,058;98,497;121,688;69,904;-
    $25,000 - $34,999;78,134;131,667;58,464;53,922;-;105,208;126,831;31,674;58,474;-
    $35,000 - $49,999;63,561;185,726;15,530;17,981;-;85,817;165,208;21,057;10,469;248
    $50,000 - $74,999;94,237;183,409;78,540;27,118;-;110,529;230,813;25,590;16,372;-
    $75,000 - $99,999;96,666;153,558;27,558;30,106;-;142,411;135,855;17,105;12,518;-
    $100,000 - $149,999;188,239;159,791;53,525;56,669;-;216,455;176,418;37,545;27,806;-
    $150,000 - $199,999;115,994;81,683;25,062;32,045;10,656;129,832;83,577;22,413;29,618;-
    $200,000 and above;461,146;277,357;86,804;53,520;-;600,170;191,134;47,082;40,442;-
    Did not report;65,909;103,117;6,161;16,898;437,982;85,193;37,981;18,826;26,221;461,845
