Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Oregon;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,635,361;1,472,322;195,044;1,244,756;1,864,486;193,485
Age ;;;;;;
    18 - 29;235,527;136,795;75,612;137,001;235,320;75,612
    30 - 39;412,585;344,443;19,164;295,423;461,605;19,164
    40 - 49;320,441;229,279;11,692;241,373;308,347;11,692
    50 - 59;223,478;223,920;54,464;192,364;255,034;54,464
    60 - 69;238,148;217,412;24,214;183,931;271,629;24,214
    70 - 79;169,400;217,450;9,898;163,506;224,904;8,339
    80 and above;35,782;103,023;-;31,157;107,648;-
Sex ;;;;;;
    Male;854,296;667,937;91,913;572,766;951,027;90,353
    Female;781,065;804,385;103,131;671,990;913,460;103,131
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);237,332;188,965;3,866;87,971;338,326;3,866
    White alone, not Hispanic;1,239,689;1,174,977;148,894;1,004,471;1,411,753;147,334
    Black alone, not Hispanic;-;24,061;3,327;-;24,061;3,327
    Asian alone, not Hispanic;37,120;59,553;2,787;39,398;57,275;2,787
    Two or more races + Other races, not Hispanic;121,221;24,766;36,171;112,915;33,072;36,171
Education ;;;;;;
    Less than high school;20,534;51,226;17,074;28,243;43,517;17,074
    High school or GED;469,524;451,886;80,595;290,746;630,664;80,595
    Some college/associate’s degree;605,588;489,546;72,486;507,956;587,178;72,486
    Bachelor’s degree or higher;539,715;479,664;24,889;417,810;603,127;23,329
Marital status ;;;;;;
    Married;853,127;868,718;103,803;724,853;998,551;102,244
    Widowed;43,808;43,389;4,874;41,581;45,616;4,874
    Divorced/separated;253,200;235,511;26,249;175,539;313,172;26,249
    Never married;475,669;324,704;59,316;299,340;501,033;59,316
    Did not report;9,557;-;802;3,442;6,115;802
Presence of children under 18 years old ;;;;;;
    Children in household;574,486;386,475;88,837;496,984;463,977;88,837
    No children;1,060,875;1,085,847;106,208;747,772;1,400,509;104,648
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;924,563;676,317;106,528;665,715;935,165;106,528
    No;710,798;796,005;87,715;579,041;929,322;86,155
    Did not report;-;-;802;-;-;802
Respondent currently employed ;;;;;;
    Yes;939,751;618,499;70,800;656,900;901,351;70,800
    No;695,609;853,823;123,442;587,856;963,136;121,883
    Did not report;-;-;802;-;-;802
Household income ;;;;;;
    Less than $25,000;313,421;128,020;-;177,786;263,656;-
    $25,000 - $34,999;126,354;175,202;-;105,343;196,213;-
    $35,000 - $49,999;175,756;232,297;-;179,058;228,995;-
    $50,000 - $74,999;261,349;292,348;-;208,195;345,502;-
    $75,000 - $99,999;329,083;217,843;-;212,616;334,311;-
    $100,000 - $149,999;252,325;206,533;-;194,594;264,264;-
    $150,000 - $199,999;58,720;112,439;-;84,895;86,264;-
    $200,000 and above;86,303;100,810;-;58,338;128,775;-
    Did not report;32,048;6,830;195,044;23,931;16,507;193,485
