Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,404,706;1,738,976;570,154;1,132,448;2,029,084;552,304
Age ;;;;;;
    18 - 29;235,338;372,051;180,041;209,475;410,837;167,119
    30 - 39;282,939;382,295;61,059;180,757;484,477;61,059
    40 - 49;405,544;268,092;73,365;368,410;305,226;73,365
    50 - 59;181,093;305,317;81,181;145,105;341,656;80,830
    60 - 69;193,880;222,191;131,724;162,103;254,755;130,937
    70 - 79;79,933;152,922;28,948;51,636;185,008;25,159
    80 and above;25,979;36,107;13,835;14,962;47,125;13,835
Sex ;;;;;;
    Male;729,949;899,705;192,252;620,941;1,024,471;176,495
    Female;674,757;839,271;377,902;511,507;1,004,613;375,810
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);238,907;440,132;157,212;212,467;466,572;157,212
    White alone, not Hispanic;601,268;710,060;149,140;419,888;894,320;146,260
    Black alone, not Hispanic;103,157;115,112;62,304;88,844;144,395;47,333
    Asian alone, not Hispanic;238,897;389,127;163,284;197,161;430,863;163,284
    Two or more races + Other races, not Hispanic;222,477;84,544;38,214;214,087;92,934;38,214
Education ;;;;;;
    Less than high school;151,747;221,819;197,003;129,466;244,100;197,003
    High school or GED;267,440;367,717;99,650;252,960;395,907;85,940
    Some college/associate’s degree;320,986;433,112;158,222;276,728;481,159;154,433
    Bachelor’s degree or higher;664,534;716,328;115,280;473,294;907,917;114,929
Marital status ;;;;;;
    Married;826,274;785,768;161,347;636,282;977,853;159,255
    Widowed;21,846;42,146;10,867;17,687;46,305;10,867
    Divorced/separated;104,267;215,135;74,078;97,524;222,665;73,291
    Never married;447,785;692,670;315,576;380,593;772,784;302,653
    Did not report;4,535;3,257;8,286;363;9,477;6,238
Presence of children under 18 years old ;;;;;;
    Children in household;470,869;652,420;243,315;388,391;734,898;243,315
    No children;933,837;1,086,556;326,839;744,057;1,294,185;308,989
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;720,103;785,121;277,433;616,115;889,110;277,433
    No;684,603;953,855;282,217;516,333;1,139,974;264,368
    Did not report;-;-;10,503;-;-;10,503
Respondent currently employed ;;;;;;
    Yes;811,803;909,568;238,093;635,516;1,086,205;237,743
    No;592,903;829,054;321,845;496,931;942,524;304,345
    Did not report;-;354;10,216;-;354;10,216
Household income ;;;;;;
    Less than $25,000;112,552;199,695;13,710;106,001;219,956;-
    $25,000 - $34,999;190,350;156,728;-;175,162;171,915;-
    $35,000 - $49,999;60,682;81,512;236;38,977;103,218;236
    $50,000 - $74,999;214,903;114,572;-;199,539;129,936;-
    $75,000 - $99,999;163,971;179,342;-;126,913;216,400;-
    $100,000 - $149,999;179,284;245,467;-;129,101;295,649;-
    $150,000 - $199,999;155,721;209,863;2,047;129,249;238,383;-
    $200,000 and above;284,605;428,959;2,092;196,682;518,974;-
    Did not report;42,638;122,837;552,068;30,824;134,651;552,068
