Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,222,044;73,974;915,093;209,162;12,346;11,470;567,144
Age ;;;;;;;
    18 - 24;155,519;-;146,104;5,380;4,035;-;136,199
    25 - 39;549,724;60,007;318,007;167,506;1,701;2,502;155,472
    40 - 54;236,076;2,166;211,994;17,990;3,569;358;101,277
    55 - 64;137,192;4,894;111,301;17,956;3,041;-;67,669
    65 and above;143,534;6,907;127,687;330;-;8,610;106,526
Sex ;;;;;;;
    Male;640,595;42,554;431,060;159,554;7,426;-;296,151
    Female;581,450;31,420;484,033;49,608;4,920;11,470;270,993
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);660,718;53,348;430,712;160,132;7,916;8,610;302,130
    White alone, not Hispanic;316,120;15,244;283,521;13,412;3,943;-;143,142
    Black alone, not Hispanic;102,302;3,181;73,698;22,077;487;2,860;40,199
    Asian alone, not Hispanic;87,904;-;74,363;13,541;-;-;57,772
    Two or more races + Other races, not Hispanic;55,000;2,201;52,799;-;-;-;23,901
Education ;;;;;;;
    Less than high school;221,382;29,296;169,528;13,948;-;8,610;139,333
    High school or GED;487,200;28,100;322,039;132,418;4,643;-;207,911
    Some college/associate’s degree;384,188;11,667;301,874;60,920;6,867;2,860;148,591
    Bachelor’s degree or higher;129,275;4,911;121,652;1,876;836;-;71,308
Marital status ;;;;;;;
    Married;400,289;47,491;289,638;49,377;5,173;8,610;219,312
    Widowed;65,104;-;64,756;348;-;-;21,094
    Divorced/separated;228,372;2,167;194,650;25,308;3,744;2,502;81,121
    Never married;527,599;24,317;366,048;133,448;3,429;358;235,281
    Did not report;681;-;-;681;-;-;10,336
Presence of children under 18 years old ;;;;;;;
    Children in household;666,686;35,100;449,158;173,667;5,901;2,860;294,222
    No children;555,358;38,874;465,935;35,495;6,445;8,610;272,922
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;801,704;54,656;558,797;178,974;9,278;-;333,267
    No;420,340;19,318;356,296;30,188;3,068;11,470;224,692
    Did not report;-;-;-;-;-;-;9,185
Respondent currently employed ;;;;;;;
    Yes;651,556;3,331;501,955;136,846;6,564;2,860;234,704
    No;570,488;70,642;413,138;72,316;5,783;8,610;322,179
    Did not report;-;-;-;-;-;-;10,260
Household income ;;;;;;;
    Less than $25,000;493,116;62,191;271,212;156,133;3,580;-;1,654
    $25,000 - $34,999;206,622;2,184;185,238;17,326;1,516;358;180
    $35,000 - $49,999;174,368;3,911;146,620;20,972;2,865;-;-
    $50,000 - $74,999;139,154;5,688;124,491;8,975;-;-;-
    $75,000 - $99,999;97,287;-;95,620;1,667;-;-;1,762
    $100,000 - $149,999;41,197;-;40,949;248;-;-;-
    $150,000 - $199,999;27,270;-;27,270;-;-;-;-
    $200,000 and above;8,751;-;8,401;-;350;-;-
    Did not report;34,279;-;15,292;3,840;4,035;11,112;563,548
