Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,729,828;152,036;1,292,622;263,499;21,671;-;562,305
Age ;;;;;;;
    18 - 24;98,462;-;75,858;22,604;-;-;-
    25 - 39;808,281;30,731;588,461;170,244;18,844;-;277,025
    40 - 54;532,210;9,955;499,842;19,588;2,827;-;225,622
    55 - 64;215,520;107,380;59,236;48,904;-;-;34,771
    65 and above;75,354;3,970;69,225;2,158;-;-;24,887
Sex ;;;;;;;
    Male;824,499;146,077;580,342;95,939;2,141;-;373,587
    Female;905,329;5,959;712,280;167,559;19,530;-;188,718
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);971,161;31,690;749,293;172,456;17,722;-;210,149
    White alone, not Hispanic;436,021;9,171;371,655;53,054;2,141;-;239,813
    Black alone, not Hispanic;236,466;107,380;118,605;8,673;1,808;-;68,329
    Asian alone, not Hispanic;27,782;2,123;20,673;4,986;-;-;-
    Two or more races + Other races, not Hispanic;58,397;1,672;32,396;24,330;-;-;44,014
Education ;;;;;;;
    Less than high school;275,244;-;230,317;44,927;-;-;72,520
    High school or GED;739,874;107,475;520,432;111,967;-;-;255,718
    Some college/associate’s degree;565,957;34,807;428,906;84,522;17,722;-;159,901
    Bachelor’s degree or higher;148,752;9,754;112,968;22,082;3,949;-;74,166
Marital status ;;;;;;;
    Married;714,478;29,367;563,470;100,989;20,652;-;304,759
    Widowed;24,517;-;23,404;1,113;-;-;53,385
    Divorced/separated;210,467;13,072;146,510;49,868;1,019;-;24,906
    Never married;676,861;6,093;559,239;111,529;-;-;176,514
    Did not report;103,505;103,505;-;-;-;-;2,741
Presence of children under 18 years old ;;;;;;;
    Children in household;1,095,401;108,259;783,864;183,417;19,863;-;235,458
    No children;634,426;43,778;508,758;80,082;1,808;-;326,847
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;1,259,653;145,943;841,419;253,550;18,740;-;226,542
    No;470,174;6,093;451,203;9,949;2,930;-;334,776
    Did not report;-;-;-;-;-;-;987
Respondent currently employed ;;;;;;;
    Yes;667,619;8,996;601,891;45,415;11,317;-;258,919
    No;1,062,209;143,041;690,731;218,083;10,354;-;300,644
    Did not report;-;-;-;-;-;-;2,741
Household income ;;;;;;;
    Less than $25,000;406,147;134,412;186,768;84,967;-;-;-
    $25,000 - $34,999;404,481;7,871;331,724;64,887;-;-;1,421
    $35,000 - $49,999;301,008;2,123;244,478;46,021;8,386;-;-
    $50,000 - $74,999;386,001;7,631;334,368;44,002;-;-;-
    $75,000 - $99,999;150,712;-;133,984;7,392;9,336;-;-
    $100,000 - $149,999;42,758;-;33,823;4,986;3,949;-;-
    $150,000 - $199,999;13,265;-;11,394;1,871;-;-;-
    $200,000 and above;9,373;-;-;9,373;-;-;-
    Did not report;16,082;-;16,082;-;-;-;560,884
