Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;10,512,305;714,726;2,739,724;406,434;916,512;110,906;87,658;5,502,694;33,651
Age ;;;;;;;;;
    18 - 24;1,067,209;64,983;224,682;4,462;14,633;-;-;758,448;-
    25 - 39;2,782,671;295,217;1,130,307;139,471;64,417;36,598;22,950;1,075,440;18,270
    40 - 54;2,778,700;219,903;745,692;135,308;277,910;24,707;8,704;1,364,587;1,889
    55 - 64;1,466,257;120,601;315,223;101,102;83,362;10,175;1,321;828,431;6,042
    65 and above;2,417,469;14,021;323,819;26,091;476,190;39,426;54,683;1,475,788;7,451
Sex ;;;;;;;;;
    Male;5,094,802;302,742;1,706,182;115,940;396,330;54,475;20,326;2,487,342;11,465
    Female;5,417,503;411,984;1,033,542;290,494;520,182;56,431;67,332;3,015,351;22,186
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);4,369,674;351,061;910,381;102,085;632,567;8,841;80,252;2,268,366;16,120
    White alone, not Hispanic;3,288,622;179,853;1,106,718;111,109;168,654;53,706;1,778;1,660,381;6,423
    Black alone, not Hispanic;621,640;54,482;151,511;48,256;57,278;-;886;305,205;4,021
    Asian alone, not Hispanic;1,691,136;115,201;496,430;90,785;42,002;35,442;4,741;899,448;7,087
    Two or more races + Other races, not Hispanic;541,232;14,127;74,684;54,200;16,011;12,916;-;369,294;-
Education ;;;;;;;;;
    Less than high school;1,936,170;-;214,610;-;503,173;12,300;62,043;1,144,044;-
    High school or GED;1,991,283;86,036;512,999;41,872;99,078;24,010;-;1,227,288;-
    Some college/associate’s degree;3,180,269;193,643;927,125;69,515;80,230;40,626;17,510;1,838,740;12,880
    Bachelor’s degree or higher;3,404,584;435,046;1,084,989;295,048;234,032;33,970;8,106;1,292,622;20,771
Marital status ;;;;;;;;;
    Married;5,028,426;316,642;1,331,613;234,730;496,011;32,389;24,634;2,587,679;4,727
    Widowed;766,106;18,752;64,786;13,319;286,337;13,786;-;369,126;-
    Divorced/separated;1,130,976;134,807;274,973;67,403;30,808;10,218;434;612,333;-
    Never married;3,527,548;241,124;1,048,770;90,983;103,357;54,513;62,589;1,922,191;4,021
    Did not report;59,249;3,401;19,581;-;-;-;-;11,365;24,902
Presence of children under 18 years old ;;;;;;;;;
    Children in household;3,905,955;217,342;1,088,058;114,827;292,971;34,434;82,808;2,075,514;-
    No children;6,606,350;497,383;1,651,666;291,607;623,541;76,472;4,850;3,427,180;33,651
Health status ;;;;;;;;;
    Excellent;1,917,800;146,884;735,313;92,505;124,490;27,306;13,632;777,670;-
    Very good;2,915,789;247,030;861,160;170,885;123,493;18,860;5,259;1,487,644;1,457
    Good;2,407,139;214,314;609,769;102,762;138,245;23,984;5,511;1,311,302;1,250
    Fair;1,479,081;27,773;131,644;15,580;173,215;4,828;7,360;1,118,681;-
    Poor;500,745;102;-;5,765;292,599;-;-;202,279;-
    Did not report;1,291,751;78,622;401,837;18,936;64,470;35,928;55,895;605,118;30,944
Household income ;;;;;;;;;
    Less than $25,000;1,723,178;7,084;130,222;31,586;394,308;-;7,360;1,152,617;-
    $25,000 - $34,999;1,119,362;23,377;252,446;22,232;60,795;-;13,132;747,381;-
    $35,000 - $49,999;964,736;120,855;156,772;12,148;49,547;-;3,016;622,398;-
    $50,000 - $74,999;1,163,949;113,947;420,393;63,380;47,006;24,443;4,812;489,967;-
    $75,000 - $99,999;1,110,637;76,160;244,077;28,512;155,841;3,120;-;602,926;-
    $100,000 - $149,999;1,270,325;72,676;437,105;67,491;63,035;9,889;1,712;616,960;1,457
    $150,000 - $199,999;611,871;75,204;342,433;35,730;24,486;16,658;886;116,473;-
    $200,000 and above;875,210;136,168;269,252;79,865;48,442;17,616;844;321,772;1,250
    Did not report;1,673,037;89,255;487,022;65,490;73,051;39,179;55,895;832,200;30,944
