Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;270,309;4,171;241,911;17,364;-;6,863;296,088;36,869
    25 - 39;523,434;17,097;451,320;45,191;5,876;3,949;462,073;91,241
    40 - 54;348,259;3,983;281,071;56,048;7,157;-;605,477;92,496
    55 - 64;220,242;12,140;146,324;61,778;-;-;589,976;63,504
    65 and above;161,008;8,195;149,621;3,191;-;-;730,680;85,475
Sex ;;;;;;;;
    Male;829,029;40,500;729,140;57,541;1,847;-;1,367,273;156,554
    Female;694,221;5,086;541,107;126,030;11,186;10,812;1,317,021;213,031
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);762,114;19,804;668,480;65,427;1,539;6,863;1,090,268;186,422
    White alone, not Hispanic;445,968;6,637;398,650;34,302;6,379;-;1,171,514;150,324
    Black alone, not Hispanic;202,723;4,171;142,469;54,804;1,279;-;152,957;14,445
    Asian alone, not Hispanic;54,659;3,417;44,011;3,282;-;3,949;211,150;15,877
    Two or more races + Other races, not Hispanic;57,787;11,556;16,637;25,757;3,836;-;58,405;2,516
Education ;;;;;;;;
    Less than high school;445,161;8,569;421,680;11,076;3,836;-;671,228;98,873
    High school or GED;435,254;11,556;308,007;115,691;-;-;640,730;106,488
    Some college/associate’s degree;468,132;21,478;386,481;48,662;4,648;6,863;802,911;110,052
    Bachelor’s degree or higher;174,703;3,983;154,080;8,142;4,549;3,949;569,425;54,172
Marital status ;;;;;;;;
    Married;623,097;12,938;499,507;103,353;7,299;-;1,582,078;162,943
    Widowed;22,948;1,075;19,138;2,735;-;-;272,275;29,135
    Divorced/separated;260,157;5,725;228,628;24,525;1,279;-;292,119;85,166
    Never married;605,493;14,291;522,974;52,959;4,456;10,812;530,705;80,305
    Did not report;11,556;11,556;-;-;-;-;7,117;12,036
Presence of children under 18 years old ;;;;;;;;
    Children in household;956,796;14,847;833,575;97,482;4,029;6,863;1,203,767;162,684
    No children;566,454;30,738;436,673;86,089;9,005;3,949;1,480,527;206,900
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;897,151;21,553;698,574;160,964;9,197;6,863;1,314,868;159,589
    No;624,836;24,033;570,409;22,608;3,836;3,949;1,365,412;187,047
    Did not report;1,264;-;1,264;-;-;-;4,014;22,949
Respondent currently employed ;;;;;;;;
    Yes;747,865;8,237;689,329;32,264;7,223;10,812;1,012,622;159,271
    No;775,385;37,349;580,918;151,308;5,810;-;1,667,659;184,215
    Did not report;-;-;-;-;-;-;4,014;26,099
Household income ;;;;;;;;
    Less than $25,000;245,638;19,668;173,914;42,407;5,700;3,949;342,075;-
    $25,000 - $34,999;321,371;4,171;211,601;95,610;3,126;6,863;270,460;-
    $35,000 - $49,999;364,887;5,498;345,351;11,075;2,962;-;457,911;3,226
    $50,000 - $74,999;241,017;1,275;214,161;25,580;-;-;359,194;5,148
    $75,000 - $99,999;186,213;11,556;174,657;-;-;-;464,407;-
    $100,000 - $149,999;114,231;3,417;104,392;6,422;-;-;437,386;-
    $150,000 - $199,999;8,942;-;8,942;-;-;-;131,488;999
    $200,000 and above;12,704;-;8,982;2,477;1,245;-;138,366;-
    Did not report;28,248;-;28,248;-;-;-;83,007;360,212
